lisa_id,content_raw,question,option_a,option_b,option_c,option_d,correct_option,manual_score_b,manual_score_c,manual_score_d,manual_notes,gpt4o_scores,gpt4o_avg,gpt4o_pass,gpt4o_justifs
OIC-001-11-A,"{{objectif de connaissance
|Identifiant=OIC-001-11-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les principales étapes du processus de changement
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=11}}
Prochaska et Di Clemente ont modélisé un cycle de motivation au changement de comportement qui peut être parcouru par les patients le plus souvent étape par étape :

-       Précontemplation ou préintention : le problème de santé est inconnu ou s’il l’est, le patient évolue d’une absence d’envie de changer de comportement vers une évocation de le faire

-       Contemplation ou intention : le problème est identifié, le patient envisage de changer de comportement

-       Préparation : il essaie de changer il planifie le changement

-       Action : il change de comportement, comportant alors deux issues :

o   Maintien du changement (résiste aux rechutes)

o   Rechute vers l’absence d’envie de changement ou la préintention. Alors le cycle préintention, intention, préparation, action reprend.


Ce processus permet de comprendre l’importance du repérage du stade motivationnel du patient afin d’adapter le discours du soignant à chaque étape",Quelle étape du processus de changement de comportement est caractérisée par l'identification du problème et l'envisagement de changer de comportement ?,Contemplation,Action,Préparation,Précontemplation,a,,,,,"[4, 3, 2]",3.0,True,"[""This distractor is plausible as students might confuse 'action' with the stage where the problem is identified and change is considered."", ""This distractor is somewhat plausible as students might think 'preparation' involves identifying the problem, but it is more about planning the change."", ""This distractor is weak because 'precontemplation' is clearly before the problem is identified, making it easy to eliminate.""]"
OIC-001-12-A,"{{objectif de connaissance
|Identifiant=OIC-001-12-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les indications et principes de l’entretien motivationnel
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=12}}
L’entretien motivationnel est une méthode de communication :

-       centrée sur la personne à aider

-       utilisée pour augmenter la motivation intrinsèque au changement

-       collaborative (soignant soigné) et orientée vers le but du renforcement de la motivation et de l’engagement du patient vers un objectif partagé


L’entretien motivationnel est un outil au service de l’éducation du patient dans une approche centrée sur lui et son environnement. Cette éducation s’effectue dans une logique d’apprentissage. Le médecin adopte une posture facilitatrice des apprentissages pour que le patient développe des compétences, dans le cadre d’objectifs partagés.",Quel est l'objectif principal de l'entretien motivationnel ?,Fournir des informations médicales,Renforcer la relation médecin-patient,Faire un diagnostic médical,Augmenter la motivation intrinsèque au changement,d,,,,,"[2, 4, 1]",2.3333333333333335,False,"['This option is easy to eliminate as the primary goal of motivational interviewing is not to provide medical information, but it may seem relevant in a broader educational context.', 'This option is plausible as strengthening the doctor-patient relationship is a component of motivational interviewing, reflecting a common misconception about its primary goal.', 'This option is implausible as motivational interviewing is not used for making medical diagnoses, making it obviously incorrect.']"
OIC-001-13-A,"{{objectif de connaissance
|Identifiant=OIC-001-13-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Savoir comment se montrer empathique à l’égard du patient
|Description=Aspects verbaux (ex. de formulations) et non-verbaux
|Rubrique=Prise en charge
|Contributeurs=
|Ordre=13}}
Adopter une attitude empathique permet au patient de se sentir écouté, compris et aidé. Cela permet au médecin par son attitude professionnelle de se protéger de la sympathie ou de l’antipathie en renforçant l’alliance avec le patient.

La compréhension de ce que vit le patient lui est exprimée : « Je comprends que c’est difficile pour vous ».

L’empathie nécessite un minimum d’engagement verbal et non verbal, et de conviction du médecin dans la souffrance de son patient, pour que cette attitude prenne une fonction soignante.

*
*",Quelle phrase montre une attitude empathique de la part du médecin ?,Je comprends que c’est difficile pour vous,"Vous devez suivre ce traitement, c’est pour votre bien",Dites-moi ce qui vous dérange,"C’est normal, tout le monde passe par là",a,,,,,"[3, 2, 3]",2.6666666666666665,True,"['This option is somewhat plausible as it invites the patient to share their concerns, but lacks the explicit empathy shown in the correct answer.', ""This option is easy to eliminate as it is directive and lacks empathy, focusing on compliance rather than understanding the patient's feelings."", ""This option is somewhat plausible as it attempts to normalize the patient's experience, but it minimizes individual feelings and lacks personalized empathy.""]"
OIC-001-14-A,"{{objectif de connaissance
|Identifiant=OIC-001-14-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les principes d’une communication adaptée, verbale et non verbale, avec le patient et son entourage
|Description=Citer expliciter et donner l’intérêt des principales habilites communicationnelles (questions ouvertes, respect des silence, questions fermées et reformulations)
|Rubrique=Prise en charge
|Contributeurs=
|Ordre=14}}


Une communication adaptée, verbale et non verbale, permet de développer une relation d’aide et une écoute active du patient et de ses accompagnants. Il est estimé qu’environ 30 % d’un message en santé passe par les mots, et 70 % par le non verbal entre le patient et le médecin (regard, sourire, tenue, accessoires, tout est langage)


Principales habilités communicationnelles mobilisables :

-       questions ouvertes (Comment envisagez-vous… ? Que pensez-vous de… ?) : le patient ne peut pas répondre par oui ou non. Ces questions amènent le patient à réfléchir par lui-même à partir de ses propres ressources.

-       respect des silences lors des réponses du patient ou entre deux questions permet de favoriser la réflexion et lui laisse le temps de libérer ses émotions

-       questions fermées auxquelles le patient répond par oui ou non pour préciser des éléments d’entretien ou de l’examen physique

-       reformulations : répéter ce qui vient d’être dit par le patient, comme le médecin pense l’avoir entendu et/ou compris ou bien répéter ce que dit le patient avec ses propres mots, permettant de verbaliser sa réalité. Le patient prend conscience de ce qu’il dit, de ce qu’il pense, se sent écouté et compris.<br />
<br />
<br />",Quelle habileté communicationnelle n'est pas mentionnée comme principale dans la communication avec le patient ?,reformulations,utilisation de jargon médical,questions ouvertes,respect des silences,b,,,,,"[4, 5, 4]",4.333333333333333,True,"['Reformulations are explicitly mentioned as a principal communication skill, making this option plausible for those who might not recall the specific list.', 'The use of medical jargon is a common misconception as it is often mistakenly thought to be a communication skill, making it highly plausible.', 'Questions open-ended are explicitly mentioned, making this option plausible for those who might not recall the specific list.']"
OIC-001-15-A,"{{objectif de connaissance
|Identifiant=OIC-001-15-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les enjeux et les modalités de l’annonce d’une mauvaise nouvelle en santé
|Description=Se comporter de façon appropriée lors de l'annonce d'un diagnostic de maladie grave, de l'incertitude sur l'efficacité d'un traitement, de l'échec d'un projet thérapeutique, d'un handicap, d'un décès ou d'un évènement indésirable associé aux soins
Connaître les besoins psychologiques et sociaux du patient en situation d'incertitude
|Rubrique=Prise en charge
|Contributeurs=
|Ordre=15}}
Une mauvaise nouvelle est une nouvelle qui change radicalement et négativement l’idée que se fait le patient de son être et de son avenir. Annoncer signifie « faire savoir » : il ne s’agit pas uniquement d’informer, mais aussi de cheminer avec le patient vers la connaissance qui le concerne pour construire un projet personnalisé d’attitudes à adopter face à cet événement.


La structuration de l’annonce en trois étapes permet d’adopter une posture appropriée :

1.    avant la rencontre avec le patient, le médecin interroge sa propre représentation du diagnostic et les informations certaines et incertaines dont il dispose sur la maladie et les différents projets thérapeutiques à envisager

2.    lors de la rencontre avec le patient, le médecin adapte l’information aux représentations, attentes, vécus et besoins psychologiques et sociaux exprimés par le patient

3.    fin de rencontre avec le patient : le médecin se questionne sur le déroulé de la consultation et la préparation des prochaines rencontres


Annoncer c’est donner au patient les informations dont il a besoin tout au long du processus d’accompagnement. L’annonce a un effet traumatique. La plupart du temps, le patient n’entend qu’une petite partie de ce qui est dit. Lors de la consultation de première annonce, tout n’est pas abordé, le patient a besoin de temps. En pratique : il est essentiel à la démarche de se donner le temps, d’être à l’écoute, d’être attentif aux mots choisis et d’assurer un suivi de l’annonce.

*",Quelle est la première étape pour structurer l'annonce d'une mauvaise nouvelle en santé ?,Se questionner sur le déroulé de la consultation,Adapter l’information aux représentations du patient,Interroger sa propre représentation du diagnostic,Fournir toutes les informations en une seule fois,c,,,,,"[1, 2, 1]",1.3333333333333333,False,"['This option is implausible as it refers to the final step, not the first step, making it obviously incorrect.', 'This option is somewhat related to the process but is not the first step, making it easy to eliminate.', 'This option is implausible as it contradicts the need for a structured and gradual approach, making it obviously incorrect.']"
OIC-002-01-A,"{{objectif de connaissance
|Identifiant=OIC-002-01-A
|Item_parent=Les valeurs professionnelles du médecin et des autres professions de santé
|Item_parent_short=Les valeurs professionnelles du médecin et des autres professions de santé
|Rang=A
|Intitulé=Identifier les professionnels, compétences et ressources liées à un rôle particulier dans une organisation de santé
|Description=2.10 Rôles et ressources professionnelles dans une organisation de santé
|Rubrique=Définition
|Contributeurs=
|Ordre=1}}
Quel que soit leur mode d’exercice, les médecins collaborent avec de nombreux acteurs de santé. La qualité des soins et la sécurité des patients ne sont plus considérées comme relevant essentiellement des connaissances et des compétences individuelles mais reconnues comme dépendant de l’organisation des soins et de la capacité des acteurs à travailler ensemble.

Des expérimentations de coopérations entre professionnels de santé, de transferts de compétences et de délégation d’actes médicaux à d’autres professionnels de santé ont été développées, pour optimiser les prises en charge, la surveillance, et pallier aux carences de la démographie médicale (par exemple, suivi des patients en cours de chimiothérapie ou en dialyse).",Quel est l'objectif principal de la collaboration entre professionnels de santé selon le texte ?,Optimiser les prises en charge et pallier aux carences de la démographie médicale.,Réduire le nombre de patients par médecin.,Augmenter les salaires des médecins.,Limiter l'accès aux soins aux patients les plus riches.,a,,,,,"[3, 1, 1]",1.6666666666666667,False,"['This distractor is somewhat plausible as reducing patient load could be seen as a way to optimize care, but it is not directly mentioned in the text.', 'This distractor is implausible and unrelated as the text does not mention increasing salaries as an objective of collaboration.', 'This distractor is implausible and unrelated as the text does not suggest limiting access to care based on wealth.']"
OIC-002-02-A,"{{objectif de connaissance
|Identifiant=OIC-002-02-A
|Item_parent=Les valeurs professionnelles du médecin et des autres professions de santé
|Item_parent_short=Les valeurs professionnelles du médecin et des autres professions de santé
|Rang=A
|Intitulé=Connaître la définition de la pratique médicale et connaitre la signification de l’éthique
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=2}}
La '''pratique médicale''' est une activité technique et relationnelle qui répond, par des connaissances et des compétences spécifiques, aux besoins de santé des individus et de la population.

'''L’éthique''' désigne la réflexion de quelqu’un qui agit et qui se pose la question : « comment faire pour agir au mieux dans cette situation ? ». L’éthique en médecine n’est pas dissociable de la technique. 

<br />",Quelle est la définition de la pratique médicale ?,Une activité technique et relationnelle qui répond aux besoins de santé des individus et de la population.,Une activité relationnelle qui ignore les besoins de santé des individus.,Une activité technique et relationnelle qui répond aux besoins économiques des individus.,Une activité technique qui se concentre uniquement sur la technique médicale.,a,,,,,"[2, 3, 3]",2.6666666666666665,True,"['This distractor is easy to eliminate as it contradicts the fundamental purpose of medical practice, which is to address health needs, not ignore them.', 'This distractor is somewhat plausible as it includes both technical and relational aspects, but it misleads by focusing on economic needs rather than health needs.', 'This distractor is somewhat plausible as it focuses on the technical aspect, but it is flawed because it ignores the relational component essential to medical practice.']"
OIC-002-03-A,"{{objectif de connaissance
|Identifiant=OIC-002-03-A
|Item_parent=Les valeurs professionnelles du médecin et des autres professions de santé
|Item_parent_short=Les valeurs professionnelles du médecin et des autres professions de santé
|Rang=A
|Intitulé=Connaître les définitions de normes et de valeurs professionnelles
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=3}}
Les '''valeurs''' relatives à une pratique décrivent ce qui est digne d’estime, souhaitable et recommandé pour atteindre ses objectifs. Les '''normes''' sont des principes généraux et des règles plus spécifiques qui énoncent des devoirs, des obligations, auxquelles on se réfère pour juger et agir en référence à des valeurs.

Les normes professionnelles traduisent les '''valeurs professionnelles''' en principes concret faisant référence à la pratique, dans ses relations avec les patients et avec les collègues.

Des valeurs cardinales de la profession médicale sont par exemple : la responsabilité, le dévouement, la compassion, le respect de l’autonomie des personnes, l’indépendance, la probité, la discrétion, la confraternité, la solidarité…",Quelle est la relation entre les valeurs professionnelles et les normes professionnelles ?,Les valeurs professionnelles traduisent les normes professionnelles en principes concrets.,Les normes professionnelles traduisent les valeurs professionnelles en principes concrets.,Les valeurs professionnelles sont des règles plus spécifiques que les normes professionnelles.,Les normes professionnelles et les valeurs professionnelles sont des concepts identiques.,b,,,,,"[3, 2, 1]",2.0,False,"['This distractor is somewhat plausible as it reverses the correct relationship, which could confuse students who misunderstand the direction of translation between values and norms.', 'This distractor is easy to eliminate because it incorrectly suggests that values are more specific than norms, which contradicts the definitions provided.', 'This distractor is implausible as it suggests that norms and values are identical, which is clearly incorrect based on the definitions given.']"
OIC-002-04-A,"{{objectif de connaissance
|Identifiant=OIC-002-04-A
|Item_parent=Les valeurs professionnelles du médecin et des autres professions de santé
|Item_parent_short=Les valeurs professionnelles du médecin et des autres professions de santé
|Rang=A
|Intitulé=Connaître l’organisation sociale et politique de la profession médicale et sa régulation étatique
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=4}}

Le cout et les risques de certains traitements ont justifié une régulation étatique des dépenses de santé. L’autonomie et la liberté du médecin sont partiellement remises en question au profit d’autres valeurs comme la qualité des soins, l’évaluation de leur efficience, l’équilibre entre santé individuelle et santé publique…<br />",Quelle est la raison principale de la régulation étatique des dépenses de santé selon le texte ?,L'autonomie et la liberté du médecin,Le coût et les risques de certains traitements,La qualité des soins,L'équilibre entre santé individuelle et santé publique,b,,,,,"[2, 4, 3]",3.0,True,"['This option is easy to eliminate as it does not directly relate to the regulation of health expenditures, but rather to the values affected by such regulation.', 'This option is plausible as it reflects a common misconception that quality of care is the primary reason for regulation, rather than cost and risk.', 'This option is somewhat plausible as it relates to the broader goals of health regulation, but it is not the primary reason mentioned in the text.']"
OIC-002-05-A,"{{objectif de connaissance
|Identifiant=OIC-002-05-A
|Item_parent=Les valeurs professionnelles du médecin et des autres professions de santé
|Item_parent_short=Les valeurs professionnelles du médecin et des autres professions de santé
|Rang=A
|Intitulé=Connaître les principes de la médecine fondée sur les preuves et de la médecine basée sur la responsabilité et l’expérience du malade
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=5}}
La '''médecine fondée sur les preuves''' (EBM = evidence based medicine) promeut une pratique conforme aux données actuelle de la science, interprétées à la lumière de l’expérience personnelle et appliquées dans le respect des préférences et valeurs du patient.

La '''médecine basée sur la responsabilité et l’expérience du malade''' prend acte des compétences pratiques du patient et de son expérience quotidienne de la maladie. Cette expérience fonde le patient à intervenir dans les décisions de prise en charge et lui donne, de ce fait, des responsabilités. Les droits du malade ont été renforcés, la décision partagée est prônée comme un idéal relationnel.

<br />",Qu'est-ce que la médecine fondée sur les preuves (EBM) promeut ?,"Une pratique qui ne tient pas compte de l'expérience du patient, se basant uniquement sur les données scientifiques et l'expérience du médecin.","Une pratique conforme aux données actuelles de la science, interprétées à la lumière de l’expérience personnelle et appliquées dans le respect des préférences et valeurs du patient.","Une pratique basée uniquement sur l'expérience personnelle du médecin, sans tenir compte des données scientifiques.","Une pratique qui ignore les préférences et valeurs du patient, se concentrant uniquement sur les données scientifiques.",b,,,,,"[4, 1, 3]",2.6666666666666665,False,"['This distractor reflects a common misconception that EBM disregards patient experience, which can mislead students who misunderstand the integration of patient values in EBM.', 'This distractor is implausible as it suggests EBM ignores scientific data, which is a fundamental component of EBM, making it obviously incorrect.', 'This distractor is somewhat plausible as it suggests a focus solely on scientific data, which might confuse students who overlook the importance of patient values in EBM.']"
