id,question,option_a,option_b,option_c,option_d,correct_option
OIC-006-05-A,Quel est l'objectif principal des réunions de concertation pluridisciplinaire (RCP) ?,Organiser des formations continues pour les médecins.,"Définir la stratégie diagnostique, thérapeutique et de suivi d'un patient complexe.",Faciliter la communication entre les patients et leurs familles.,Réduire les coûts liés aux soins médicaux.,b
OIC-006-06-A,Quel est l'objectif principal des listes de vérification (check-lists) en milieu médical ?,Remplacer les protocoles médicaux existants.,Faciliter la communication entre les professionnels de santé et sécuriser les interventions.,Réduire le temps nécessaire pour réaliser une intervention chirurgicale.,Automatiser certaines tâches médicales complexes.,b
OIC-006-07-A,Quel est le principal objectif d'une réunion de morbi-mortalité (RMM) ?,Promouvoir la compétition entre les équipes médicales.,Identifier les erreurs individuelles des professionnels de santé.,Analyser collectivement les événements indésirables liés aux soins afin d'améliorer la sécurité patient.,Définir les nouvelles normes et protocoles pour les soins médicaux.,c
OIC-006-08-A,Quel est le rôle principal du Samu-Centre 15 ?,Organiser le transport des patients vers les hôpitaux.,Fournir une écoute médicale permanente et déclencher la réponse adaptée aux appels d'urgence.,Effectuer des soins médicaux sur place en cas de détresse.,Former les professionnels de santé aux premiers secours.,b
OIC-008-01-A,"Selon le texte, quel est un exemple de situation où il peut être légitime de faire des différences sur la base d'un critère interdit comme la nationalité ?",Lorsqu'un patient refuse de payer ses soins.,Lorsqu'un médecin ne se sent pas à l'aise avec une certaine culture.,"Lorsqu'une politique de santé ciblée est mise en place pour des populations spécifiques, comme la vaccination contre la tuberculose chez les enfants nés dans un pays à forte endémie.",Lorsqu'un patient ne parle pas français.,c
OIC-008-02-B,"Selon le texte, quel est l'effet principal des discriminations sur les inégalités sociales et de santé ?",Elles améliorent l'accès aux soins pour les personnes vulnérables.,Elles réduisent le stress et favorisent la cohésion sociale.,Elles accentuent les déterminants sociaux de la santé et contribuent au non-recours aux services publics.,Elles n'ont aucun impact significatif sur les inégalités sociales et de santé.,c
OIC-008-03-B,"Selon le texte, quel facteur structurel peut contribuer aux discriminations dans le système de santé ?",Le manque d'empathie des soignants,La difficulté à communiquer avec les patients en raison du langage,Les inégalités territoriales de l'offre de soin,L'absence de formation sur la diversité culturelle,c
OIC-009-01-A,Quelle est la principale différence entre l'éthique et la morale ?,"L'éthique se concentre sur les actions individuelles, tandis que la morale traite des actions collectives.","L'éthique est une démarche réflexive qui remet en question les normes morales, tandis que la morale fournit des réponses définitives et prescrites.","L'éthique se base sur des principes scientifiques, tandis que la morale s'appuie sur des croyances religieuses.","L'éthique est une science exacte, tandis que la morale est un domaine subjectif.",b
OIC-009-02-A,Quelle est la définition principale de la bioéthique ?,Un domaine juridique régissant les pratiques médicales.,Une branche de la philosophie explorant les implications éthiques des sciences de la vie et de la santé.,Un mouvement social visant à contrôler le développement scientifique.,Une alliance entre scientifiques biologiques et religieux pour promouvoir la survie humaine.,b
OIC-009-03-A,Quel est le rôle principal du Code de déontologie médicale ?,Définir les droits des patients envers les médecins.,Servir de guide aux médecins dans leur pratique quotidienne au service des patients.,Imposer des sanctions aux médecins qui enfreignent la loi.,Régler les relations entre les différents corps professionnels de santé.,b
OIC-009-04-A,Lequel des principes suivants n'est PAS considéré comme un grand principe de l'éthique médicale selon l'approche par principes de Beauchamp et Childress ?,Bienfaisance,Non-malfaisance,Utilitarisme,Justice,c
OIC-009-05-A,Lequel des énoncés suivants décrit le mieux le concept d'autonomie du patient dans le contexte médical ?,"L'autonomie du patient signifie qu'il a toujours le droit de refuser tout traitement, même si cela met sa vie en danger.","L'autonomie du patient implique la capacité à prendre des décisions éclairées concernant ses soins, après avoir reçu une information complète et compréhensible.",L'autonomie du patient est un concept dépassé qui doit être remplacé par une approche paternaliste où les médecins prennent toutes les décisions pour le bien du patient.,"L'autonomie du patient signifie que le patient a le droit de choisir son médecin, quel que soit le coût ou la disponibilité.",b
OIC-009-06-A,"Selon le texte, quel est l'élément principal qui distingue la qualité de l'information donnée à un patient ?",La présence d'un tiers lors de la consultation.,L'utilisation de documents écrits et pédagogiques.,Le recours à des termes médicaux simples et compréhensibles.,"La clarté, l'approximation et la loyauté de l<bos><h1>l'information orale.</h1>",d
OIC-009-07-A,Lequel des énoncés suivants décrit le mieux la situation d'un médecin qui refuse de pratiquer une interruption volontaire de grossesse (IVG) en raison de ses convictions personnelles ?,Il viole les droits fondamentaux du patient à l'accès aux soins.,"Il exerce son droit à la liberté de conscience, garanti par la loi Veil.",Il est obligé de se conformer aux directives de ses supérieurs hiérarchiques.,Il risque d'être poursuivi pour discrimination médicale.,b
OIC-009-08-A,Quel est le rôle principal d'une personne de confiance selon le contenu éducatif ?,Remplacer le médecin dans les décisions médicales.,Assurer la communication entre le patient et les équipes médicales en cas de crise.,Accompagner le patient dans ses démarches de soins et l'aider à prendre des décisions.,Gérer les finances du patient et s'occuper de ses biens personnels.,c
OIC-009-09-B,La notion de vulnérabilité en sciences humaines et sociales peut être définie comme : ,Une condition négative qui empêche l'autonomie et rend les individus incapables d'agir.,Un état pathologique lié à la maladie qui nécessite une prise en charge médicale paternaliste.,"Une caractéristique universelle de l'existence humaine, impliquant dépendance et interdépendance entre les individus.","Une faiblesse exclusive des personnes âgées, malades ou handicapées qui nécessitent une protection sociale accrue.",c
OIC-009-10-B,Quel est l'objectif principal des mesures de protection juridique pour les personnes majeures ?,Limiter les libertés individuelles pour assurer la sécurité collective.,Désigner une personne pour prendre toutes les décisions à la place de la personne protégée.,"Protéger les droits et l'autonomie de la personne, tout en respectant sa dignité.",Imposer des restrictions aux personnes majeures afin de contrôler leur comportement.,c
OIC-009-11-A,Quelle mesure de protection juridique est temporaire et permet de traiter une situation en urgence lorsqu'une personne majeure risque des actes contraires à ses intérêts ?,La tutelle,La curatelle,La sauvegarde de justice,Le conseil de famille,c
OIC-009-12-B,Qui peut demander l'ouverture d'une mesure de protection auprès du juge des tutelles ?,Uniquement le majeur concerné lui-même,"Le conjoint, un parent ou une personne entretenant avec le majeur des liens étroits et stables",Seulement le procureur de la République,Le médecin traitant du majeur concerné,b
OIC-009-13-A,La loi Veil de 1975 sur l'interruption volontaire de grossesse (IVG) illustre principalement quel principe éthique ?,L'autonomie individuelle et le droit à la vie privée,Le respect de la vie humaine dès le début du développement embryonnaire,La responsabilité des professionnels de santé dans la prise de décision médicale,Le compromis entre les libertés individuelles et les valeurs morales collectives,d
OIC-009-14-B,"Selon la législation française, dans quel cas peut-être pratiquée une interruption médicale de grossesse (IMG) sans limitation de délai ?",Lorsque le fœtus présente un risque élevé de naître avec une malformation congénitale.,Lorsque la poursuite de la grossesse met en péril grave la santé de la femme.,Lorsque la mère est mineure et n'a pas l'accord de ses parents.,Lorsque le couple souhaite se séparer avant la naissance de l'enfant.,b
OIC-009-15-B,Lequel des énoncés suivants décrit le mieux l'objectif principal du diagnostic prénatal (DPN) selon le texte ?,Permettre aux parents d'avoir un enfant « parfait » en éliminant les anomalies génétiques.,Détecter in utero des affections graves chez l'embryon ou le fœtus afin de permettre aux futurs parents de prendre une décision éclairée concernant la grossesse.,Remplacer les interruptions volontaires de grossesse par des diagnostics prénatals pour éviter les complications médicales.,Fournir aux médecins des informations génétiques précises sur le fœtus afin d<bos><h1>de mieux planifier les soins post-partum.</h1>,b
OIC-009-16-B,Lequel des énoncés suivants décrit le mieux les limites éthiques du diagnostic préimplantatoire (DPI) ?,Le DPI est uniquement autorisé en cas de risque élevé de transmission d'une maladie génétique grave et incurable.,Le DPI permet aux couples de choisir le sexe de leur enfant pour des raisons esthétiques ou sociales.,Le DPI peut être utilisé pour sélectionner des embryons compatibles avec un frère malade afin qu'il puisse servir de donneur d'organe.,Le DPI est une pratique médicale sans risque éthique car elle permet d'éviter la naissance d'enfants malades.,a
OIC-009-17-A,Quel est l'enjeu éthique principal concernant l'information du patient en fin de vie ?,Limiter les informations pour éviter le stress inutile.,Fournir des informations précises sur la durée restante de vie.,Respecter l'autonomie du patient et lui fournir une information honnête et claire.,Se concentrer uniquement sur les aspects médicaux et techniques de la situation.,c
OIC-009-18-A,La loi Clayes-Léonetti vise principalement à :,Prolonger la vie des patients en fin de vie par tous les moyens.,Permettre aux patients d'exprimer leurs souhaits concernant leur fin de vie et de limiter les traitements inutiles.,"Imposer aux médecins de poursuivre tous les traitements, même s'ils sont disproportionnés ou inefficaces.",Encourager la recherche médicale pour trouver des remèdes contre toutes les maladies terminales.,b
OIC-009-19-B,"Dans le cadre d'un traitement en fin de vie, quel est le rôle principal de la procédure collégiale ?",Définir les directives anticipées du patient.,Permettre au médecin de prendre une décision finale sans consultation.,Faciliter la concertation entre professionnels et proches pour éclairer la décision médicale.,Imposer aux familles le choix d'arrêter les traitements actifs.,c
OIC-009-20-B,"Selon la loi française sur la fin de vie, quelle est la priorité en cas de désaccord entre les proches d'un patient inconscient quant à ses souhaits concernant les soins ?",Le médecin prend la décision finale en tenant compte des directives anticipées si elles existent.,La personne désignée par le patient comme 'personne de confiance' a la priorité sur les autres proches.,L'avis du parent biologique du patient est toujours considéré comme le plus important.,Le médecin consulte un comité éthique pour obtenir une décision impartiale.,b
OIC-009-21-A,Lequel des principes suivants n'est PAS un principe fondamental de l'éthique de la recherche impliquant la personne humaine (RIPH) ?,Principe de bienfaisance,Principe d'autonomie,Principe de profitabilité,Principe de justice,c
OIC-009-22-B,"Selon la loi Jardé (2012), quelle catégorie de recherche impliquant la personne humaine ne comporte aucun risque ni contrainte ?",Recherche interventionnelle avec risque,Recherche interventionnelle à risque négligeable,Recherche non interventionnelle ou observationnelle,Recherche portant sur des données rétrospectives,c
OIC-009-23-A,"Lequel des principes suivants est **essentiel** pour garantir l'éthique du don d'organes, selon le texte ?",La commercialisation des organes pour financer la recherche médicale.,L'anonymat et la gratuité du don pour éviter les trafics et protéger les plus vulnérables.,Le consentement explicite de chaque receveur avant le prélèvement d'organes.,La priorité donnée aux proches du défunt dans la décision de donner ses organes.,b
OIC-009-24-B,"Selon le texte, quelle est la différence principale entre la mort par arrêt cardio-circulatoire et la mort encéphalique ?",La mort encéphalique est reconnue plus tôt que l'arrêt cardio-circulatoire.,Le prélèvement d'organes est impossible en cas de mort encéphalique.,"En cas de mort encéphalique, le corps peut être maintenu en état circulatoire et ventilatoire pour préserver la qualité des organes.",La mort par arrêt cardio-circulatoire est définie par l'absence d'activité cérébrale.,c
OIC-009-25-B,"Selon le texte, quel est l'élément **obligatoire** pour un don d'organe entre vivants ?",Être parent du receveur,Avoir vécu en communauté avec le receveur pendant au moins deux ans,"Consentement explicite, libre et éclairé",Être compatible avec le receveur pour l'organe à donner,c
OIC-009-26-B,"Selon le texte, quel est l'un des principes fondamentaux régissant l'utilisation des éléments et produits du corps humain ?",La propriété privée des organes et tissus,Le consentement éclairé de la personne concernée,"L'anonymat absolu, même en cas de besoin thérapeutique",La possibilité d'exploiter ces éléments à des fins commerciales,b
OIC-009-27-B,"Selon le texte, quelles sont les conditions autorisées pour réaliser une identification d'une personne par ses empreintes génétiques ?",Uniquement dans le cadre de recherches scientifiques.,"Dans tous les cas, à condition que la personne ait donné son consentement.",Exclusivement dans le cadre judiciaire ou pour des fins médicales.,Pour identifier les personnes décédées et en cas de maladie génétique grave chez un membre de la famille.,c
OIC-010-01-A,"Selon le texte, quel est un facteur qui influence les représentations du corps en un lieu et à une époque donnée ?",La couleur des yeux,Le type de gouvernement,Les traditions culturelles et le milieu naturel,La taille de la population,c
OIC-010-02-B,"Selon le texte, quel est l'impact principal de la maladie sur l'expérience corporelle d'un individu ?",Une modification purement physique du corps.,Un changement dans la perception des autres vis-à-vis du corps malade.,Une transformation profonde de l'identité et de la valeur de vie de l'individu.,Une augmentation de la capacité à ressentir les sensations physiques.,c
OIC-010-03-B,"Selon le texte, quelle est la principale différence entre le corps-objet et le corps-sujet ?",Le corps-objet est physique tandis que le corps-sujet est mental.,Le corps-objet est étudié par les médecins tandis que le corps-sujet est vécu par le patient.,"Le corps-objet est impersonnel et régi par des lois naturelles, tandis que le corps-sujet est subjectif et lié à l’expérience individuelle.","Le corps-objet est observable à travers des techniques médicales, tandis que le corps-sujet ne peut être observé qu'à travers les paroles du patient.",c
OIC-019-01-A,Laquelle des affirmations suivantes décrit le mieux la logique d'assistance sociale dans le système de protection sociale ?,"Elle finance des prestations spécifiques en fonction du risque social rencontré (maladie, chômage, etc.).",Elle repose sur un système de cotisations obligatoires pour financer les prestations sociales.,Elle vise à garantir un revenu minimum et lutter contre la pauvreté et l'exclusion.,"Elle couvre certaines dépenses pour tous les individus, sans condition de ressources.",c
OIC-019-02-A,Quelle est la principale caractéristique des prestations sociales en France ?,Elles sont uniquement versées en espèces sous forme de revenus de remplacement.,Elles couvrent exclusivement les risques liés à l'âge et à la retraite.,Elles comprennent à la fois des versements financiers et un accès à des services sociaux.,Elles sont entièrement financées par les cotisations des citoyens.,c
OIC-019-03-B,Quel est l'impact principal de la crise sanitaire sur les dépenses de protection sociale en France?,Une augmentation significative des prestations liées à la vieillesse.,Une diminution notable des dépenses pour les accidents du travail et maladies professionnelles.,Un ralentissement de la croissance des dépenses liées aux soins de santé.,Une forte augmentation des dépenses liées à la santé et au soutien à l'emploi.,d
OIC-019-04-B,Quelle est la principale source de financement de la protection sociale en France aujourd'hui ?,Les cotisations sociales,Les impôts et taxes affectés,Les contributions publiques de l'État,Les dons privés,b
OIC-019-05-A,Le régime général de la sécurité sociale est principalement organisé autour de :,Des caisses régionales indépendantes.,Un système hiérarchique de caisses nationales et territoriales.,Des organismes privés à but lucratif.,Une structure centralisée dirigée par le gouvernement.,b
OIC-019-06-B,Quelle est la principale fonction de la loi de financement de la sécurité sociale (LFSS) ?,Définir les droits et obligations des citoyens envers le système de santé.,Fixer le budget annuel de l'État pour les dépenses sociales et de santé.,Maîtriser les dépenses et recettes de la sécurité sociale en fonction des prévisions budgétaires.,Réguler les prix des médicaments et des soins médicaux pour garantir leur accessibilité.,c
OIC-019-07-B,Quel est le but principal de l'Objectif national des dépenses d'Assurance maladie (ONDAM) ?,Définir les tarifs pratiqués par les médecins et hôpitaux.,Réguler les recettes de la sécurité sociale provenant des cotisations.,Contrôler le montant total des dépenses pour les soins en France.,Fixer les objectifs de recrutement du personnel médical dans les établissements publics.,c
OIC-019-08-A,Quel pourcentage de la population française est couvert par le régime général de la Sécurité sociale ?,5 %,88 %,95 %,27 %,b
OIC-019-09-A,Quelle est la mission principale de la Caisse nationale d'assurance maladie (CNAM) ?,Gérer les risques financiers liés aux maladies et accidents.,Définir les tarifs des médicaments et produits médicaux.,Assurer le financement des recherches médicales et développement de nouveaux traitements.,Prendre en charge les soins dispensés aux assurés sociaux.,d
OIC-019-10-A,Quel est le rôle principal du ticket modérateur dans le système de santé français ?,Réduire les coûts d'assurance maladie pour l'État.,Encourager la consommation de soins en diminuant les frais à la charge du patient.,Responsabiliser financièrement le patient et réguler la consommation de soins.,Protéger les patients des coûts imprévus liés aux soins médicaux.,c
OIC-019-11-A,Quel est l'objectif principal du parcours de soins coordonnés ?,Réduire les coûts des soins pour les patients.,Faciliter le choix d'un spécialiste sans passer par un médecin traitant.,"Améliorer l'accès aux soins, la qualité des soins et une meilleure utilisation des ressources.",Centraliser les dossiers médicaux dans un seul endroit accessible en ligne.,c
OIC-019-12-A,L'exonération du ticket modérateur pour les soins liés à une affection de longue durée (ALD) s'applique dans quel cas ?,Uniquement aux maladies listées dans la catégorie ALD 30.,"Aux maladies mentionnées dans la liste ALD 31, nécessitant un traitement prolongé et coûteux.",Seulement aux patients atteints d'une maladie grave non présente sur la liste des ALD 30.,Aux cas de polypathologie invalidante entraînant des soins continus d'une durée supérieure à six mois (ALD 32).,d
OIC-019-13-B,Quelles sont les deux catégories principales de prestations offertes par l'assurance maladie ?,Prestations en nature et prestations d'épargne,Prestations en espèces et prestations en nature,Prestations à long terme et prestations à court terme,Prestations obligatoires et prestations facultatives,b
OIC-020-01-A,Quel est le niveau d'organisation de la recherche en santé responsable de la répartition des moyens financiers ?,Décision,Programmation,Opérateurs,Recherche fondamentale,b
OIC-020-02-A,Quel est le principal objectif du protocole d'une étude en santé ?,Permettre des modifications au cours de l'étude si nécessaire.,Décrire les étapes à suivre pour acquérir de nouvelles connaissances dans le domaine de la santé.,"Répondre à un objectif principal unique et obtenir un résultat fiable, valide et pertinent.",Identifier les participants les plus appropriés pour l'étude en fonction de leurs caractéristiques.,c
OIC-020-03-A,Laquelle des affirmations suivantes concernant la loi Jardé est **fausse** ?,Elle distingue trois catégories de recherches impliquant des êtres humains.,Elle définit les obligations des promoteurs et des investigateurs dans le cadre de la recherche clinique.,"Elle exige l'obtention d'un avis favorable du Comité de Protection des Personnes (CPP) pour toutes les recherches, quel que soit leur type.","Elle s'applique aux recherches interventionnelles, mais pas aux recherches non interventionnelles.",c
OIC-020-04-B,Quel élément n'est PAS un argument utile à la justification d'une problématique de recherche ?,La fréquence du problème de santé étudié,Le niveau de preuve des études précédentes,Les préférences personnelles du chercheur,Les coûts associés au problème de santé,c
OIC-020-05-B,Quel est le lien direct entre les hypothèses de recherche et la puissance d'une étude ?,Les hypothèses déterminent le type de sujets à inclure dans l'étude.,Les hypothèses influencent la taille de l'échantillon nécessaire pour obtenir des résultats significatifs.,Les hypothèses définissent les méthodes statistiques utilisées pour analyser les données.,Les hypothèses déterminent le budget nécessaire pour mener à bien l'étude.,b
OIC-020-06-B,Quel facteur est **essentiel** à prendre en compte lors du choix de la méthodologie d'une étude scientifique ?,Le budget alloué à l'étude,La durée de l'étude,L'objectif spécifique recherché par l'étude,Les outils technologiques disponibles,c
OIC-020-07-B,Quel type d'échantillonnage implique la division de la population cible en sous-populations (strates) et le tirage au sort d'individus dans chaque strate ?,Recrutement consécutif,Sondage aléatoire simple,Sondage stratifié,Échantillon de convenance,c
OIC-020-08-B,Quelle source de données épidémiologiques est caractérisée par un recueil exhaustif et permanent des nouveaux cas d'une pathologie donnée au sein d'un territoire défini ?,Réseau Sentinelles,Déclaration obligatoire,Registres de morbidité,Statistiques vitales,c
OIC-020-09-B,Quel critère est essentiel pour évaluer la pertinence des données recueillies lors d'une recherche en santé ?,La quantité de données collectées,Le coût du recueil des données,L'adéquation des données avec l'objectif principal de l'étude,La complexité des analyses statistiques à effectuer sur les données,c
OIC-020-10-B,Qu'est-ce qu'une variable aléatoire ?,Une mesure précise d'un phénomène physique.,Un événement certain dont la réalisation est connue.,Une fonction qui associe un nombre à chaque issue possible d'un phénomène aléatoire.,La probabilité associée à une issue particulière d'un phénomène aléatoire.,c
OIC-020-11-B,Lequel des paramètres suivants mesure la dispersion d'un ensemble de valeurs autour de leur moyenne ?,Mode,Médiane,Variance,Quantile,c
OIC-020-12-B,Quel est l'objectif principal d'un test statistique en recherche biomédicale ?,Déterminer la taille de l'échantillon nécessaire pour une étude.,Confirmer qu'une hypothèse nulle est vraie avec certitude.,Évaluer si un résultat observé peut être expliqué par le hasard ou s'il indique une différence significative.,Identifier les variables indépendantes et dépendantes dans une étude.,c
OIC-020-13-B,Quelle est la particularité des données de survie utilisées en recherche médicale ?,Elles ne prennent en compte que le temps écoulé depuis l'inclusion dans l'étude.,"Elles sont toujours complètes, car on connaît toujours le résultat final pour chaque sujet.",Elles peuvent être incomplètes car certaines observations n'ont pas atteint la fin du suivi ou ont été perdues de vue.,Elles ne permettent pas de comparer les survivances entre différents groupes d'individus.,c
OIC-020-14-B,Quel est le but principal de l'ajustement dans une analyse statistique en santé ?,Identifier les facteurs de confusion qui influencent la variable étudiée.,Neutraliser l'effet des facteurs de confusion pour identifier l'impact indépendant des facteurs d'exposition.,Augmenter la taille de l'échantillon pour améliorer la précision des résultats.,Déterminer la corrélation entre les variables étudiées sans tenir compte des autres facteurs.,b
OIC-020-15-B,Quel est l'objectif principal de la protection des données de santé ?,Faciliter les recherches cliniques,Améliorer la qualité des soins médicaux,Garantir le respect de la vie privée des personnes,Réduire les coûts de traitement des données médicales,c
OIC-020-16-A,"Dans le contexte d'une étude analytique, quel terme est utilisé pour décrire un facteur associé à une probabilité plus élevée de survenue d'un phénomène de santé ?",Facteur étiologique,Déterminant de santé,Facteur pronostique,Facteur de risque,d
OIC-020-17-A,Quelle est la différence principale entre une population cible et une population source dans le contexte d'une recherche scientifique ?,La population cible est plus petite que la population source.,"La population cible est celle à laquelle on souhaite extrapoler les résultats, tandis que la population source est celle à partir de laquelle l'étude se déroule concrètement.","La population cible est définie par le chercheur, tandis que la population source est déterminée par des critères statistiques.","La population cible est toujours accessible aux chercheurs, tandis que la population source peut être difficile à atteindre.",b
OIC-020-18-A,Quel type d'étude observationnelle est le plus approprié pour estimer la prévalence d'une maladie rare au sein d'une population donnée ?,Enquête de cohorte,Enquête cas-témoins,Enquête transversale,Étude exposés non exposés,c
OIC-020-19-B,Quelle est la caractéristique principale qui distingue une étude cas-témoins nichée d'une étude cas-cohorte ?,"Les études cas-témoins nichées utilisent des données individuelles, tandis que les études cas-cohorte utilisent des données groupées.","Les études cas-témoins nichées sélectionnent les sujets à partir d'une cohorte existante, tandis que les études cas-cohorte créent une nouvelle cohorte pour l'étude.","Les études cas-témoins nichées se concentrent sur des expositions spécifiques recueillies rétrospectivement, tandis que les études cas-cohorte collectent des données prospectives sur toutes les expositions.","Les études cas-témoins nichées utilisent un groupe témoin aléatoire, tandis que les études cas-cohorte utilisent un groupe témoin non aléatoire.",c
OIC-020-20-A,Quel terme décrit la probabilité qu'un événement (par exemple une maladie) survienne dans une population pendant une période donnée ?,Prévalence,Taux d'incidence,Risque,Intervalle de confiance,c
OIC-020-21-B,Quel est l'objectif principal de la standardisation dans les enquêtes descriptives ?,Identifier les causes des problèmes de santé.,Comparer des mesures de fréquence entre populations ayant des structures d'âge et de sexe différentes.,Déterminer la proportion d'individus atteints d'une maladie dans une population spécifique.,Mesurer l'évolution des taux d'incidence au fil du temps.,b
OIC-020-22-A,Quelle mesure d'association est utilisée pour comparer les moyennes entre deux groupes lorsque la variable à expliquer est quantitative et la variable explicative qualitative (à deux classes) ?,Risque relatif (RR),Odds Ratio (OR),Différence de moyennes entre les deux groupes,Coefficient de corrélation linéaire (r),c
