Unnamed: 0,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option,content_raw
159,OIC-045-16-B,Quels sont les grands principes de la prise en charge clinique de la mucoviscidose ?,"Cette question évalue la compréhension des principes de base de la prise en charge de la mucoviscidose, un sujet abordé dans le contenu éducatif.","La lutte contre la perte de sel par une supplémentation régulière, la prise en charge des troubles gastro-intestinaux et la prise en charge de la pathologie pulmonaire.",Cette option est correcte car elle reprend les principaux principes de la prise en charge de la mucoviscidose mentionnés dans le contenu éducatif.,"La lutte contre la perte de sel par une supplémentation régulière, la prise en charge des troubles gastro-intestinaux et la prise en charge de la pathologie pulmonaire, ainsi que la greffe de poumon et/ou foie.",Cette option est incorrecte car elle ajoute une information supplémentaire (greffe de poumon et/ou foie) qui n'est pas mentionnée dans le contenu éducatif.,"La lutte contre la perte de sel par une supplémentation régulière, la prise en charge des troubles gastro-intestinaux et la prise en charge de la pathologie pulmonaire, ainsi que la fécondation in vitro.",Cette option est incorrecte car elle ajoute une information supplémentaire (fécondation in vitro) qui n'est pas mentionnée dans le contenu éducatif.,"La lutte contre la perte de sel par une supplémentation régulière, la prise en charge des troubles gastro-intestinaux et la prise en charge de la pathologie pulmonaire, ainsi que la greffe de poumon et/ou foie et la fécondation in vitro.",Cette option est incorrecte car elle ajoute deux informations supplémentaires (greffe de poumon et/ou foie et fécondation in vitro) qui n'ont pas été mentionnées dans le contenu éducatif.,a,"{{objectif de connaissance
|Identifiant=OIC-045-16-B
|Item_parent=Spécificités des maladies génétiques. (voir item 9)
|Item_parent_short=Spécificités des maladies génétiques. (voir item 9)
|Rang=B
|Intitulé=Connaître les grands principes de la prise en charge de la mucoviscidose
|Description=Nutrition. Prévention des infections. Supplémentation
|Rubrique=Prise en charge
|Contributeurs=Claude Férec,Elise Launay,Caroline Schluth-Bolard
|Ordre=16}}

La prise en charge clinique est réalisée au sein des Centres de Ressources et de Compétence de la mucoviscidose (CRCM).

Les grands principes de la prise en charge clinique reposent sur :

•          La lutte contre la perte de sel par une supplémentation régulière ;

•          La prise en charge des troubles gastro-intestinaux : régime riche en calories, pauvre en graisses et apport d’enzymes digestives et de vitamines liposolubles ;

•          La prise en charge de la pathologie pulmonaire : traitements antibiotiques à dose importantes pour diminuer l’infection respiratoire chronique, traitements mucolytiques et kinésithérapie respiratoire.

•          Dans les formes graves, une greffe de poumon et/ou foie peut être réalisée.

•          L’infertilité masculine est prise en charge par assistance médicale à la procréation (fécondation ''in vitro'')


De nouvelles thérapies dites “mutations spécifiques “ ont récemment été développées. Il s’agit de petites molécules, appelées modulateurs, qui visent à corriger la protéine CFTR défectueuse."
160,OIC-045-17-A,Quels examens d'imagerie sont indiqués devant une aggravation ou une situation d'urgence chez un patient atteint de mucoviscidose?,Cette question évalue la capacité à identifier les examens d'imagerie appropriés en cas d'urgence ou d'aggravation chez un patient atteint de mucoviscidose.,Une radiographie pulmonaire annuelle,Cette option est incorrecte car elle ne répond pas à la question spécifique d'une aggravation ou d'une situation d'urgence.,"Un scanner thoracique, éventuellement complété par une IRM pulmonaire et un angio-scan",Cette option est correcte car elle répond à la question en indiquant les examens d'imagerie appropriés en cas d'urgence ou d'aggravation.,Une IRM ou un scanner abdominal,Cette option est incorrecte car elle ne répond pas à la question spécifique d'une aggravation ou d'une situation d'urgence.,Une radiographie pulmonaire et un échodoppler hépatique et digestif,Cette option est incorrecte car elle ne répond pas à la question spécifique d'une aggravation ou d'une situation d'urgence.,b,"{{objectif de connaissance
|Identifiant=OIC-045-17-A
|Item_parent=Spécificités des maladies génétiques. (voir item 9)
|Item_parent_short=Spécificités des maladies génétiques. (voir item 9)
|Rang=A
|Intitulé=Connaître l’indication des examens d’imagerie devant une mucoviscidose
|Description=radiographie pulmonaire et écho doppler abdominal pour le suivi
|Rubrique=Examens complémentaires
|Contributeurs=Claude Férec,Elise Launay,Caroline Schluth-Bolard
|Ordre=17}}

Concernant le suivi du patient sur le plan respiratoire, une radiographie pulmonaire est indiquée au moins de façon annuelle et devant un nouveau symptôme. La réalisation d’un scanner thoracique sera discutée en fonction de l’état de santé du patient. Devant une aggravation ou une situation d’urgence, un scanner thoracique, éventuellement complété par une IRM pulmonaire et un angio-scan pourront être réalisés ([[Rédaction de la demande d'un examen d'imagerie SD-230|rédaction de la demande d'un examen d'imagerie]]).

La surveillance digestive comprend la réalisation d’un échodoppler hépatique et digestif une fois par an. Devant une situation d’urgence ou une aggravation, cet échodoppler pourra être complété par une IRM ou un scanner abdominal ([[Rédaction de la demande d'un examen d'imagerie SD-230|rédaction de la demande d'un examen d'imagerie]])."
161,OIC-045-18-A,Quelles sont les manifestations des anomalies génétiques (mutations et prémutations) chez les garçons/hommes atteints du syndrome du X fragile ?,Cette question évalue la compréhension des signes cliniques spécifiques aux garçons/hommes atteints du syndrome du X fragile.,"Déficit attentionnel, hyperactivité, impulsivité, intolérance à la frustration",Cette option est correcte car elle fait partie des manifestations des anomalies génétiques chez les garçons/hommes atteints du syndrome du X fragile.,"Déficit attentionnel, hyperactivité, impulsivité, intolérance à la frustration, anxiété, timidité (évitement du regard)",Cette option est incorrecte car elle contient des éléments qui ne sont pas spécifiques aux garçons/hommes atteints du syndrome du X fragile.,"Déficit attentionnel, hyperactivité, impulsivité, intolérance à la frustration, anxiété, timidité (évitement du regard), troubles du spectre de l’autisme, troubles du sommeil, épilepsie, otites répétées, dysmorphie faciale, avance staturale, hyperlaxité articulaire, pieds plats, scoliose, prolapsus mitral, reflux vésico-urétéral, strabisme, myopie, macro-orchidie post-pubertaire",Cette option est incorrecte car elle contient des éléments qui ne sont pas spécifiques aux garçons/hommes atteints du syndrome du X fragile.,"Déficit attentionnel, hyperactivité, impulsivité, intolérance à la frustration, anxiété, timidité (évitement du regard), troubles du spectre de l’autisme, troubles du sommeil, épilepsie, otites répétées, dysmorphie faciale, avance staturale, hyperlaxité articulaire, pieds plats, scoliose, prolapsus mitral, reflux vésico-urétéral, strabisme, myopie, macro-orchidie post-pubertaire",Cette option est incorrecte car elle contient des éléments qui ne sont pas spécifiques aux garçons/hommes atteints du syndrome du X fragile.,a,"{{objectif de connaissance
|Identifiant=OIC-045-18-A
|Item_parent=Spécificités des maladies génétiques. (voir item 9)
|Item_parent_short=Spécificités des maladies génétiques. (voir item 9)
|Rang=A
|Intitulé=Connaître les modalités de diagnostic clinique du syndrome du X Fragile
|Description=Connaitre les manifestations des anomalies génétiques (mutations et prémutations) en fonction du genre du patient
|Rubrique=Diagnostic positif
|Contributeurs=Gaétan Lesca,Elise Launay
|Ordre=18}}

Maladie génétique de transmission liée au chromosome X. Pénétrance incomplète chez les filles du fait de la compensation partielle par le chromosome X normal.

'''Présentation et signes cliniques chez les garçons/hommes''' (porteurs d’une mutation complète) :

*  Retard psychomoteur, retard de langage ([[Anomalie du développement psychomoteur SD-115|anomalie du développement psychomoteur]], [[Troubles du langage et/ou phonation SD-134|troubles du langage et/ou phonation]])
*  Déficience intellectuelle modérée à sévère (QI < 50)
*  Déficit attentionnel, hyperactivité, impulsivité, intolérance à la frustration
*  Anxiété, timidité (évitement du regard) ([[Anxiété SD-116|anxiété]], [[Troubles de l'attention SD-129|troubles de l’attention]])
*  Troubles du spectre de l’autisme chez 50 % des patients ([[Troubles du comportement chez enfant et adolescent SD-133|troubles du comportement chez enfant et adolescent]])
*  Troubles du sommeil
*  Épilepsie chez 20 % des patients ([[Convulsions SD-120|convulsions]])
*  Otites répétées
*  Dysmorphie faciale : macrocéphalie relative, visage allongé et étroit, prognathisme, front haut et large, oreilles décollées, lèvres épaisses et éversées, palais ogival, malpositions dentaires
*  Avance staturale, parfois grande taille
*  Hyperlaxité articulaire (doigts)
*  Pieds plats
*  Scoliose
*  Prolapsus mitral ([[Découverte d'anomalies à l'auscultation cardiaque SD-018|découverte d’anomalies à l’auscultation cardiaque]])
*  Reflux vésico-urétéral
*  Strabisme
*  Myopie
*  Macro-orchidie post-pubertaire


'''Présentation et signes cliniques chez les filles/femmes''' (porteuses d’une '''mutation complète''') :

*  50 % ont des difficultés cognitives de sévérité très variable, habituellement moins prononcées que chez les garçons (QI entre 50 et 70) ([[Anomalie du développement psychomoteur SD-115|anomalie du développement psychomoteur]])
*  50 % ont un QI dans la partie basse de la distribution normale
*  Troubles relationnels (timidité, difficulté à se lier) ou anxiété fréquents ([[Anxiété SD-116|anxiété]], [[Troubles des interactions sociales/difficultés de socialisation SD-349|troubles des interactions sociales]] / difficultés de socialisation)
*  Pas ou peu d’éléments dysmorphiques"
162,OIC-045-19-B,Quelle est la principale cause de l'instabilité des prémutations dans le syndrome de l'X fragile ?,Cette question évalue la compréhension des mécanismes génétiques dans le syndrome de l'X fragile.,L'expansion de la répétition CGG lors des transmissions maternelles.,Cette option est correcte car l'expansion de la répétition CGG est la principale cause de l'instabilité des prémutations dans le syndrome de l'X fragile.,La méthylation anormale de la région promotrice.,"Cette option est incorrecte car la méthylation anormale est une conséquence de l'expansion de la répétition CGG, et non la cause de l'instabilité.",L'absence de méthylation de la région promotrice.,"Cette option est incorrecte car la méthylation anormale de la région promotrice est associée aux mutations complètes, et non aux prémutations.",L'absence de répétition CGG dans la région 5' non traduite du gène FMR1.,"Cette option est incorrecte car la répétition CGG est présente dans la région 5' non traduite du gène FMR1, et non absente.",a,"{{objectif de connaissance
|Identifiant=OIC-045-19-B
|Item_parent=Spécificités des maladies génétiques. (voir item 9)
|Item_parent_short=Spécificités des maladies génétiques. (voir item 9)
|Rang=B
|Intitulé=Connaître les mécanismes génétiques dans le syndrome du X fragile (prémutation et mutation complète concernant l’X fragile)
|Description=Connaitre les mécanismes génétiques dans le syndrome du X fragile
|Rubrique=Diagnostic positif
|Contributeurs=Gaétan Lesca,Elise Launay
|Ordre=19}}

Gène ''FMR1'' (''Fragile X Mental Retardation 1''), dans la région Xq27.

Répétition de trinucléotides CGG dans la région 5’ non traduite.

Allèles normaux < 45 CGG, comportant 1 à 4 interruptions AGG.

Des allèles de taille différente sont rencontrés dans les familles :

* > 200 CGG, appelées mutations complètes, chez les sujets masculins et féminins porteurs de troubles neurodéveloppementaux (et certaines femmes asymptomatiques). Elles sont associées à une méthylation anormale de la région promotrice, qui conduit à une répression de la transcription du gène.
* 55 à 200 CGG, appelées prémutations, sans hyperméthylation, chez les hommes conducteurs sains et la majorité des femmes conductrices.
* 45 à 54 CGG, appelés allèles de taille intermédiaire, qui ont également tendance à l’instabilité et peuvent évoluer vers la prémutation en quelques générations (en fonction du nombre d’interruptions AGG).

Les mutations complètes favorisent les cassures de l’extrémité Xq27.3 observées sur 5 à 40 % des mitoses sur le caryotype (origine du nom du syndrome).

Les prémutations sont instables lors des transmissions :

* Tendance à l’expansion, de quelques trinucléotides à plusieurs dizaines.
* Passage d’une prémutation à une mutation complète uniquement lors des transmissions maternelles.
* Risque d’expansion vers une mutation complète en une seule génération, corrélé à la taille de la prémutation maternelle.

Diagnostic moléculaire par des '''techniques spécifiques''' (techniques optimisées de PCR et migration sur séquenceur capillaire, ''Southern blot'') car les expansions CGG sont réfractaires au séquençage par les techniques actuelles.

Certains patients atteints du syndrome de l’X fragile ne sont pas porteurs de l’expansion mais de délétions d’une partie ou de la totalité du gène ''FMR1'', ou de variants faux-sens."
163,OIC-047-01-A,Quelle est la définition d'un nourrisson ?,"Cette question évalue la capacité à définir correctement la tranche d'âge d'un nourrisson, qui est définie comme étant entre 1 et 23 mois.",Un enfant de 0 à 1 an,Cette option est incorrecte car elle ne respecte pas la définition donnée dans le contenu éducatif.,Un enfant de 1 à 23 mois,Cette option est correcte car elle respecte la définition donnée dans le contenu éducatif.,Un enfant de 2 ans à la puberté,Cette option est incorrecte car elle ne respecte pas la définition donnée dans le contenu éducatif.,Un adolescent de plus de 13 ans,Cette option est incorrecte car elle ne respecte pas la définition donnée dans le contenu éducatif.,b,"{{objectif de connaissance
|Identifiant=OIC-047-01-A
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=A
|Intitulé=Connaître les définitions des tranches d’âge des enfants
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=1}}
Nouveau-né : 0-1 mois

Nourrisson : 1 -23 mois

Enfant : 2 ans- < puberté

Adolescent : > puberté"
164,OIC-047-02-B,Quelle est la tranche d'âge pour laquelle le dépistage systématique des troubles visuels est recommandé par les professionnels de santé?,Cette question évalue la capacité à identifier la tranche d'âge pour laquelle le dépistage systématique des troubles visuels est recommandé.,Nourrisson (0-1 an),Cette option est incorrecte car le dépistage systématique des troubles visuels est recommandé pour les enfants de 8 à 12 ans.,Enfant (1-6 ans),Cette option est correcte car le dépistage systématique des troubles visuels est recommandé pour les enfants de 8 à 12 ans.,Adolescent (13-18 ans),Cette option est incorrecte car le dépistage systématique des troubles visuels n'est pas recommandé pour les adolescents.,Enfant (6-12 ans),"Cette option est incorrecte car le dépistage systématique des troubles visuels est recommandé pour les enfants de 8 à 12 ans, pas pour les enfants de 6 à 12 ans.",b,"{{objectif de connaissance
|Identifiant=OIC-047-02-B
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=B
|Intitulé=Connaître les recommandations professionnelles du suivi des nourrissons et enfants
|Description=None
|Rubrique=Prise en charge
|Contributeurs=Elise Launay
|Ordre=2}}

20 examens obligatoires : 8ème jour (certificat n°1) : au cours des 8 premiers jours, 14 jours (2<sup>ème</sup> semaine), 1 mois, 2 mois, 3 mois, 4 mois, 5 mois, 6 mois, 9 mois (certificat n°2), 12 mois, 13 mois, 16-18 mois, 24-25 mois (certificat n°3), 3 ans, 4 ans, 5 ans, 6 ans, 8-9 ans, 11-13 ans, 15-16 ans

Médecin traitant de l’enfant : médecin formé à la santé de l’enfant , pédiatre ou médecin généraliste, en cabinet ou en service de protection maternelle et infantile jusqu’à 6 ans"
165,OIC-047-04-A,Quand doit-on effectuer le dépistage systématique des troubles visuels chez un enfant?,Cette question évalue la capacité à identifier les moments clés du dépistage systématique des troubles visuels chez l'enfant.,À la naissance,Cette option est incorrecte car le dépistage systématique des troubles visuels commence plus tard.,Entre 2 et 3 ans,Cette option est incorrecte car le dépistage systématique des troubles visuels commence plus tôt.,Entre 9 et 24 mois,Cette option est correcte car le dépistage systématique des troubles visuels commence entre 9 et 24 mois.,Entre 5 et 6 ans,Cette option est incorrecte car le dépistage systématique des troubles visuels commence plus tôt.,c,"{{objectif de connaissance
|Identifiant=OIC-047-04-A
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=A
|Intitulé=Connaître le dépistage systématique des troubles visuels
|Description=examens ophtalmologiques recommandés chez l'enfant
|Rubrique=Définition
|Contributeurs=Elise Launay
|Ordre=4}}

Bilan visuel systématique à la naissance, 2 mois, 4 mois, entre 9 et 24 mois, 2-3 ans, 5 ans (6<sup>ème</sup> année)

Anomalies très fréquentes: 1 enfant sur 5 de moins de 6 ans"
166,OIC-047-05-B,Quels sont les facteurs de risque des troubles visuels chez l'enfant?,"Cette question évalue la capacité à identifier les principaux facteurs de risque des troubles visuels chez l'enfant, en fonction de leur nature (personnels, familiaux) et de leur impact sur le développement visuel.",La prématurité et l'anoxie périnatale,Cette option est correcte car la prématurité et l'anoxie périnatale sont des facteurs de risque importants pour les troubles visuels chez l'enfant.,La surdité,"Cette option est correcte car la surdité est un facteur de risque pour les troubles visuels chez l'enfant, en particulier pour le développement de la vision binoculaire.",La trisomie 21,"Cette option est correcte car la trisomie 21 est associée à un risque accru de troubles visuels chez l'enfant, notamment de strabisme et de cataracte.",La consommation de cocaïne pendant la grossesse,"Cette option est incorrecte car la consommation de cocaïne pendant la grossesse est un facteur de risque pour les troubles visuels chez l'enfant, mais elle n'est pas la seule option correcte.",a,"{{objectif de connaissance
|Identifiant=OIC-047-05-B
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=B
|Intitulé=Connaître les principales situations à risque des troubles visuels
|Description=None
|Rubrique=Prise en charge
|Contributeurs=
|Ordre=5}}
'''Facteurs de risques personnels'''

* exposition in utero aux toxiques (cocaïne, alcool), à certains agents infectieux (embryofoetopathies liée à la toxoplasmose ou à la syphilis par exemple)
* Prématurité, anoxie périnatale, petit poids de naissance (inférieur à 1500g)
* Troubles neuro-moteurs, infirmité motrice cérébrale
* Anomalies chromosomiques (trisomie 21)
* Malformation du crâne ou de la face (craniosténoses, dysostoses craniofaciales
* Surdité

'''Facteurs de risques familiaux''' : strabisme ; troubles sévères de la réfraction : myopies sévères et précoces ; amblyopie ; astigmatisme ; maladie ophtalmologique héréditaire…"
167,OIC-047-07-A,Quand doit-on adresser un enfant à un ophtalmologiste?,Cette question évalue la capacité à identifier les indications d'adressage d'un enfant à un ophtalmologiste en fonction de différents critères.,"En cas d'antécédents personnels ou familiaux de facteurs de risque, même en l'absence de signes d'appel.",Cette option est correcte car elle reflète les recommandations pour le dépistage systématique des troubles visuels chez les enfants.,En cas d'anomalie ou de doute à l'inspection ou à un test de dépistage.,Cette option est incorrecte car elle ne reflète pas les indications d'adressage spécifiques aux ophtalmologistes.,En cas d'impossibilité de mesurer l'acuité visuelle (âge verbal).,Cette option est incorrecte car elle ne reflète pas les indications d'adressage spécifiques aux ophtalmologistes.,"En cas de signes d'appel tels que leucocorie, cornée trouble, strabisme d'apparition brutale ou nystagmus d'apparition récente.",Cette option est correcte car elle reflète les indications d'adressage en urgence à un ophtalmologiste en cas de signes d'appel spécifiques.,d,"{{objectif de connaissance
|Identifiant=OIC-047-07-A
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=A
|Intitulé=Connaître les indications d’adressage d’un enfant à un ophtalmologiste
|Description=None
|Rubrique=Prise en charge
|Contributeurs=Elise Launay
|Ordre=7}}

Adresser à l'ophtalmologiste si

* antécédents personnels ou familiaux : facteurs de risque = examen ophtalmologique entre3 et 12 mois, même en l’absence de signes d’appel.
* anomalie ou doute à l'inspection
* anomalie ou doute à un test de dépistage
* signes d'appel
* impossibilité de mesurer l'acuité visuelle (âge verbal)

'''EN URGENCE si'''

o   leucocorie,

o   cornée trouble (glaucome)

o   strabisme d’apparition brutale

o   nystagmus d’apparition récente"
168,OIC-047-08-B,Quelle est la période de développement anatomique et fonctionnel du système visuel chez l'enfant?,"Cette question évalue la compréhension de la période de développement du système visuel chez l'enfant, en particulier son immaturité à la naissance et son développement jusqu'à l'âge de 10 ans.",De la naissance à l'âge de 1 an,"Cette option est incorrecte car le développement du système visuel se poursuit jusqu'à l'âge de 10 ans, et non seulement jusqu'à 1 an.",De la naissance à l'âge de 5 ans,"Cette option est partiellement correcte car le développement du système visuel se poursuit jusqu'à l'âge de 10 ans, mais la période de 5 ans est trop courte.",De la naissance à l'âge de 10 ans,"Cette option est correcte car elle indique clairement la période de développement anatomique et fonctionnel du système visuel chez l'enfant, qui se poursuit jusqu'à l'âge de 10 ans.",De la naissance à l'âge de 15 ans,"Cette option est incorrecte car elle indique une période de développement trop longue, qui n'est pas nécessaire pour répondre à la question.",c,"{{objectif de connaissance
|Identifiant=OIC-047-08-B
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=B
|Intitulé=Comprendre le développement du système visuel
|Description=None
|Rubrique=Physiopathologie
|Contributeurs=
|Ordre=8}}
·      Le système visuel

* est immature à la naissance
* développement anatomique et fonctionnel jusqu'à l'âge de 10 ans.

·      Conséquences d'un trouble du développement = vision plus faible entrainant une mauvaise acuité visuelle par non-usage de l'oeil

·      Acuité visuelle : capacité à distinguer des détails séparés par un angle réduit dans l'axe du regard, capacité à distinguer  points distincts dans un contraste maximal (noir sur fond blanc par exemple)

·      Etape de la vision

§  augmentation progressive de l'acuité visuelle de 1/30ème (doigt à 30 cm) à la naissance à 10/10ème vers 5-6 ans (au CP)

§  Poursuite oculaire, fixation mono et binoculaire, convergence, début de vision des couleurs (rouge d'abord) à 4 mois

§  Vision stéréoscopique à 6 mois"
169,OIC-047-10-A,Quels sont les âges clés du dépistage auditif chez l'enfant ?,"Cette question évalue la capacité à identifier les âges clés du dépistage auditif chez l'enfant, conformément à l'objectif de connaissance OIC-047-10-A.","9 mois, 24 mois, 36 mois et école maternelle",Cette option est correcte car elle correspond aux âges clés du dépistage auditif mentionnés dans le contenu source.,"9 mois, 24 mois, 36 mois et 6 ans","Cette option est incorrecte car elle inclut l'âge de 6 ans, qui n'est pas mentionné dans le contenu source.","9 mois, 24 mois, 36 mois et 1 an","Cette option est incorrecte car elle inclut l'âge de 1 an, qui n'est pas mentionné dans le contenu source.","9 mois, 24 mois, 36 mois et 2 ans","Cette option est incorrecte car elle inclut l'âge de 2 ans, qui n'est pas mentionné dans le contenu source.",a,"{{objectif de connaissance
|Identifiant=OIC-047-10-A
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=A
|Intitulé=Connaître les modalités du dépistage systématique des troubles auditifs
|Description=Connaître les âges clés du dépistage auditif
|Rubrique=Définition
|Contributeurs=
|Ordre=10}}
Anomalies auditives fréquentes : 1enfant sur 20 de moins de 6 ans

Tests auditifs à la maternité, 9 mois, 24 mois, 36 mois et école maternelle

Importance du dépistage car répercussion de la perte d'audition sur le neuro psycho développement"
170,OIC-047-11-B,Quels sont les facteurs de risque des troubles auditifs chez l'enfant en fonction de son âge ?,Cette question évalue la capacité à identifier les principaux facteurs de risque des troubles auditifs chez l'enfant en fonction de son âge.,La prématurité et l'anoxie périnatale,Cette option est correcte car la prématurité et l'anoxie périnatale sont des facteurs de risque de troubles auditifs chez l'enfant.,La surdité familiale et les infections sévères,Cette option est incorrecte car la surdité familiale et les infections sévères ne sont pas des facteurs de risque spécifiques de troubles auditifs chez l'enfant en fonction de son âge.,La trisomie 21 et les anomalies chromosomiques,Cette option est incorrecte car la trisomie 21 et les anomalies chromosomiques ne sont pas des facteurs de risque spécifiques de troubles auditifs chez l'enfant en fonction de son âge.,La rubéole et la syphilis,Cette option est incorrecte car la rubéole et la syphilis ne sont pas des facteurs de risque spécifiques de troubles auditifs chez l'enfant en fonction de son âge.,a,"{{objectif de connaissance
|Identifiant=OIC-047-11-B
|Item_parent=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Item_parent_short=Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles
|Rang=B
|Intitulé=Connaître les principales situations à risque des troubles auditifs chez l’enfant en fonction de son âge
|Description=None
|Rubrique=Diagnostic positif
|Contributeurs=
|Ordre=11}}
Référence = guide pratique SFP/DGS <ref>[https://solidarites-sante.gouv.fr/IMG/pdf/Depistage_des_troubles_de_l_audition_chez_l_enfant.pdf Guide pratique de dépistage des troubles de l'audition chez l'enfant]</ref>

'''Facteurs de risques familiaux'''

* surdité : prothèse auditive avant l’âge de 50 ans

'''Facteurs de risques personnels'''

* In utero : exposition in utero aux toxiques, à certains agents infectieux (embryofoetopathies liée à la rubéole, CMV, syphilis par exemple)
* Période néonatale : prématurité, anoxie périnatale, petit poids de naissance, troubles neuro-moteurs, infirmité motrice cérébrale, anomalies chromosomiques (trisomie 21, 22q11), malformation du crâne (craniosténoses) ou de la face, ictère sévère avec exsanguino transfusion, infection sévère et/ou traitement ototoxique

* Période post néonatale : traumatisme du roche, méningite bactériennes (pneumocoque ++), otites chroniques"
