,id,question,option_a,option_b,option_c,option_d,correct_option
26,OIC-006-02-A-,Quelle est la principale caractéristique du parcours de soins selon le contenu éducatif?,Il est exclusivement géré par les médecins,Il est exclusivement géré par les infirmiers,Il est exclusivement géré par les pharmaciens,Il implique l'organisation et la coordination des compétences professionnelles de différents acteurs de santé,d
27,OIC-006-03-A,Quelle est la principale caractéristique d'un protocole pluriprofessionnel?,Il est élaboré par un seul professionnel de santé.,Il ne prend pas en compte les dernières avancées scientifiques.,Il est destiné à faciliter le travail en équipe et à standardiser la prise en charge.,Il est uniquement utilisé dans les structures hospitalières.,c
28,OIC-006-04-B,Quel est le principal objectif des réunions de concertation pluridisciplinaire (RCP)?,Évaluer les connaissances des médecins participants,Définir la meilleure prise en charge d'un patient complexe,Organiser des formations médicales continues,Établir des protocoles de soins standardisés,b
29,OIC-006-04-B-,Dans quel domaine les RCP sont-elles systématiquement organisées?,Psychiatrie,Cardiologie,Cancérologie,Pédiatrie,c
30,OIC-006-05-A,Quel est l'objectif principal des check-lists dans le domaine médical?,Améliorer la communication entre les patients et les médecins,Sécuriser la réalisation d'une intervention chirurgicale,Réduire le coût des interventions chirurgicales,Accélérer le processus d'intervention chirurgicale,b
31,OIC-006-05-A-,Quel est un des principes clés des check-lists pour la sécurité du patient au bloc opératoire?,Utiliser des médicaments sans vérification,Faire un point entre professionnels aux moments clés de l'intervention,Ignorer les risques potentiels,Réduire le temps d'intervention,b
32,OIC-006-06-A,Quel est le principal objectif d'une Réunion de Morbi-Mortalité (RMM)?,Évaluer les compétences des médecins,Analyser collectivement des situations cliniques marquées par un événement indésirable associé aux soins,Organiser des formations pour les nouveaux arrivants,Planifier les prochains rendez-vous des patients,b
33,OIC-006-06-A-,Quelle est la principale méthode utilisée lors d'une RMM pour améliorer la sécurité des soins?,Répétition des mêmes procédures,Analyse systémique des situations cliniques,Ignorer les erreurs pour éviter les répercussions,Augmenter le nombre de patients traités,b
34,OIC-006-07-A,Quelle est la mission principale du Samu-Centre 15?,Assurer une écoute médicale permanente,Organiser le transport du patient,Désigner l'établissement de soins,Conseiller les équipes sur place,a
35,OIC-006-07-A-,Quel est le rôle du médecin régulateur (MR) dans la gestion de l'appel en urgence?,Identifier le lieu de la détresse,Engager les moyens nécessaires,Assurer la prise en charge sur place,Organiser le suivi de l'appel,b
36,OIC-006-08-A,Quels critères sont interdits pour traiter différemment des personnes selon les conventions internationales?,Appartenance ethnique,Opinions politiques,Identité de genre,Tous les critères mentionnés,d
37,OIC-006-08-A-,Quelle est la conséquence d'un refus de soin basé sur la nationalité selon la réponse du Défenseur des Droits?,Il est légitime si la situation de santé publique le justifie,Il est interdit par le Code de la Santé Publique,Il est acceptable si la situation administrative est complexe,Il est légitime si la communication est difficile,b
38,OIC-008-01-A,Quel est l'impact des discriminations sur l'insertion socio-économique et l'état de santé psychique et physique?,Elles améliorent l'insertion socio-économique et la santé psychique et physique.,Elles n'ont aucun impact sur l'insertion socio-économique et la santé psychique et physique.,Elles aggravent l'insertion socio-économique et la santé psychique et physique.,Elles n'ont pas d'impact sur l'insertion socio-économique mais améliorent la santé psychique et physique.,c
39,OIC-008-01-A-,Quel est l'effet des discriminations sur le stress et la santé cardiovasculaire?,Les discriminations n'ont aucun effet sur le stress et la santé cardiovasculaire.,Les discriminations améliorent le stress et la santé cardiovasculaire.,Les discriminations aggravent le stress et la santé cardiovasculaire.,Les discriminations n'ont pas d'effet sur le stress mais améliorent la santé cardiovasculaire.,c
40,OIC-008-02-B,Quelles sont les causes structurelles et organisationnelles des discriminations en santé selon la publication de Migration Santé Alsace?,Les discriminations sont uniquement dues à des représentations sociales.,"Les discriminations sont dues à des dysfonctionnements dans le système de santé, un défaut de prise en charge ou un abaissement de la qualité des soins.",Les discriminations sont causées par un manque de coordination entre les équipes de soin.,Les discriminations sont liées à un rapport de pouvoir asymétrique uniquement dans le soin.,b
41,OIC-008-03-B,Quelle est la principale différence entre l'éthique et la morale?,"L'éthique est une discipline scientifique, tandis que la morale est une norme de conduite.","L'éthique permet de remettre en question les normes morales, tandis que la morale est une norme de conduite.","L'éthique est une discipline scientifique, tandis que la morale est une norme de conduite.","L'éthique est une norme de conduite, tandis que la morale est une discipline scientifique.",b
42,OIC-008-03-B-,Quelle est la principale caractéristique de l'éthique appliquée?,Elle est uniquement théorique et ne concerne pas la pratique.,Elle est une discipline scientifique qui ne débouche pas sur des avis pratiques.,"Elle est pratique et opérationnelle, visant à guider la prise de décision.",Elle est une norme de conduite qui ne nécessite pas de débat.,c
43,OIC-009-01-A,Quelle est la principale caractéristique de la bioéthique selon V.R. Potter?,Elle est exclusivement axée sur les sciences biologiques,Elle vise à une alliance entre sciences biologiques et éthique,Elle est uniquement réglementée par des juristes,Elle ne prend pas en compte les enjeux économiques,b
44,OIC-009-01-A-,Quel est le principal défi posé par l'évolution contemporaine de la médecine selon le texte?,La limitation des ressources médicales,La délimitation des frontières de l'intervention thérapeutique,La réduction des enjeux sociétaux,La diminution de la responsabilité collective,b
45,OIC-009-02-A,Quel est le premier usage du terme 'déontologie' en langue française?,"En 1825, dans un ouvrage de philosophie","En 1900, dans un traité de droit","En 1750, dans un manuel de médecine","En 1950, dans un rapport d'expertise",a
46,OIC-009-03-A,Quel principe éthique est fondé sur la morale aristotélicienne et le « Primum non nocere »?,La bienfaisance,La non-malfaisance,Le respect de l'autonomie,La justice,b
47,OIC-009-03-A-,Quel principe éthique est issu de la philosophie dite « moderne » du XVIIe siècle et préfigure celle des Lumières au XVIIIe?,La bienfaisance,La non-malfaisance,Le respect de l'autonomie,La justice,c
48,OIC-009-04-A,Quel est le principe fondamental qui guide la pratique médicale moderne concernant le respect de l'autonomie du patient?,Le principe du paternalisme,Le principe de l'autonomie du patient,Le principe de l'absence de consentement,Le principe de l'urgence médicale,b
49,OIC-009-04-A-,Quelle loi française a renforcé le droit à l'information et au consentement dans toutes les pratiques de soins?,Loi de 1988 sur la recherche biomédicale,Loi de 1994 sur la bioéthique,Loi du 4 mars 2002 relative aux droits des malades et à la qualité du système de santé,Loi de 2016 sur la fin de vie,c
50,OIC-009-05-A-,Quelle loi française interdit l'obstination déraisonnable et rend les directives anticipées contraignantes pour le médecin?,Loi du 4 mars 2002 relative aux droits des malades et à la qualité du système de santé,Loi de 1975 sur l'interruption volontaire de grossesse,Loi Clayes-Léonetti de 2016,Loi Veil de 1975,c
51,OIC-009-06-A,Quelle est la première acception de la vulnérabilité selon les sciences humaines et sociales?,"La vulnérabilité comme constitutive de l’existence humaine, universellement partagée",La vulnérabilité comme dépendante de contextes historiques et sociaux particuliers,La vulnérabilité comme une condition négative empêchant l’autonomie,La vulnérabilité comme une notion historiquement et culturellement située,a
52,OIC-009-06-A-,Quelle est la deuxième acception de la vulnérabilité selon les sciences humaines et sociales?,"La vulnérabilité comme constitutive de l’existence humaine, universellement partagée",La vulnérabilité comme dépendante de contextes historiques et sociaux particuliers,La vulnérabilité comme une condition négative empêchant l’autonomie,La vulnérabilité comme une notion historiquement et culturellement située,b
53,OIC-009-07-A,Quelle est la principale finalité des mesures de protection juridique pour les personnes majeures?,Protéger les libertés individuelles et la dignité de la personne,Permettre à la personne de prendre toutes les décisions médicales sans assistance,Assurer la protection des biens de la personne,Permettre à la personne de se retirer de la société,a
54,OIC-009-07-A-,Quel est le droit fondamental des patients majeurs protégés sous tutelle?,Leur droit à la communication directe de leur dossier médical,Leur droit à un consentement révocable à tout moment pour les actes médicaux,Leur droit à un consentement obligatoire pour tous les actes médicaux,Leur droit à un consentement uniquement donné par le tuteur,b
55,OIC-009-08-A,"Quelle mesure de protection est temporaire et aux effets limités, permettant de traiter une situation en urgence lorsqu’une personne majeure risque des actes contraires à ses intérêts?",La tutelle,La curatelle,La sauvegarde de justice,La protection des mineurs,c
56,OIC-009-08-A-,Quelle mesure de protection est plus protectrice et permet à une autre personne de représenter la personne majeure à protéger dans les actes de la vie courante?,La sauvegarde de justice,La curatelle,La tutelle,La protection des mineurs,c
57,OIC-009-09-B,Quel est le rôle du médecin traitant dans la procédure de mise en place d'une mesure de protection?,Il rédige le certificat médical circonstancié.,Il désigne le tuteur ou le curateur.,Il assiste la personne à l'audition du juge.,Il signe la requête de protection.,a
58,OIC-009-10-B,Quel est le principal objectif de la loi Veil de 1975 concernant l'interruption volontaire de grossesse (IVG) en France?,Permettre aux femmes de choisir leur mode de procréation,Garantir un accès égal et sécurisé à l'IVG,Interdire l'IVG pour des raisons éthiques,Réduire le nombre d'IVG pratiquées,b
59,OIC-009-11-A,Quelles sont les deux conditions légales pour l'interruption médicale de grossesse (IMG)?,La grossesse doit être à un terme supérieur à 24 semaines et la femme doit avoir un cancer.,La grossesse doit mettre en péril grave la santé de la femme ou il existe une forte probabilité que l'enfant à naître soit atteint d'une affection de particulière gravité reconnue comme incurable.,La grossesse doit être à un terme inférieur à 12 semaines et la femme doit avoir une infection.,La grossesse doit être à un terme supérieur à 12 semaines et la femme doit avoir une affection psychiatrique.,b
60,OIC-009-11-A-,Quel est le rôle de l'équipe pluridisciplinaire lors d'une demande d'IMG pour motif médical?,Elle décide de la poursuite ou non de la grossesse sans consultation de la femme.,Elle examine la demande de la femme et donne son avis après une procédure collégiale.,Elle pratique l'interruption de grossesse sans avis préalable.,Elle ne participe pas à la décision et laisse la femme décider seule.,b
61,OIC-009-12-B-,Quel est le critère principal pour autoriser une interruption volontaire de grossesse pour motif médical (IMG) selon la loi française?,Présence d'une maladie incurable chez le fœtus,Présence d'une maladie grave chez le fœtus,Présence d'une maladie grave chez la mère,Présence d'une maladie grave chez le couple,b
62,OIC-009-13-A,Quel est l'objectif principal du diagnostic préimplantatoire (DPI)?,Éviter la transmission d'une maladie génétique chez les futurs parents,Analyser le patrimoine génétique d'un embryon avant son transfert in utero,Éviter l'épreuve du diagnostic prénatal et une éventuelle interruption de grossesse,Permettre à des couples à risque élevé de transmettre une maladie génétique d'éviter l'épreuve du diagnostic prénatal et d'une éventuelle interruption de grossesse,b
63,OIC-009-13-A-,Quelle est la principale préoccupation éthique liée au typage HLA des embryons dans le cadre d'affections hématologiques?,La possibilité de sélectionner des embryons immunologiquement compatibles avec un frère ou une sœur malade,La recherche d'une compatibilité immunologique avec un aîné malade doit toujours venir en seconde position,L'instrumentalisation éventuelle de la procréation,L'absence de bénéfice direct pour l'embryon interdit ce type de procédure,c
64,OIC-009-14-B-,Quelle loi française a introduit la notion de directives anticipées pour les personnes en fin de vie?,Loi Kouchner du 4 mars 2002,Loi Clayes-Léonetti de 2016,Loi de bioéthique de 2011,Loi de santé publique de 2004,b
65,OIC-009-15-B,Quelle est la principale nouveauté de la loi Clayes-Léonetti de 2016 par rapport à la loi Léonetti de 2005 concernant les directives anticipées?,Les directives anticipées deviennent contraignantes pour les médecins.,Les directives anticipées ne peuvent plus être révisées ou révocées.,Les directives anticipées ne s'appliquent plus en cas d'urgence vitale.,Les directives anticipées ne s'appliquent plus si le patient est en phase terminale d'une affection grave et incurable.,a
66,OIC-009-15-B-,Quel est le principe du double effet selon lequel la loi Clayes-Léonetti s'appuie pour justifier la sédation profonde et continue?,Le principe du double effet permet de justifier l'administration d'antalgiques qui peuvent précipiter la mort.,Le principe du double effet permet de justifier l'arrêt de tous les traitements de maintien en vie.,Le principe du double effet permet de justifier la limitation des soins sans arrêt des traitements vitaux.,Le principe du double effet permet de justifier l'obstination déraisonnable en prolongeant la vie.,a
67,OIC-009-16-B-,Quelle loi a introduit la notion de personne de confiance en France?,Loi du 9 juin 1999,Loi du 4 mars 2002,Loi du 22 avril 2005,Loi du 2 février 2016,b
68,OIC-009-17-A,Quel est le principe éthique qui consiste à ne pas causer de préjudice par la recherche?,Principe de bienfaisance,Principe de non-malfaisance,Principe d'autonomie,Principe de justice,b
69,OIC-009-18-A-,Quel est le rôle de l'Agence de la Biomédecine (ABM) dans le système de don d'organes en France?,Gestion de la liste d'attente et attribution des greffons,Prélèvement des organes,Dépistage des maladies transmissibles,Sensibilisation du public,a
70,OIC-009-20-B,Qui peut être donneur vivant selon la loi de 2004?,Le conjoint,Les frères et sœurs,Les fils et filles,Les grands-parents,a
71,OIC-009-20-B-,Quel est le consentement requis pour un donneur vivant selon la loi?,Consentement implicite,Consentement verbal,Consentement écrit et recueilli devant un magistrat,Consentement par téléphone,c
72,OIC-009-21-A,Quels sont les principaux éléments du corps humain selon la définition donnée dans le texte?,"Les ongles, poils, dents et cheveux","Le sang et ses composants, ainsi que les produits sanguins labiles","Les organes, qui ne peuvent être utilisés que dans le cadre du don","Les tissus ou les cellules, comprenant les cellules hématopoïétiques issues de la moelle osseuse, du sang de cordon ou placentaire, les tissus ou cellules embryonnaires ou fœtaux, de cellules du cordon et du placenta, les gamètes, etc.",d
73,OIC-009-23-A,Quel est l'impact principal de la maladie sur l'expérience du corps selon le contenu éducatif?,La maladie n'affecte que le corps physique sans impact sur l'identité.,La maladie modifie l'expérience du corps en affectant l'identité et les relations sociales.,La maladie n'affecte que les relations sociales sans impact sur l'identité.,La maladie n'affecte ni l'identité ni les relations sociales.,b
74,OIC-009-23-A-,Quelle est la nature de la douleur selon le contenu éducatif?,La douleur est uniquement un phénomène physique sans impact sur l'identité.,La douleur est un fait d'existence qui atteint l'identité et les relations sociales.,La douleur n'affecte que les relations sociales sans impact sur l'identité.,La douleur n'affecte ni l'identité ni les relations sociales.,b
75,OIC-009-24-B-,Quel est l'impact des dispositifs techniques en médecine sur la manière de voir et concevoir les maladies?,Ils n'ont aucun impact sur la manière de voir et concevoir les maladies.,Ils simplifient la manière de voir et concevoir les maladies.,Ils redéfinissent la manière de voir et concevoir les maladies.,Ils rendent la manière de voir et concevoir les maladies plus complexe.,c
76,OIC-009-25-B,Quelle est la définition de la protection sociale?,L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières.,"L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes âgées.","L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes en situation de handicap.","L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes en situation de chômage.",a
77,OIC-009-25-B-,Quelles sont les quatre logiques de protection sociale?,"Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective.","Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective, mais uniquement pour les personnes âgées.","Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective, mais uniquement pour les personnes en situation de handicap.","Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective, mais uniquement pour les personnes en situation de chômage.",a
78,OIC-009-26-B,Quelles sont les deux formes principales de prestations sociales en France?,En espèces et en nature,En espèces et en espèces,En nature et en nature,En nature et en nature,a
79,OIC-009-26-B-,Quel est le risque le plus important dans la protection sociale en France?,Le risque vieillesse-survie,Le risque santé,Le risque maternité-famille,Le risque emploi,a
80,OIC-009-27-B,Quel a été l'impact de la crise sanitaire de 2020 sur les prestations de protection sociale en France?,Les prestations ont diminué de 5%.,"Les prestations ont augmenté de 6,8%.",Les prestations ont stagné.,Les prestations ont diminué de 10%.,b
81,OIC-010-01-A-,Quel est l'impact de la baisse de l'activité professionnelle en 2020 sur les ressources de la protection sociale?,Une augmentation des cotisations sociales,Une diminution des cotisations sociales,Une augmentation des impôts sur le revenu et le patrimoine,Une diminution des contributions publiques de l'État,b
82,OIC-010-02-B,Quel est le principal objectif du régime général de la sécurité sociale?,"Assurer la couverture des risques maladie, accidents du travail et retraite uniquement","Assurer la couverture de tous les risques sociaux, y compris ceux des indépendants",Assurer la couverture des risques maladie et accidents du travail uniquement,Assurer la couverture des risques maladie et retraite uniquement,b
83,OIC-010-02-B-,Quel est le rôle de la Caisse nationale d’assurance maladie (Cnam)?,Gérer les pensions de retraite de base,Accompagner les familles dans leur vie quotidienne,"Prendre en charge les risques maladie, maternité, invalidité et décès",Recouvrer les cotisations sociales,c
84,OIC-010-03-B,Quel est le rôle principal de la loi de financement de la sécurité sociale (LFSS)?,Fixer le budget de l'État,Déterminer les conditions générales de l'équilibre financier de la sécurité sociale,Autoriser la perception des recettes de la sécurité sociale,Voter les objectifs de dépenses de l'État,b
85,OIC-010-03-B-,Quelle est la principale différence entre la loi de financement de la sécurité sociale (LFSS) et la loi de finances (LF)?,La LFSS a une portée budgétaire,Le Parlement vote la LFSS mais pas la LF,La LFSS ne peut pas être modifiée en cours d'année,La LFSS fixe les objectifs de dépenses mais ne les limite pas,d
86,OIC-019-01-A,Quel est le but principal de l’Objectif national des dépenses d’Assurance maladie (ONDAM)?,Fixer le montant des primes d’assurance maladie,Réguler les dépenses de l’assurance maladie,Déterminer le nombre de médecins à embaucher,Calculer le taux de remboursement des médicaments,b
87,OIC-019-01-A-,Quel organisme est chargé d’alerter le Parlement en cas de dépassement de l’ONDAM?,La Commission des comptes de la sécurité sociale,Le Comité d’alerte sur l’évolution des dépenses d’assurance maladie,La Cour des comptes,Le Conseil économique et social,b
88,OIC-019-02-A,Quel est le régime qui couvre 88 % de la population française?,Le régime agricole,Le régime général,Le régime des entreprises et établissements publics,Le régime de la fonction publique,b
89,OIC-019-02-A-,"Quel est le régime qui gère à la fois les prestations d’assurance maladie, accidents du travail et maladies professionnelles, retraite et famille?",Le régime général,La Mutualité sociale agricole (MSA),Le régime des entreprises et établissements publics,Le régime de la fonction publique,b
90,OIC-019-03-B-,Quel est le rôle de l'assurance maladie dans la politique conventionnelle?,Définition du périmètre des actes remboursables,Tarification des actes et niveau de prise en charge,Conduite de la politique conventionnelle (relations entre les professionnels de santé et l'assurance maladie),Participation à la politique de prévention,c
91,OIC-019-04-B-,Quel est le montant de la participation forfaitaire pour une consultation chez un médecin traitant conventionné en secteur 1?,1 €,2 €,50 €,25 €,a
92,OIC-019-05-A,Quel est le rôle principal du médecin traitant dans le parcours de soins coordonnés?,Gérer les dépassements d'honoraires,Assurer les soins réguliers et orienter le patient vers d'autres professionnels de santé,Pratiquer des dépassements d'honoraires,Assurer la prévention personnalisée uniquement,b
93,OIC-019-07-B,Quelles sont les prestations en espèces de l'assurance maladie?,Remboursement total des frais de santé,Indemnités journalières versées à compter du 4ème jour d'arrêt de travail,Exonération du ticket modérateur,Prise en charge à 100% des examens prénataux,b
94,OIC-019-07-B-,Quelles sont les prestations en nature de l'assurance maladie?,Indemnités journalières pendant la durée légale du congé maternité,"Prise en charge à 100% des examens médicaux, échographies, séances de préparation à la naissance","Pension d'invalidité calculée en fonction du revenu, de la capacité résiduelle de travail et du besoin éventuel d'une tierce personne",Capital décès versé aux ayants droit sous certaines conditions et si la personne décède alors qu'elle est en activité,b
95,OIC-019-08-A,Quelle est la définition de la recherche en santé selon le contenu éducatif?,Toutes les études visant le développement des connaissances biologiques ou médicales pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé.,"Toutes les études visant le développement des connaissances biologiques ou médicales pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé, mais sans mention de l’organisation en France.","Toutes les études visant le développement des connaissances biologiques ou médicales pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé, mais sans mention de l’organisation en France autour de trois niveaux.","Toutes les études visant le développement des connaissances biologiques ou médicales pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé, mais sans mention de l’organisation en France autour de trois niveaux et des ministères impliqués.",a
96,OIC-019-08-A-,Comment est organisée la recherche en santé en France selon le contenu éducatif?,"Organisation en France autour de trois niveaux : décision, programmation et opérateurs.","Organisation en France autour de trois niveaux : décision, programmation et opérateurs, mais sans mention des ministères impliqués.","Organisation en France autour de trois niveaux : décision, programmation et opérateurs, mais sans mention des agences généralistes et spécifiques.","Organisation en France autour de trois niveaux : décision, programmation et opérateurs, mais sans mention des organismes nationaux de recherche et des universités.",a
97,OIC-019-09-A,Quelle est la définition de la méthodologie de la recherche en santé?,Ensemble des étapes élémentaires à mettre en œuvre pour mener une étude destinée à acquérir de nouvelles connaissances dans le domaine de la santé.,Protocole déterminé à priori et non modificable en cours d'étude.,Objectif principal unique de l'étude.,Critères de jugement principaux et secondaires de l'étude.,a
