,id,question,option_a,option_b,option_c,option_d,correct_option
19,OIC-005-13-A,Quel est un facteur humain individuel qui peut conduire à des erreurs?,La bonne organisation de l'équipe,Le manque de connaissances et de compétences,La communication efficace,Le leadership identifié,b
20,OIC-005-13-A-,Quel est un facteur humain collectif qui peut accroître le risque d'erreurs?,La bonne mémorisation,Le manque de communication et de conflits,La fatigue,La bonne compréhension d'une situation,b
21,OIC-005-14-B,Quel est le principal objectif de l'analyse approfondie des causes d'erreur en santé?,Identifier les erreurs humaines,Comprendre les causes latentes des accidents,Augmenter le nombre de barrières de sécurité,Diminuer le temps de traitement des patients,b
22,OIC-005-14-B-,Quelle est la fonction des barrières de prévention dans le système de sécurité?,Permettre la récupération d'une erreur,Empêcher la survenue de l'erreur et de l'accident,Atténuer les conséquences d'une erreur,Améliorer la communication entre les équipes,b
23,OIC-005-15-B,Quel est le but principal de la démarche de culture positive de l’erreur dans la gestion des risques associés aux soins?,Sanctionner les personnes responsables des erreurs,Non-culpabiliser la personne qui a commis l’erreur et favoriser le signalement,Réduire le nombre de dossiers analysés,Augmenter le coût de l’analyse des dossiers,b
24,OIC-005-15-B-,Quel type de système de repérage des erreurs est le plus coûteux en temps et en main-d’œuvre?,Systèmes passifs basés sur le volontariat,Systèmes actifs fondés sur l’analyse de dossiers ou de traces électroniques,Systèmes basés sur la volonté des patients ou de leur famille,Systèmes de fouille informatique utilisant des mots clés,b
25,OIC-006-01-A,Quelle est la définition d'une équipe pluriprofessionnelle?,Un groupe de professionnels ayant des qualifications similaires,Un groupe de professionnels ayant des qualifications différentes et complémentaires,Un groupe de professionnels travaillant dans des domaines différents mais sans collaboration,Un groupe de professionnels travaillant uniquement dans le même établissement,b
26,OIC-006-01-A-,Quel est un des objectifs du travail en équipe pluriprofessionnelle?,Améliorer la qualité de la prise en charge du patient,Réduire le nombre de professionnels dans un établissement,Augmenter les coûts de santé,Diminuer la collaboration entre professionnels,a
27,OIC-006-02-A,Quel est le principal dispositif utilisé pour sécuriser le parcours du patient en milieu hospitalier?,Protocole pluriprofessionnel,Réunion de concertation pluridisciplinaire (RCP),Check-list au bloc opératoire,Réunion de morbi-mortalité (RMM),c
28,OIC-006-02-A-,Quelle méthode est utilisée pour sécuriser le parcours du patient en ambulatoire?,Protocole pluriprofessionnel,Réunion de concertation pluridisciplinaire (RCP),Check-list au bloc opératoire,Réunion de morbi-mortalité (RMM),a
29,OIC-006-03-A,Quelle est la définition du parcours de soins?,La coordination des soins entre différents professionnels de santé,La prise en charge médicale d'un patient dans un seul établissement,L'organisation et la coordination des soins tout au long de la prise en charge d'un patient,La gestion des ressources humaines dans un service de santé,c
30,OIC-006-03-A-,Quel est l'objectif principal du parcours de soins?,Améliorer la communication entre les professionnels de santé,Réduire les coûts de santé,Organiser et coordonner les soins tout au long de la prise en charge d'un patient,Augmenter le nombre de patients pris en charge,c
31,OIC-006-04-B,Quel est l'objectif principal d'un protocole pluriprofessionnel?,Améliorer la communication entre les patients,Faciliter le travail en équipe et la prise en charge des patients,Réduire les coûts des soins,Augmenter le nombre de professionnels de santé,b
32,OIC-006-04-B-,Quel élément n'est pas inclus dans un protocole pluriprofessionnel?,Aide-mémoire,Checklist,Aide à la prescription,Formation continue des professionnels,d
33,OIC-006-05-A,Quelle est la définition des réunions de concertation pluridisciplinaire (RCP)?,Réunions entre deux médecins de la même spécialité pour discuter d'un cas particulier,Réunions entre au moins trois médecins de spécialités différentes pour prendre une décision sur la meilleure prise en charge d'un patient,Réunions entre un médecin et un infirmier pour discuter des soins à apporter à un patient,Réunions entre un médecin et un pharmacien pour discuter des traitements à prescrire,b
34,OIC-006-05-A-,Dans quel domaine les RCP sont-elles systématiquement organisées?,Cardiologie,Neurologie,Cancérologie,Pédiatrie,c
35,OIC-006-06-A,Quel est l'objectif principal d'une check-list de sécurité du patient au bloc opératoire?,Améliorer la communication entre les professionnels de santé,Sécuriser la réalisation d'une intervention chirurgicale,Diminuer le temps d'attente des patients,Augmenter le nombre d'interventions chirurgicales,b
36,OIC-006-06-A-,À quel moment une check-list de sécurité du patient au bloc opératoire est-elle particulièrement utile?,Avant l'arrivée du patient au bloc opératoire,Lors de la réalisation de l'intervention chirurgicale,Aux moments clés de l'intervention chirurgicale,Après la sortie du patient du bloc opératoire,c
37,OIC-006-07-A,Quel est l'objectif principal d'une réunion de morbi-mortalité (RMM)?,Évaluer les performances individuelles des médecins,Analyser collectivement les événements indésirables associés aux soins,Organiser des formations continues pour les infirmiers,Planifier les horaires des consultations médicales,b
38,OIC-006-07-A-,Dans quel cadre les réunions de morbi-mortalité (RMM) entrent-elles?,Culture de la compétition entre professionnels de santé,Culture du retour d’expérience,Culture de l'isolement des erreurs médicales,Culture de la répression des erreurs,b
39,OIC-006-08-A,Quelle est la mission principale d'un Samu-Centre 15?,Assurer la prise en charge des patients dans les hôpitaux,Répondre aux situations d'urgence et déclencher la réponse adaptée,Organiser les transports de patients entre hôpitaux,Former les médecins régulateurs,b
40,OIC-006-08-A-,Quel est le rôle d'un SMUR déclenché par le Samu-Centre 15?,Assurer l'écoute médicale permanente,Prise en charge sur place des détresses médicales et transport du patient,Organiser les transports de patients entre hôpitaux,Former les médecins régulateurs,b
41,OIC-008-02-B,Quel est l'effet principal des discriminations sur l'insertion socio-économique et l'état de santé des individus?,Amélioration de l'insertion socio-économique et de l'état de santé,Diminution de l'insertion socio-économique et de l'état de santé,Aucun effet sur l'insertion socio-économique et l'état de santé,Amélioration de l'état de santé mais pas de l'insertion socio-économique,b
42,OIC-008-02-B-,Comment les discriminations peuvent-elles influencer l'accès aux soins?,En facilitant l'accès aux soins,En augmentant le recours aux soins,En diminuant le recours aux soins,En n'ayant aucun impact sur l'accès aux soins,c
43,OIC-008-03-B,Quel est un facteur structurel qui peut entraîner des discriminations en santé?,La vigilance des soignants,Le rapport de pouvoir asymétrique dans le soin,La diversité des pratiques,L'absence de discrimination,b
44,OIC-008-03-B-,Quel facteur organisationnel peut expliquer le refus de soin non réparti équitablement?,La pénurie de soignants,L'inégalité territoriale de l'offre de soin,Le manque de coordination,Le recours à l'interprétariat professionnel,b
45,OIC-009-01-A,Quelle est la principale différence entre l'éthique et la morale?,"L'éthique est une compétence réflexive, tandis que la morale est une norme prescriptive","L'éthique est une norme prescriptive, tandis que la morale est une compétence réflexive","L'éthique est une compétence réflexive, tandis que la morale est une compétence argumentative","L'éthique est une norme prescriptive, tandis que la morale est une norme argumentative",a
46,OIC-009-01-A-,Quelle est la principale différence entre l'éthique et la déontologie?,"L'éthique est une compétence réflexive, tandis que la déontologie est un code de bonnes pratiques","L'éthique est un code de bonnes pratiques, tandis que la déontologie est une compétence réflexive","L'éthique est une compétence réflexive, tandis que la déontologie est une norme prescriptive","L'éthique est une norme prescriptive, tandis que la déontologie est une compétence réflexive",c
47,OIC-009-02-A,Quelle est la définition principale de la bioéthique selon le contenu éducatif?,Une branche de la médecine qui traite des maladies infectieuses,Un domaine de recherche philosophique et juridique concernant les sciences de la vie et la santé,Une méthode de diagnostic médical basée sur l'imagerie,Un type de chirurgie orthopédique,b
48,OIC-009-02-A-,Quel est l'un des principaux enjeux de la bioéthique dans les dernières décennies selon le contenu éducatif?,La gestion des stocks de médicaments,La définition et le devenir de notre humanité,La création de nouveaux vaccins,L'optimisation des traitements contre le cancer,b
49,OIC-009-03-A,Quelle est la première apparition du mot 'déontologie' en langue française?,1800,1825,1850,1900,b
50,OIC-009-03-A-,Qui est chargé de l'élaboration du code de déontologie médicale?,Le gouvernement,Le Conseil d'Etat,L'Ordre national des médecins,Le Premier ministre,c
51,OIC-009-04-A-,Quel principe éthique est issu de la philosophie moderne du XVIIe siècle?,La bienfaisance,La non-malfaisance,Le respect de l'autonomie,La justice,c
52,OIC-009-05-A,Quel est le principe fondamental qui justifie le respect de l'autonomie du patient dans la pratique médicale?,Le paternalisme,La bienfaisance,Le respect de la volonté du patient,La non-malfaisance,c
53,OIC-009-05-A-,Dans quel contexte la loi du 4 Mars 2002 a-t-elle été promulguée?,Pour encadrer la recherche biomédicale,Pour protéger les droits des personnes malades,Pour réguler les pratiques de dons d'organes,Pour encadrer l'assistance médicale à la procréation,b
54,OIC-009-06-A,Quel est le droit fondamental du patient concernant son état de santé?,Le droit de ne pas être informé,Le droit d'être informé de son état de santé et de tous les actes médicaux,Le droit de refuser tout traitement,Le droit de ne pas être traité,b
55,OIC-009-06-A-,Dans quel cas le secret médical n'est-il pas opposable au patient lui-même?,Lorsqu'il s'agit d'une maladie contagieuse grave,Lorsqu'il s'agit d'une maladie psychiatrique,Lorsqu'il s'agit d'une maladie génétique,Lorsqu'il s'agit d'une maladie chronique,a
56,OIC-009-07-A,Quel est le droit du patient en matière de refus de soins selon la loi du 4 mars 2002?,Le patient peut refuser tous les soins sans conséquences,Le patient doit être informé des conséquences de son refus de soins,Le patient ne peut jamais refuser des soins,Le patient peut refuser des soins uniquement pour des raisons financières,b
57,OIC-009-07-A-,Quelle est la conséquence d'un refus de soins par un médecin pour des raisons personnelles?,Le médecin est obligé de continuer à soigner le patient,Le médecin doit avertir le patient et transmettre les informations utiles à un autre praticien,Le médecin peut refuser de soigner le patient sans aucune conséquence,Le médecin est automatiquement sanctionné par la loi,b
58,OIC-009-08-A,Quel est le rôle principal de la personne de confiance selon le texte?,Assister le patient dans ses démarches de soins et le faire parler aux équipes médicales,Décider à la place du patient pour toutes les situations médicales,Garder le secret médical pour le patient sans jamais le partager,Prélever des organes du patient après sa mort sans son consentement,a
59,OIC-009-08-A-,Quelle est la condition pour que la personne de confiance soit consultée selon la loi?,Elle doit être désignée par le patient et cosigner la désignation,Elle doit être un membre de la famille directe du patient,Elle doit être un médecin ou un infirmier,Elle doit être présente à chaque consultation médicale,a
60,OIC-009-09-B,Quelle est la définition de la vulnérabilité selon le texte?,Une condition universelle et inévitable de l'existence humaine,Une caractéristique spécifique des personnes âgées,Une notion historiquement et culturellement située,Un état de santé physique dégradé,c
61,OIC-009-10-B,Quel est le principal objectif des mesures de protection juridique selon le contenu éducatif?,Protéger les biens matériels de la personne,Assurer le respect des libertés individuelles et de la dignité de la personne,Augmenter les droits des parents,Réduire les coûts de santé,b
62,OIC-009-10-B-,Quel droit est renforcé par la loi de 2007 pour les personnes protégées?,Le droit à la propriété,Le droit à l'information sur leur état de santé,Le droit à la liberté de circulation,Le droit à l'éducation,b
63,OIC-009-11-A,Quelle mesure de protection est temporaire et permet de traiter une situation en urgence?,La tutelle,La curatelle,La sauvegarde de justice,La protection des mineurs,c
64,OIC-009-11-A-,Quelle mesure de protection permet à une personne de rester autonome dans les actes de la vie courante mais nécessite l'assistance d'un curateur pour les actes importants?,La tutelle,La sauvegarde de justice,La curatelle,La protection des mineurs,c
65,OIC-009-12-B,Quel est le rôle du médecin dans la procédure de mise en place d'une mesure de protection?,Il rédige le certificat médical circonstancié,Il désigne le tuteur ou le curateur,Il auditionne la personne à protéger,Il décide de la cessation de la mesure de protection,a
66,OIC-009-12-B-,Quelle est la différence entre une curatelle simple et une curatelle renforcée?,La curatelle simple ne concerne que la gestion du patrimoine,La curatelle renforcée ne concerne que la protection de la personne,La curatelle renforcée limite plus les actes que la personne peut exécuter,La curatelle simple est toujours aménagée,c
67,OIC-009-13-A,Quel est le principal objectif de la loi Veil de 1975 concernant l'interruption volontaire de grossesse (IVG)?,Permettre l'accès à l'IVG sans aucune restriction,Encadrer médicalement l'IVG pour garantir un accès sécurisé,Interdire l'IVG dans tous les cas,Promouvoir l'eugénisme,b
68,OIC-009-13-A-,Quel est le statut juridique de l'embryon vivant selon le Comité Consultatif National d'Éthique?,Personne humaine,Personne humaine potentielle,Personne humaine non reconnue,Personne humaine avec droits opposables,b
69,OIC-009-14-B,Quelle est la condition pour une interruption de grossesse pour motif médical (IMG) sans limitation de délai?,La femme doit être atteinte d'une pathologie incompatible avec la grossesse,La femme doit être atteinte d'une affection d'une particulière gravité reconnue comme incurable,La femme doit être atteinte d'une pathologie incompatible avec la grossesse ou il existe une forte probabilité que l'enfant à naître soit atteint d'une affection d'une particulière gravité reconnue comme incurable,La femme doit être atteinte d'une affection d'une particulière gravité reconnue comme curable,c
70,OIC-009-15-B,Quel est l'objectif principal du diagnostic prénatal (DPN) selon la loi de bioéthique du 29 juillet 1994?,"Prévenir ou traiter une affection d'une particulière gravité, dans l'intérêt de l'enfant à naître",Permettre l'interruption de grossesse à tout moment,Évaluer le risque de trisomie 21 uniquement,Déterminer le sexe fœtal,a
71,OIC-009-15-B-,Quel est un des principaux outils utilisés dans le diagnostic prénatal (DPN)?,Échographie,Chirurgie,Imagerie cérébrale,Analyse de l'ADN fœtal,a
72,OIC-009-16-B,Quel est l'objectif principal du diagnostic préimplantatoire (DPI) en France?,Permettre la sélection du sexe de l'enfant,Éviter la transmission d'une maladie génétique grave,Augmenter les chances de grossesse spontanée,Réduire le coût de la procréation médicalement assistée,b
73,OIC-009-16-B-,Quelle est la principale application controversée du DPI en France?,Sélection du sexe de l'enfant pour convenance personnelle,Typage HLA des embryons pour compatibilité avec un frère ou une sœur malade,Détection de maladies génétiques rares,Amélioration des techniques de fécondation in vitro,b
74,OIC-009-17-A,Quel principe éthique est mis en avant pour soulager les douleurs et souffrances d'une personne en fin de vie?,Autonomie,Bienfaisance,Non malfaisance,Équité,b
75,OIC-009-17-A-,"Quel principe éthique est mis en avant pour respecter les souhaits d'une personne en fin de vie, même si elle ne peut pas s'exprimer?",Autonomie,Bienfaisance,Non malfaisance,Équité,a
76,OIC-009-18-A-,Quelle est la principale nouveauté de la loi de 2016 concernant les directives anticipées?,Elles sont facultatives,Elles sont contraignantes pour les médecins,Elles ne peuvent être révisées,Elles ne s'appliquent qu'en cas d'urgence vitale,b
77,OIC-009-19-B,Quel est le rôle principal de la procédure collégiale dans les situations de fin de vie?,Décider de la poursuite des traitements,Établir la volonté de la personne via les directives anticipées ou le témoignage de la famille,Faire une sédation profonde et continue jusqu'au décès,Arrêter tous les traitements sans consultation,b
78,OIC-009-19-B-,Dans quelles situations la loi impose-t-elle le recours à la procédure collégiale?,Lorsqu'une personne est en bonne santé,Lorsqu'une personne est maintenue en vie artificiellement ou en fin de vie,Lorsqu'une personne souhaite voyager,Lorsqu'une personne est enceinte,b
79,OIC-009-20-B,Quel est le rôle principal des directives anticipées selon la loi de 2005?,Permettre au patient de désigner une personne de confiance,Indiquer les souhaits du patient concernant sa fin de vie,Autoriser le médecin à pratiquer une euthanasie,Imposer un traitement curatif au patient,b
80,OIC-009-20-B-,Dans quel cas la loi de 2016 renforce-t-elle le rôle des directives anticipées?,Lorsqu'un patient est conscient et capable de participer à une délibération,Lorsqu'un patient est inconscient et incapable de s'exprimer,Lorsqu'un patient désigne une personne de confiance,Lorsqu'un patient rédige un testament de vie,b
81,OIC-009-21-A-,Quel texte normatif a été édicté par des non-médicaux à l'issue du procès de Nuremberg en 1947?,Code de Nuremberg,Déclaration d'Helsinki,Déclaration de Manille,Directive européenne du 4 avril 2001,a
82,OIC-009-22-B,Quelle loi a introduit la notion de recherche biomédicale en France en 1988?,Loi Huriet-Sérusclat,Loi du 9 août 2004,Loi du 5 mars 2012,Loi Jardé,a
83,OIC-009-22-B-,Quel est le rôle principal des Comités de protection des personnes (CPP) dans la recherche biomédicale?,Évaluer la méthodologie scientifique des recherches,Donner un avis décisionnel sur la conformité des recherches,Assurer la mise en œuvre des protocoles de recherche,Gérer le financement des recherches,b
84,OIC-009-23-A,Quel est le principe fondamental qui garantit que le don d'organes ne peut être commercialisé?,Principe de gratuité,Principe d'anonymat,Principe de consentement présumé,Principe de justice,a
85,OIC-009-23-A-,Qui est responsable de la gestion de la liste d'attente et de l'attribution des greffons en France?,Le médecin traitant,L'Agence de la Biomédecine,Le ministère de la Santé,Le tribunal,b
86,OIC-009-24-B,Quelle est la définition de la mort encéphalique selon le décret n°96-1041 du 2 décembre 1996?,Arrêt cardiaque avec absence de ventilation spontanée,Absence de ventilation spontanée en épreuve d’hypercapnie et deux EEG sans activité décelable à 4H00 d’intervalle,Arrêt cardiaque avec mise en œuvre d’un massage cardiaque et d’une ventilation mécanique efficaces,Décès en mort encéphalique avec arrêt circulatoire irréversible,b
87,OIC-009-25-B,Quel est le principal principe légal encadrant le don d'organes entre vivants?,Respecter la procédure de consentement,Prélèvement autorisé uniquement s’il y a intérêt thérapeutique pour le receveur,Pas de prélèvement d’organes chez majeurs protégés ou mineurs vivants,Le don est interdit en cas de donneurs vivants mineurs ou sous tutelle ou curatelle,b
88,OIC-009-25-B-,Qui peut être donneur vivant selon la loi?,"Le conjoint, les frères et sœurs, les fils et filles, les grands-parents, les oncles et tantes, les cousins germains et cousines germaines, ainsi que le conjoint de son père ou de sa mère",Le donneur doit avoir la qualité de père ou de mère du receveur,Le donneur doit être compatible avec le receveur,Le donneur doit être majeur et en bonne santé,a
89,OIC-009-26-B,Quels sont les principaux éléments du corps humain selon le texte?,"Sang, tissus, cellules","Sang, organes, cellules","Sang, organes, tissus","Sang, organes, phanères",c
90,OIC-009-27-B,Quel est le cadre légal pour l'identification d'une personne par ses empreintes génétiques en France?,Dans le cadre de mesures d'enquête ou d'instruction diligentées lors d'une procédure judiciaire,À des fins médicales ou de recherche scientifique,"Aux fins d'établir, lorsqu'elle est inconnue, l'identité de personnes décédées",Dans les conditions prévues à l'article L.2381-1 du Code de la défense,a
91,OIC-009-27-B-,Quel est le principe éthique fondamental à respecter lors de la réalisation d'un test génétique prédictif?,Le principe de bienfaisance,Le principe de non-malfaisance,Le respect de l'autonomie du sujet,Le principe de justice et d'égalité,c
92,OIC-010-01-A,Quel facteur influence principalement les représentations du corps en bonne santé selon les époques?,Les traditions culturelles,Les contraintes naturelles,Les normes esthétiques,Les régimes alimentaires,a
93,OIC-010-01-A-,"Selon Pierre Bourdieu, quelles sont les trois fonctions principales du corps?","Mémoire, apprentissage des habitudes de classe, marqueur de position sociale","Esthétique, alimentation, travail","Mémoire, esthétique, travail","Apprentissage des habitudes de classe, esthétique, travail",a
94,OIC-010-02-B,Quelle est l'impact principal de la maladie sur l'expérience du corps selon le texte?,Amélioration de l'image de soi,Modification de l'identité et de l'image du corps,Diminution des relations sociales,Augmentation de la santé physique,b
95,OIC-010-02-B-,Comment la douleur affecte-t-elle l'identité d'une personne selon le texte?,En améliorant sa santé physique,En la rendant plus forte,En la transformant en profondeur,En la rendant plus sociable,c
96,OIC-010-03-B,Quelle est la principale différence entre le corps vécu par le sujet et le corps objectivé par la médecine?,Le corps vécu est plus objectif que le corps médical,"Le corps vécu est subjectif, tandis que le corps médical est objectif",Le corps vécu est moins important que le corps médical,Le corps vécu est toujours en accord avec le corps médical,b
97,OIC-010-03-B-,Quel est l'effet des techniques médicales sur la perception du corps?,Elles rendent le corps plus subjectif,Elles créent une distance entre le corps vécu et le corps objectivé,Elles n'ont aucun effet sur la perception du corps,Elles rendent le corps plus objectif,b
98,OIC-019-01-A,Quelle est la définition de la protection sociale selon le contenu éducatif?,L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières.,Les mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques financiers uniquement.,Les mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence sans considération financière.,"Les mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes âgées.",a
99,OIC-019-01-A-,Quelle est la logique de protection sociale qui vise à prémunir les assurés contre une perte de revenus liée aux risques sociaux?,La logique d'assistance sociale,La logique de protection universelle,La logique d'assurance sociale obligatoire,La logique de prévoyance individuelle,c
100,OIC-019-02-A,Quelle est la principale catégorie de prestations de protection sociale en France?,Prestations en nature,Prestations en espèces,Prestations de services sociaux,Prestations de logement,b
101,OIC-019-02-A-,Quel est le risque le plus important dans la protection sociale en France?,Risque santé,Risque vieillesse-survie,Risque maternité-famille,Risque emploi,b
102,OIC-019-03-B-,Quel est le principal risque social à l'origine des dépenses de protection sociale en France?,Accidents du travail,Maladies professionnelles,Vieillesse-survie,Invalidité,c
103,OIC-019-04-B,Quelle est la principale source de financement de la protection sociale en France en 2020?,Les cotisations sociales,Les impôts et taxes affectés,Les contributions publiques de l'État,Les exonérations de cotisations employeurs,a
104,OIC-019-04-B-,Quel type de prélèvement a connu une baisse en 2020 en raison de la baisse de l'activité professionnelle?,Les cotisations sociales,Les impôts et taxes affectés,Les contributions publiques de l'État,Les exonérations de cotisations employeurs,a
105,OIC-019-05-A-,"Quelle est la branche de la Sécurité sociale qui prend en charge les risques maladie, maternité, invalidité et décès?",Branche Famille,"Branche Maladie, Accidents du travail et Risques professionnels",Branche Vieillesse,Branche Recouvrement des cotisations sociales,b
106,OIC-019-06-B,Quel est le rôle principal de la loi de financement de la Sécurité Sociale (LFSS)?,Fixer le budget de l'État,Déterminer les conditions générales de l'équilibre financier de la sécurité sociale,Contrôler les dépenses de l'État,Voter les lois de finances,b
107,OIC-019-06-B-,Qui vote la loi de financement de la Sécurité Sociale chaque année?,Le gouvernement,Le Parlement,Le Conseil d'État,Le Président de la République,b
108,OIC-019-07-B,Quel est le montant prévisionnel à ne pas dépasser en matière de soins de ville et d’hospitalisation selon l'ONDAM?,Le montant des recettes de l'assurance maladie,Le montant des dépenses de l'assurance maladie,Le montant des dépenses de santé en France,Le montant des dépenses de santé dans les établissements privés,b
109,OIC-019-07-B-,Quel est le rôle du Comité d’alerte sur l’évolution des dépenses d’assurance maladie?,Fixer l'ONDAM chaque année,Alerter le Parlement en cas de dépassement de l'ONDAM,Gérer les recettes de l'assurance maladie,Contrôler les dépenses des établissements de santé,b
110,OIC-019-08-A,Quel est le régime de sécurité sociale qui couvre la plupart des salariés en France?,Le régime agricole,Le régime général,Les régimes spéciaux,La complémentaire santé solidaire (CSS),b
111,OIC-019-08-A-,Quel est le pourcentage de la population française couverte par le régime agricole?,88 %,5 %,10 %,20 %,b
112,OIC-019-09-A,Quelles sont les missions principales de l'assurance maladie du régime général de la sécurité sociale?,"Gérer les risques maladie, maternité, invalidité et décès",Prendre en charge les soins dispensés aux assurés sociaux,Définir le périmètre des actes remboursables,Toutes les réponses ci-dessus,d
113,OIC-019-09-A-,Quel est le rôle de la Haute autorité de santé (HAS) dans le cadre de l'assurance maladie?,Définir le périmètre des actes remboursables,Tarifier les actes et fixer le niveau de prise en charge,Émettre des recommandations médicales et avis,Conduire la politique conventionnelle,c
114,OIC-019-10-A-,"Quelle est la participation forfaitaire demandée pour chaque consultation, analyse biologique ou acte de radiologie?","0,50 €",1 €,2 €,50 €,b
115,OIC-019-11-A,Quel est le rôle principal du médecin traitant dans le parcours de soins coordonnés?,Assurer les soins régulièrement,Orienter le patient dans le parcours de soins coordonnés,Gérer le dossier médical,Établir le protocole de soins pour les affections de longue durée,b
116,OIC-019-11-A-,Quelle est la conséquence pour un patient qui consulte directement un spécialiste sans être orienté par son médecin traitant?,Il ne paie pas de ticket modérateur,Il supporte une majoration du ticket modérateur (70 % au lieu de 30 %),Il bénéficie d'un remboursement à 100 %,Il ne peut pas bénéficier de dépassements d'honoraires,b
