mcq,cop,llm_cop
"-----
Question:
Causative factor for acne are all except.
Options:
a) Androgen
b) Only food
c) Bacterial contamination
d) Hypercornification of duct
-----
",1,3
"-----
Question:
All are contraindications of spinal anaesthesia Except?
Options:
a) Bleeding disorder
b) Raised intracranial tension
c) Hypeension
d) Infection at injection site
-----
",-1,1
"-----
Question:
Muscle rigidity by fentanyl is due to which receptor:
Options:
a) Meu (m)
b) Kappa (k)
c) Delta (d)
d) Sigma (s)
-----
",0,1
"-----
Question:
A 30-year-old woman in her last trimester of pregnancy suddenly develops massive swelling of the left lower extremity. Which of the following would be the most appropriate workup and treatment at this time
Options:
a) Venography and heparin
b) Duplex ultrasonography and heparin
c) Duplex ultrasonography, heparin, and vena caval filter
d) Duplex ultrasonography, heparin, warfarin (Coumadin)
-----
",1,1
"-----
Question:
A patient with ptosis, upper 4 mm of cornea is covered by upper eyelid. Grade of Ptosis is ?
Options:
a) Mild
b) Moderat
c) Severe
d) Profound
-----
",0,2
"-----
Question:
A patient on atracurium develops seizures due to accumulation of
Options:
a) Didanosine
b) Laudanosine
c) Methylated Atracurium
d) Sulfated Atracurium
-----
",1,1
"-----
Question:
Which of the following is the shoest acting local anaesthetic ?
Options:
a) Tetracaine
b) Bupivacaine
c) Chlorprocaine
d) Prilocaine
-----
",2,2
"-----
Question:
Methemoglobinemia is associated with:
Options:
a) Aicaine
b) Prilocaine
c) Bupivacaine
d) Mepivacaine
-----
",1,1
"-----
Question:
Effect of Propofol on coagulation is?
Options:
a) Inhibits coagulation cascade
b) Inhibits platelet function
c) Activates coagulation cascade
d) No effect
-----
",3,0
"-----
Question:
Most commonly used approach to brachial Plexus block?
Options:
a) Interscalene
b) Supraclavicular
c) Infraclavicular
d) Axillary
-----
",1,0
"-----
Question:
Which of the following has antiemetic action?
Options:
a) Propofol
b) Thiopentone
c) Ether
d) Nitrous oxide
-----
",0,2
"-----
Question:
An induction agent of choice for poor-risk patients with cardiorespiratory disease as well as in situations where preservation of a normal blood pressure is crucial:-
Options:
a) Thiopentone
b) Propofol
c) Etomidate
d) Ketamine
-----
",2,1
"-----
Question:
Which of the following is false with regards to bupivacaine
Options:
a) Bupivacaine concentration for epidural anaesthesia is 0.5%
b) Bupivacaine concentration for spinal anaesthesia is 0.5%
c) Bupivacaine is used frequently for i.v regional anaesthesia
d) Bupivacaine is most potent local anaesthetic
-----
",2,2
"-----
Question:
Which of the following can cause laryngospasm on induction?
Options:
a) Halothane
b) Isoflurane
c) Sevoflurane
d) Desflurane
-----
",3,0
"-----
Question:
22-year-old lady, with a history of epilepsy is undergoing the pre-anaesthetic review. The use of which inhalational agent is contraindicated in this patient?
Options:
a) Halothane
b) Enflurane
c) Sevoflurane
d) Isoflurane
-----
",1,0
"-----
Question:
Which of the following intravenous induction agent is most suitable for day care surgery?
Options:
a) Morphine
b) Ketamine
c) Propofol
d) Diazepam
-----
",2,2
"-----
Question:
Local anesthetic acts by:
Options:
a) Blocking sodium gated channel
b) Blocking calcium gated channel
c) Blocking potassium gated channel
d) Blocking chloride gated channel
-----
",0,0
"-----
Question:
Endotracheal tube in the esophagus is best assessed by:
Options:
a) Chest wall movement
b) Auscultation
c) CO2 Exhalation
d) Chest tube passes through vocal cords
-----
",2,1
"-----
Question:
PIN number of nitrous oxide is:
Options:
a) 2, 5
b) 3, 5
c) 2, 6
d) 3, 6
-----
",1,1
"-----
Question:
Which of the following anesthetic agent most is lipid soluble?
Options:
a) Nitrous oxide
b) Methoxyflurane
c) Isoflurane
d) Halothane
-----
",-1,3
"-----
Question:
The current mode of analgesia best for intrapaum pain relief is
Options:
a) Epidural analgesia
b) Spinal anaesthesia
c) Inhalational
d) Local analgesia
-----
",0,0
"-----
Question:
Best antagonist of morphine is
Options:
a) Nalorphine
b) Naloxone
c) Buprenorphine
d) Pentazocine
-----
",1,1
"-----
Question:
Infant circuit for anaesthesia ?
Options:
a) Bains circuit
b) Magill circuit
c) Ayres t piece
d) Water's circuit
-----
",-1,1
"-----
Question:
Which of the following are features of pulmonary oxygen toxicity?
Options:
a) Increased capillary endothelial permeability
b) Decreased mucociliary transpo in airways
c) Inhibition of phagocytosis function of alveolar macrophages
d) All the above
-----
",3,3
"-----
Question:
Which is safest to be used in asthmatic patients –
Options:
a) Nitrazepam
b) Phenobarbitone
c) Chloral hydrate
d) All hypnotics are safe
-----
",0,2
"-----
Question:
A cirrhotic patient with abnormal coagulation studies due to hepatic synthetic dysfunction requires an urgent cholecystectomy. A transfusion of FFP is planned to minimize the risk of bleeding due to surgery. What is the optimal timing of this transfusion?
Options:
a) The day before surgery
b) The night before surgery
c) On call to surgery
d) Intraoperatively
-----
",2,1
"-----
Question:
Laryngeal mask airway Size 2 is recommended for-
Options:
a) <6.5kg
b) 6.5-20 kg
c) 2O-3Okg
d) 30-50 kg
-----
",1,1
"-----
Question:
Which of the following drugs produces dissociative anesthesia
Options:
a) Ketamine
b) Propofol
c) Thiopentone
d) Enflurane
-----
",0,0
"-----
Question:
Best anaesthetic agent for out patient anasthesia is
Options:
a) Fentanyl
b) Morphine
c) Alfentanyl
d) Penthidine
-----
",2,0
"-----
Question:
Rotameters
Options:
a) Depend on laminar low for their accuracy
b) Will only function when upright
c) Are constant pressure drop-constant orifice devices
d) Are not accurate below 1L/min
-----
",1,2
"-----
Question:
Which among the following used as a pre-anaesthetic medication causes the longest amnesia?
Options:
a) Diazepam
b) Lorazepam
c) Midazolam
d) Flunitrazepam
-----
",1,3
"-----
Question:
Maximum safe dose of lignocaine with adrenaline is:
Options:
a) 3 mg/kg wt.
b) 7 mg/kg wt
c) 10 mg/kg wt.
d) 15 mg/kg wt
-----
",1,0
"-----
Question:
At room temperature reconstituted solutions of Thiopentone is stable for-
Options:
a) 6 days
b) 6 weeks
c) 6 hours
d) 6 mins
-----
",0,2
"-----
Question:
Agent with shortest acting period -
Options:
a) Procaine
b) Lignocaine
c) Bupivacaine
d) Dibucaine
-----
",0,0
"-----
Question:
The clinical use of which of the following drug is stopped because of severe bronchospasm associated with it-
Options:
a) Rapacuronium
b) Rocuronium
c) Atracurium
d) Mivacurium
-----
",0,2
"-----
Question:
Most common complication of celiac plexus block:
Options:
a) Pneumothorax
b) Postural hypotension
c) Retroperitoneal hemorrhage
d) Intra-aerial injection
-----
",1,1
"-----
Question:
Which among the following is NOT a neuromuscular blocking agent?
Options:
a) Neostigmine
b) Pipecuronium
c) Gantacurium
d) d-TC
-----
",0,3
"-----
Question:
Which of the following is contraindicated in CRF –
Options:
a) Halothane
b) Enflurane
c) Desflurane
d) Isoflurane
-----
",1,0
"-----
Question:
Fink’s effect is
Options:
a) Also called second gas effect
b) Due to rapid uptake of N2O during induction
c) Due to rapid elimination of N2O during recovery
d) Increase in partial pressure of oxygen during recovery
-----
",2,1
"-----
Question:
Post operative muscle ache is caused by
Options:
a) d-TC
b) Suxamethonium
c) Gallamine
d) Pancuronium
-----
",1,2
"-----
Question:
Aschners reflex is seen in
Options:
a) Cardiac surgery
b) Neurosurgery
c) Spinal anesthesia
d) Squint surgery
-----
",3,1
"-----
Question:
Which is not an ideal method of post operative analgesia?
Options:
a) Patient controlled analgesia
b) Continuous epidural with local anesthetics
c) Intercostal nerve block
d) Cryoanalgesia
-----
",3,3
"-----
Question:
Which of the following is NOT TRUE regarding PROPOFOL ?
Options:
a) It is used in day care anesthesia
b) It is contraindicated in porphyria
c) Commercial preparation contains egg extract
d) It does not cause airway irritation
-----
",1,1
"-----
Question:
Intra-aerial injection of thiopentone. All true except:-
Options:
a) Intra-aerial thiopentone can form crystals in aerioles & capillaries and cause intense vasoconstriction
b) It should be treated promptly with papaverine and lidocaine
c) Treatment of choice is stellate ganglion block
d) Heparinization can also be done
-----
",2,2
"-----
Question:
In high spinal anaesthesia what is seen -
Options:
a) Hypotension & Bradycardia
b) Hypotension & Tachycardia
c) Hypeension & Bradycardia
d) Hypeension & Tachycardia
-----
",0,0
"-----
Question:
In relation to Ethylene glycol poisoning
Options:
a) It may present with an acute ascending motor and sensory neuropathy
b) A normal anion gap acidosis is usually seen
c) Alcohol dehydrogenase catabolises the metabolism of EG into metabolites including oxalate and glycolic acid
d) Haemodialysis is not effective
-----
",0,2
"-----
Question:
Spinal anesthesia should be injected into the space between
Options:
a) T12-L1
b) L1-L2
c) L3-L4
d) L5-S1
-----
",2,1
"-----
Question:
Bupivacaine toxicity leads to?
Options:
a) Cardiac toxicity
b) Neural toxicity
c) Renal toxicity
d) Hepatic toxicity
-----
",0,1
"-----
Question:
From which of the following routes absorption of local anaesthetic is maximum?
Options:
a) Intercostal
b) Epidural
c) Brachial
d) Caudal
-----
",0,1
"-----
Question:
Boy with sickle cell trait.. what mode of anaesthesia will u avoid in him??
Options:
a) IVRA (intravenous regional anesthesia)
b) Supraclavicular brachial plexus block
c) Br plexus block infraclavicular approach
d) Br plexus block axillary approach (humeral) approach.
-----
",0,2
"-----
Question:
High quality CPR include all except
Options:
a) Chest compression 200/min
b) Depth of 2 or more inches
c) Complete recoil after compression
d) Avoid excessive ventilation
-----
",0,3
"-----
Question:
The dose of all of the following local anesthetic should be decreased in patients with deranged liver function except-
Options:
a) Lignocaine
b) Bupivacaine
c) Cocaine
d) Procaine
-----
",3,1
"-----
Question:
Which is the muscle relaxant of choice in renal failure?
Options:
a) Rocuronium
b) Vecuronium
c) Rapacuronium
d) Atracurium
-----
",3,3
"-----
Question:
Intravenous anaesthetics are all except-
Options:
a) Propofol
b) Opioids
c) Ketamine
d) Desflurane
-----
",3,1
"-----
Question:
In an infant anaesthesia is given by using –
Options:
a) Open mask ventilation
b) Non – breathing circuit
c) Magill's system
d) Ayre's T. Piece
-----
",3,2
"-----
Question:
Mallampatti classification is used for?
Options:
a) Inspection of oral cavity before intubation
b) Size of the airway
c) Size of the ET tube
d) Tracheostomy tube
-----
",0,0
"-----
Question:
Anesthetic agent/s which have tocolytic effect are
Options:
a) Halothane
b) Enflurane
c) Isoflurane
d) All the Above
-----
",3,3
"-----
Question:
A patient with alcoholic liver failure requires general anaesthesia for surgery. The agent to be used –
Options:
a) Ether
b) Halothane
c) Methoxyflurane
d) Isoflurane
-----
",3,1
"-----
Question:
Which of the following local anaesthetics is most likely to produce an allergic reaction –
Options:
a) Prilocaine
b) Ropivacaine
c) Etidocaine
d) Benzocaine
-----
",3,0
"-----
Question:
During laryngoscopy and endo-tracheal intubation which of the maneuver is not performed –
Options:
a) Flexion of the neck
b) Extension of Head at the atlanto-occipital joint
c) The laryngoscope is lifted upwards levering over the upper incisors
d) In a straight blade laryngoscope, the epiglottis is lifted by the tip
-----
",2,3
"-----
Question:
Which of the following agent causes muscle rigidity
Options:
a) Fentanyl
b) Halothane
c) Ketamine
d) Droperidol
-----
",0,2
"-----
Question:
A 21 year old lady with a history of hypersensitivity to neostigmine is posted for an elective caesarean section under general anaesthesia. The best muscle relaxant of choice in this patient should be –
Options:
a) Pancuronium
b) Atracurium
c) Rocuronium
d) Vecuronium
-----
",1,0
"-----
Question:
Brain dead individuals have all of the following features EXCEPT (* NIMHANS March-2017 Post-MBBS, NIMHANS - Feb. 2008)
Options:
a) Dolls eye movement is absent
b) Oculo-vestibular reflex is absent
c) Only pain is preserved
d) Corneal reflex is absent
-----
",2,1
"-----
Question:
Hypotension is caused by all except:
Options:
a) Halothane
b) Propofol
c) Ketamine
d) Thiopentone
-----
",2,2
"-----
Question:
The maximum safe dose of bupivacaine is
Options:
a) 1 mg/kg
b) 2 mg/kg
c) 3 mg/kg
d) 5 mg/kg
-----
",1,0
"-----
Question:
Which of the following is not a risk factor for postoperative pulmonary complication?
Options:
a) BMI >30
b) Upper abdominal surgery
c) Patient with 7 pack years of smoking
d) Age > 70 Years
-----
",2,0
"-----
Question:
Thiopentone is contraindicated in -
Options:
a) Acute intermittant porphyria
b) Electro convulsive therapy
c) Sarcoidosis
d) Diabetic patients
-----
",0,0
"-----
Question:
Indications of tracheostomy are
Options:
a) Flail chest
b) Head injury
c) Tetanus
d) All
-----
",3,3
"-----
Question:
Which of the following does not represent a significant anaesthetic problem in the morbidly obese patient?
Options:
a) Difficulties in endotracheal intubation
b) Suboptimal aerial oxygen tension
c) Increased metabolism of volatile agents
d) Decreased cardiac output relative to total body mass
-----
",3,0
"-----
Question:
Positive end-expiratory pressure causes increase in which respiratory parameter -
Options:
a) Lung compliance
b) FRC
c) Tidal volume
d) All of the above
-----
",3,1
"-----
Question:
Which of the following is most cardio depressant
Options:
a) Halothane
b) Isoflurane
c) Sevoflurane
d) Desflurane
-----
",0,1
"-----
Question:
What is the mode of action of local anesthetics?
Options:
a) Prevents Na+ channel activation and the Na+ influx associated with membrane depolarization.
b) Change the voltage gated Na+ channel from conducting to non conducting
c) Destroys the Na+ channel
d) Close the Na+ channel
-----
",0,0
"-----
Question:
Which of the following is false about light anesthesia?
Options:
a) Patient does not have explicit memory of the period
b) Pain may be felt during light anesthesia
c) Is desirable is ceain high risk conditions
d) Can lead to Posttraumatic stress disorders
-----
",0,0
"-----
Question:
American anesthetic association says that clopidogrel should be withheld how many days before surgery?
Options:
a) 1 day
b) 1 week
c) 3 weeks
d) 4 weeks
-----
",1,3
"-----
Question:
During cardiopulmonary resuscitation in adult, chest compressions are given at the rate of: September 2011
Options:
a) 72 compressions/ min
b) 90 compressions/ min
c) 100 compressions/min
d) 120 compressions/min
-----
",2,2
"-----
Question:
All of the following are advantages of LMA except-
Options:
a) More reliable than face mask
b) Prevent aspiration
c) Alternative to Endotracheal intubation
d) Does not require laryngoscope & visualization
-----
",1,3
"-----
Question:
Anaesthetic of choice for cardiac anaesthesia –
Options:
a) Isoflurane
b) Ketamine
c) Methoxyflurane
d) Halothane
-----
",0,3
"-----
Question:
First step in CPR (cardio pulmonary resuscitation) should be –
Options:
a) IV adrenaline
b) Intracardic atropine
c) Airway maintainance
d) Hystrectomy
-----
",2,2
"-----
Question:
Myasthenics are resistant to following muscle relaxant :
Options:
a) Suxamethonium
b) Pancurium
c) Atracuronium
d) Vecuronium
-----
",0,0
"-----
Question:
All are true about management of PDPH except-
Options:
a) Early ambulation
b) Hydration
c) Cerebral vasoconstriction - caffeine
d) Analgesic
-----
",0,2
"-----
Question:
O2 is given during anaesthesia to prevent –
Options:
a) Pain
b) Hypoxia
c) Hypercapnia
d) Hypotension
-----
",1,1
"-----
Question:
Probable indicators of reversal of neuromuscular blockade are all except ?
Options:
a) Lift head for 5 seconds
b) Sustain hand grip for 5 seconds
c) Leg lift for 10 seconds
d) Ability to perform sustained tongue depressor test
-----
",2,3
"-----
Question:
All statement is true about modified rapid sequence induction- except-
Options:
a) Rocuronium is used as neuromuscular blocker
b) Any IV induction agent can be used
c) Positive pressure ventilation with Bag + Mask is not done
d) Preoxygenation is not mandatory
-----
",3,1
"-----
Question:
80-year-old patient is admitted for open reduction and internal fixation of a fracture of the femur . Which one of the following technique is ideal anesthetic technique for this patient?
Options:
a) Regional anesthesia
b) General anesthesia
c) Local infiltration
d) Paracervical block
-----
",0,1
"-----
Question:
Which of the following is the induction agent of choice in day care anaesthesia?
Options:
a) Propofol
b) Ketamine
c) Sevoflurane
d) Methoxitone
-----
",0,0
"-----
Question:
A 24-year-old man presents in septic shock from an empyema. He is febrile to 103degF, tachycardic in the 120s, and hypotensive to the 90s. His oxygen saturation is 98% on 2-L oxygen. His white blood cell count is 25,000/mL and creatinine is 0.8 mg/dL. His blood pressure does not respond to fluid administration despite a CVP of 15. Which of the following therapies is indicated in managing this patient?
Options:
a) Intubation
b) Recombinant human activated protein C
c) Epinephrine
d) Norepinephrine
-----
",3,3
"-----
Question:
D-tubocurarine acts by
Options:
a) Inhibiting nicotinic receptors at myoneural junction
b) Inhibiting nicotinic receptors at autonomic ganglion
c) Producing depolarizing block
d) By inhibiting reuptake of acetylcholine
-----
",0,0
"-----
Question:
Which of the following anaesthetic agents causes a rise in the Intracranial pressure:
Options:
a) Sevoflurane.
b) Thiopentone sodium.
c) Lignocaine.
d) Propofol.
-----
",0,1
"-----
Question:
The Blade of the laryngoscope used in intubation of newborn is
Options:
a) Curved blade with uncuffed tube
b) Straight blade with Cuffed tube
c) Straight blade with uncuffed tube
d) Curved blade with cuffed tube
-----
",2,0
"-----
Question:
Laudanosine is metabolic end product of
Options:
a) Mivacurium
b) Doxacurium
c) Rocuronium
d) Atracurium
-----
",3,0
"-----
Question:
25-year-old female presented to emergency with palpitations and dizziness. ECG was done and was diagnosed supraventricular tachycardia. Her blood pressure was 60/40 mm Hg. First line of management for this patient is ?
Options:
a) Adenosine 6 mg IV
b) Vagal manoeuvre
c) Cardioversion
d) Adenosine 12 mg IV
-----
",2,1
"-----
Question:
All are seen in malignant hyperthermia except –
Options:
a) Bradycardia
b) Hyperkalemia
c) Metabolic acidosis
d) Hypertension
-----
",0,2
"-----
Question:
Earliest and most pathognomic feature of malginant hyperthermia is
Options:
a) Increased temperature
b) Increased end-tidal CO2
c) Increased heart rate
d) Increased respiratory rate
-----
",1,0
"-----
Question:
Recommended maximum dose of Lignocaine + adrenaline for peripheral nerve shock.
Options:
a) 7 mg/kg bw
b) 4.5 mg/kg bw
c) 2 mg/ kg bw
d) 3 mg/kg bw
-----
",0,1
"-----
Question:
26 year old female patient wanted epidural for labor analgesia. She was given 12ml of 0.25% bupivacaine immediately after this she developed hypotension, bradycardia, respiratory difficulty. Which of the following explains condition of the patient.
Options:
a) Vasovagal attack
b) Systemic toxicity
c) Total spinal anaesthesia
d) Drug allergy
-----
",2,1
"-----
Question:
All of the following are disadvantages of anesthetic ether, except:-
Options:
a) Induction is slow
b) Cautery cannot be used
c) Irritant nature of ether increases salivary and bronchial secretions
d) Affects blood pressure and is liable to produce arrhythmias
-----
",3,3
"-----
Question:
Pulse oximetry monitors
Options:
a) Oxygen saturation of hemoglobin
b) Oxygen content of blood
c) Pulse pressure
d) Oxygen paial pressure
-----
",0,0
"-----
Question:
Parachute lesions are seen in ?
Options:
a) Eale's disease
b) Diabetes
c) Sickle cell anemia
d) All of the above
-----
",3,3
"-----
Question:
Most potent antiemetic agent used in preoperative period –
Options:
a) Glycopyrolate
b) Hyoscine
c) Atropine
d) Metochlorpromide
-----
",1,3
"-----
Question:
Which of the following induction agent is most preferred for day care surgery: September 2010
Options:
a) Morphine
b) Propofol
c) Diazepam
d) Ketamine
-----
",1,1
"-----
Question:
Shortest acting non depolarising muscle relaxant:
Options:
a) Vecuronium
b) Atracurium
c) Succinylcholine
d) Mivacurium
-----
",3,0
"-----
Question:
Muscle relaxant of choice in patient suffering from chronic liver disease
Options:
a) Pancuronium
b) Atracurium
c) Mivacurium
d) Vecuronium
-----
",1,3
"-----
Question:
Which anaesthetic is contraindicated in renal failure?
Options:
a) Isoflurane
b) Desflurane
c) Halothane
d) Methoxyflurne
-----
",3,2
"-----
Question:
All are stages of anaesthesia except-
Options:
a) Analgesia
b) Allodynia
c) Delirium
d) Surgical anesthesia
-----
",1,3
"-----
Question:
True about endotracheal intubation is:
Options:
a) It reduces normal anatomical dead space
b) It produces decrease in resistance to respiration
c) Subglottic edema is most common complication
d) All of the above
-----
",0,3
"-----
Question:
EMLA constituent is -
Options:
a) Lidocaine + Cocaine
b) Lidocaine + Prilocaine
c) Lidocaine + Bupivacaine
d) Bupivacaine + Prilocaine
-----
",1,1
"-----
Question:
All except one are true about post-neuraxial anaesthesia shivering
Options:
a) Shivering increases intra–ocular and intra cranial pressures
b) i.v meperidine is used in treatment
c) Marked increase in plasma catecholamines cause cardiovascular complications
d) Is associated with decreased oxygen consumption
-----
",3,2
"-----
Question:
Size in < 6 years old child, of endotracheal tube is
Options:
a) Age +3.5/3.5
b) Age +2.5/2.5
c) Age + 4.5/4.5
d) Age -4.5/4.5
-----
",0,1
