mcq,cop,llm_cop
"-----
Question:
The LMA proseal was developed by:-
Options:
a) Bailey
b) Macewan
c) Brain
d) Magill
-----
",2,4
"-----
Question:
What does NORA stands for in anesthesia:-
Options:
a) No oral airway
b) Non-operative room anesthesia
c) No radiation risk associated
d) None of the above
-----
",1,2
"-----
Question:
Depolarising muscle relaxant?
Options:
a) Scoline
b) Atracurium
c) Pancuronium
d) Cisatracurium
-----
",0,4
"-----
Question:
Which of the following intravenous anaesthetic agent is highly protein bound and highly lipid soluble?
Options:
a) Etomidate
b) Barbiturates
c) Propofol
d) Ketamine
-----
",2,3
"-----
Question:
A six year old child is posted for elective urology surgery under general anesthesia. He refuses to allow the anaesthesiologist an I.V. access. The best inhalational agent of choice for induction of anesthesia is
Options:
a) Sevoflurane
b) Methoxyflurane
c) Desflurane
d) Isoflurane
-----
",0,1
"-----
Question:
Neuromuscular blocker of choice in real failure:
Options:
a) Atracurium
b) Pancuronium
c) Rocuronium
d) Tubocurare
-----
",0,1
"-----
Question:
Cause of malignant hypehermia is?
Options:
a) Halothane
b) Isoflurane
c) Thiopentone
d) Suxamethonium
-----
",3,1
"-----
Question:
Mouth to mouth respiration provides what percentage of oxygen ?
Options:
a) 10%
b) 16%
c) 21%
d) 100%
-----
",-1,2
"-----
Question:
Sodium Thiopentone is ultra sho acting d/t
Options:
a) Rapid absorption
b) Rapid metabolism
c) Rapid redistribution
d) Rapid excretion
-----
",2,3
"-----
Question:
Celiac plexus block all the following is true except-
Options:
a) Relieved pain from gastric malignancy
b) cause hypotention
c) Can be used to provide anesthesia for intra abdominal surgery
d) Can be given only by retrocrural {classic}. approach
-----
",3,4
"-----
Question:
55 year old female a known case of thryotoxicosis in control posted for abdomino perinea] resection during surgery there was sudden drop in B.P., and end tidal CO2 decreased from 40 to 10 mmHg. On auscultation there was a mill wheel murmur, what is the diagnosis aEUR'
Options:
a) Thyroid storm
b) Bleeding
c) Hypoxia
d) Air embolism
-----
",3,4
"-----
Question:
Foster Kennedy syndrome is
Options:
a) I/L Papilloedema CiL optic atrophy
b) I/L Optic atrophy C/L papilloedema
c) I/L Optic atrophy and papilloedema
d) UL Papilloedema C/L papilitis
-----
",1,1
"-----
Question:
At a flow rate of 3L/min, inspiratory (FUO2) concentration of 30–60% can be achieved by using a –
Options:
a) Nasopharyngeal catheter
b) Simple face mask
c) Venturi mask
d) Head box
-----
",0,3
"-----
Question:
Ketamine acts on:
Options:
a) NMDA receptor
b) Glycine receptor
c) GABAa receptor
d) Ach receptor
-----
",0,1
"-----
Question:
The dose modification of following drug not required in indicated with renal or hepatic failure
Options:
a) Atracurium
b) Cisatracurium
c) Both
d) None
-----
",2,3
"-----
Question:
Which of the following intravenous anesthetic agents causes highest incidence of nausea & vomiting:
Options:
a) Thiopentone
b) Propofol
c) Etomidate
d) Ketamine
-----
",2,2
"-----
Question:
Repeated use of halothane causes –
Options:
a) Hepatitis
b) Pancreatitis
c) Encephalitis
d) Meningitis
-----
",0,1
"-----
Question:
A 70 kg old athlete was posted for surgery, Patient was administered succinylcholine due to unavailability of vecuronium. It was administered in intermittent dosing (total 640 mg). During recovery patient was not able to respire spontaneously & move limbs. What is the explanation ?
Options:
a) Pseudocholinesterase deficiency increasing action of syccinylcholine
b) Phase 2 blockade produced by succinylcholine
c) Undiagnosed muscular dystrophy and muscular weakness
d) Muscular weakness due to fasciculation produced by succinylcholine
-----
",1,1
"-----
Question:
Anti pruritic property is seen with
Options:
a) Thiopentone
b) Propofol
c) Etomidate
d) Ketamine
-----
",1,1
"-----
Question:
Which of the following mechanism prevents fitting of wrong gas cylinder to the anaesthesia machine in operation theatre? (Repeat)
Options:
a) Pin index system
b) Yolk assembly
c) Bodock seal
d) Gas analyser
-----
",0,1
"-----
Question:
Commonest complication of subclan venous puncture is
Options:
a) Infection
b) Pneumothorax
c) Carotid aery puncture
d) Atrial perforation
-----
",1,2
"-----
Question:
Drug causing malignant hyperthermia:(Asked twice in the exam)
Options:
a) Cisatracurium
b) Suxamethonium
c) Propofol
d) Thiopentone
-----
",1,2
"-----
Question:
Pulse oxymetry detects inaccurately in presence of – a) Hyperbilirubinemiab) Nail polishc) Methemoglobinemiad) Skin pigmentation
Options:
a) abc
b) bcd
c) ac
d) bd
-----
",1,4
"-----
Question:
A 27 year old female was brought to emergency department for acute abdominal pain following which she was shifted to the operation theatre for laparotomy. A speedy intubation was performed but after the intubation, breath sounds were observed to be decreased on the left side and a high end tidal CO2 was recorded. The likely diagnosis is –
Options:
a) Endotracheal tube blockage
b) Bronchospasm
c) Esophageal intubation
d) Endobronchial intubation
-----
",-1,4
"-----
Question:
Respiratory failure in a post operative patient is ?
Options:
a) Type 1
b) Type 2
c) Type 3
d) Type 4
-----
",-1,2
"-----
Question:
Fastest acting agent
Options:
a) Sevoflurane
b) Desflurane
c) Isoflurane
d) None
-----
",0,1
"-----
Question:
Intra-aerial thiopentone injection leads to?
Options:
a) Ischemia
b) Vasodilatation
c) Vomiting
d) Hypeension
-----
",-1,1
"-----
Question:
Which of the following local anaesthetic agent is a vasoconstrictor
Options:
a) Lignocaine
b) Cocaine
c) Bupivacaine
d) Tetracaine
-----
",1,2
"-----
Question:
Which is a safe muscle relaxant in renal failure ?
Options:
a) Cisatracurium
b) Rocuronum
c) Vecuronium
d) Succinylcholine
-----
",0,1
"-----
Question:
Site of action of vecuronium is?
Options:
a) Cerebrum
b) Reticular formation
c) Motor neuron
d) Neuro-muscular junction
-----
",3,4
"-----
Question:
All are complication of PEEP except :-
Options:
a) Decreased urine ouput
b) Increased blood pressure
c) Increased intracranial pressure
d) Increased intrathoracic pressure
-----
",1,4
"-----
Question:
Induction agent that may cause adrenal cortex suppression is
Options:
a) Ketamine
b) Etomidate
c) Propofol
d) Thiopentone
-----
",1,2
"-----
Question:
All are benefits of prone ventilation except-
Options:
a) Prone position recruits dorsal lung regions where greater lung mass is located
b) Displacement of cardiac mass away from lung tissue
c) Homogenous distribution of ventilation in prone position
d) Proper tolerance of enteral feeding
-----
",3,3
"-----
Question:
Contraindicated in head injury -
Options:
a) Halothane
b) Ketamine
c) N2O
d) Propofol
-----
",1,1
"-----
Question:
Which of the following is/are not local anesthesia:
Options:
a) Bupivacine
b) Mepivacine
c) Mivacurium
d) All
-----
",2,4
"-----
Question:
Local anaesthetics act by?
Options:
a) Na channel inhibition inside gate
b) Na channel inhibition outside gate
c) K channel inhibition inside gate
d) K channel inhibition outside gate
-----
",0,1
"-----
Question:
Fixed performance device is
Options:
a) Ventury mask
b) Nasal cannula
c) Simple mask
d) Non rebreathing mask
-----
",0,1
"-----
Question:
As per ISO, color of NO2 cylinder is?
Options:
a) Blue
b) Black
c) White
d) Red
-----
",0,1
"-----
Question:
True about epidural anaesthesia in pregnancy
Options:
a) Given through subarachnoid space
b) Increases cardiac output
c) Decreases venous return
d) All
-----
",2,4
"-----
Question:
During rapid induction of anaesthesia –
Options:
a) Sellieck's maneuver is not required
b) Pre–oxygenation is mandatory
c) Suxamethonium is contraindicated
d) Patient is mechanically ventilated before endotracheal intubation
-----
",1,2
"-----
Question:
The action of proparacaine stas within?
Options:
a) 2 minutes
b) 5 minutes
c) 15 minutes
d) 20 minutes
-----
",0,1
"-----
Question:
An anaesthesia resident was giving spinal anaesthesia when the patient had sudden aphonia and loss of consciousness. What could have happened?
Options:
a) Total spinal
b) Partial spinal
c) Vaso vagal attack
d) Intra vascular injection
-----
",2,3
"-----
Question:
Minimum Alveolar concentration of halothane is
Options:
a) 0.74%
b) 1-2%
c) 6%
d) 2%
-----
",0,2
"-----
Question:
With regard to Ketamine, all of the following are true except:
Options:
a) It is a direct myocardial depressant
b) Emergence phenomenon are more likely if anticholinergic premedication is used
c) It may induce cardiac dysarythmias in patients receiving tricyclic antidepressants
d) Has no effect on intracranial pressure
-----
",3,4
"-----
Question:
Contraindication for nasotracheal intubation –
Options:
a) Basal skull fractures
b) Neonate
c) Difficult intubation
d) Prolonged intubation
-----
",0,1
"-----
Question:
True about subarachnoid block (spinal anesthesia):
Options:
a) Cannot be used in infant & children
b) Can be given by unskilled doctor
c) May be used when I. V access is not possible for intravenous drugs
d) Hypotension is most common side-effect
-----
",3,3
"-----
Question:
All of the following conditions show hypehermia, EXCEPT:
Options:
a) Neuroleptic malignant syndrome
b) Phencyclidine use
c) Aspirin toxicity
d) None of the above
-----
",3,4
"-----
Question:
Oxygen content in anaesthetic mixture is –
Options:
a) 25%
b) 30%
c) 33%
d) 38%
-----
",2,3
"-----
Question:
All are true about halothane except -
Options:
a) Tachycardia
b) Hepatitis
c) Bronchodilatation
d) Uterine relaxation
-----
",0,2
"-----
Question:
A 29-year-old woman on oral contraceptives presents with abdominal pain. A computed tomography (CT) scan of the abdomen demonstrates a large hematoma of the right liver with the suggestion of an underlying liver lesion. Her hemoglobin is 6, and she is transfused 2 units of packed red blood cells and 2 units of fresh frozen plasma. Two hours after staing the transfusion, she develops respiratory distress and requires intubation. She is not volume overloaded clinically, but her chest x-ray shows bilateral pulmonary infiltrates. Which of the following is the management strategy of choice?
Options:
a) Continue the transfusion and administer an antihistamine
b) Stop the transfusion and administer a diuretic
c) Stop the transfusion, perform bronchoscopy, and sta broad-spectrum empiric antibiotics
d) Stop the transfusion and continue suppoive respiratory care
-----
",3,4
"-----
Question:
A 65-year-old man undergoes a technically difficult abdominal-perineal resection for a rectal cancer during which he receives 3 units of packed red blood cells. Four hours later, in the intensive care unit (ICU), he is bleeding heavily from his perineal wound. Emergency coagulation studies reveal normal prothrombin, paial thromboplastin, and bleeding times. The fibrin degradation products are not elevated, but the serum fibrinogen content is depressed and the platelet count is 70,000/mL. Which of the following is the most likely cause of his bleeding?
Options:
a) Delayed blood transfusion reaction
b) Autoimmune fibrinolysis
c) A bleeding blood vessel in the surgical field
d) Factor VIII deficiency
-----
",2,1
"-----
Question:
Pin index of oxygen is: March 2005
Options:
a) 0, 5
b) 1, 5
c) 2, 5
d) 3, 5 Laughing
-----
",2,3
"-----
Question:
Which of the following is an ester:
Options:
a) Chlorprocaine
b) Bupivacaine
c) Dibucaine
d) Prilocaine
-----
",0,1
"-----
Question:
Wooden chest rigidity is seen with
Options:
a) Morphine
b) Fentanyl
c) Remifentanyl
d) Pentazocine
-----
",1,1
"-----
Question:
An 18-year-old previously healthy man is placed on intravenous heparin after having a pulmonary embolism (PE) after exploratory laparotomy for a small-bowel injury following a motor vehicle collision. Five days later, his platelet count is 90,000/mL and continues to fall over the next several days. The patient's serum is positive for antibodies to the heparin-platelet factor complexes. Which of the following is the most appropriate next management step?
Options:
a) Cessation of all anticoagulation therapy
b) Cessation of heparin and immediate institution of high-dose warfarin therapy
c) Cessation of heparin and institution of low-molecular-weight heparin
d) . Cessation of heparin and institution of lepirudin
-----
",3,4
"-----
Question:
Shoest acting muscle relaxant
Options:
a) Pancuronium
b) Atracurium
c) Mivacurium
d) Vecuronium
-----
",2,3
"-----
Question:
All true about Cis-ATRACURIUM except
Options:
a) It is pure Cis isomer of atracurium
b) It is more potent than atracurium
c) It is also causes histamine release like atracurium
d) Metabolism similar to atracurium
-----
",2,3
"-----
Question:
Cause of post operative hypeension
Options:
a) Pre-operative hypeension
b) Inadequate analgesia
c) Phaeochromocytoma
d) All
-----
",3,4
"-----
Question:
In ophthalmology, a patient is allergic to aminoesters. What can be used ?
Options:
a) Cocaine
b) Procaine
c) Prilocaine
d) Tetracaine
-----
",2,4
"-----
Question:
Gas is filled as liquid in cylinder in – a) O2b) CO2 c) N2Od) Cyclopropanee) Halothane
Options:
a) bcd
b) d
c) ab
d) ac
-----
",0,2
"-----
Question:
Use of atropine in pre-anaesthetic medication has all of the following effects except: March 2012
Options:
a) Prevent hypotension
b) Bronchoconstriction
c) Prevent bradycardia
d) Decrease secretion
-----
",1,2
"-----
Question:
Disadvantage of ketamine is
Options:
a) Increased hea rate
b) Increased ICT
c) Delirium
d) All of the above
-----
",3,4
"-----
Question:
Propofol infusion syndrome is characterized by
Options:
a) Hypokalemia
b) Hypolipidemia
c) Bradycardia
d) Tachycardia
-----
",2,1
"-----
Question:
In relation to Ethylene glycol poisoning
Options:
a) It may present with an acute ascending motor and sensory neuropathy
b) A normal anion gap acidosis is usually seen
c) Alcohol dehydrogenase catabolises the metabolism of EG into metabolites including oxalate and glycolic acid
d) Haemodialysis is not effective
-----
",0,1
"-----
Question:
Muscle pain after anaesthesia is caused by –
Options:
a) Vecuronium
b) D-tubocurare
c) Suxamethonium
d) All
-----
",2,4
"-----
Question:
Which among the following is a depolarising muscle relaxant-
Options:
a) Decamethonium
b) D tubocurarine
c) Doxacurium
d) Atracurium
-----
",0,1
"-----
Question:
The maximum safe dose of bupivacaine is
Options:
a) 1 mg/kg
b) 2 mg/kg
c) 3 mg/kg
d) 5 mg/kg
-----
",1,2
"-----
Question:
Shoest acting non depolarizing muscle relaxant is
Options:
a) Mivacurium
b) Doxacuronium
c) Pipecurium
d) Vecuronium
-----
",0,1
"-----
Question:
Swan Ganz catheter measure
Options:
a) PCWP
b) C.O.
c) Mixed venous 02 saturation
d) All
-----
",3,4
"-----
Question:
Which of the following should be the ventilator settings for tidal volume in a patient with ARDS?
Options:
a) Tidal volume 10-12 ml/kg
b) Tidal volume 8-10 ml/kg
c) Tidal volume 5-7 ml/kg
d) Tidal volume 4 ml/kg
-----
",2,3
"-----
Question:
site of action of vecuronium is
Options:
a) Cerebrum
b) Reticular formation
c) Motor neuron
d) Myoneural junction
-----
",3,4
"-----
Question:
Drugs used for anaesthesia in a hypotensive is-
Options:
a) Propofol
b) Ketamine
c) Thiopentone
d) None
-----
",1,2
"-----
Question:
An eye surgery was performed using propofol as the intravenous anaesthetic agent succinylcholine as the muscle relaxant. Recovery from anaesthesia was uneventful. However the patient complains of pain in the muscles. Which of the following is thelikely reason for this?
Options:
a) Propofol
b) succinylcholine
c) Muscle infarction
d) None of the above
-----
",1,2
"-----
Question:
All the following statements about Epinephrine used as an adjuvant are true Except
Options:
a) Extends block duration, limits systemic uptake, supplements analgesic effect, and acts as an indicator of intravascular injection
b) Can cause toxicity to peripheral nerves in patients with diabetes or chemotherapy
c) Local anaesthetics and epinephrine have no effect on peripheral nerve blood flow
d) Can aggravate local anaesthetic-induced neuraxial or peripheral nerve injury
-----
",2,4
"-----
Question:
Safety pin index for oxygen cylinder is-
Options:
a) 2,5
b) 3,5
c) 1,5
d) 1,4
-----
",0,2
"-----
Question:
Agents safe in renal failure – a) Gallamineb) Pancuroniumc) Vecuroniumd) Mivacurium
Options:
a) ab
b) bc
c) bd
d) cd
-----
",3,4
"-----
Question:
Local anaesthetics acts by inhibiting: March 2012
Options:
a) Sodium channels
b) Potassium channels
c) Calcium channels
d) Magnesium channels
-----
",0,1
"-----
Question:
In right lateral rectus palsy, head is turned to ?
Options:
a) Right
b) Left
c) Up
d) Down
-----
",0,1
"-----
Question:
Laryngeal mask is contraindicated in all except-
Options:
a) Oral tumor
b) Ocular surgeries
c) Massive maxillofac ial injury
d) High risk of aspiration
-----
",1,3
"-----
Question:
What is the dose of Adrenaline given intravenously in cardiac arrest victim-
Options:
a) 10 ml 1 in 10,000
b) 1 ml 1 in 10,000
c) 2 ml 1 in 1000
d) 10 ml 1 in 1000
-----
",0,2
"-----
Question:
Dead space is increased by all except:
Options:
a) Anticholinergic drugs
b) Standing
c) Hyperextention of neck
d) Endotracheal intubation
-----
",3,1
"-----
Question:
Soda lime circuit is NOT used in anaesthesia with the following agent:
Options:
a) Enflurane
b) Isoflurane
c) Trichloroethylene
d) Methoxyflurane
-----
",2,3
"-----
Question:
A 40 year old man who met with a motor vehicle catastrophe came to the casualty hospital in an hour with severe maxillofacial trauma. His Pulse rate was 120/min, BP was 100/70 mm Hg, SpO2 - 80% with oxygen. What would be the immediate management –
Options:
a) Nasotracheal intubation
b) Orotracheal intubation
c) Intravenous fluid
d) Tracheostomy
-----
",1,2
"-----
Question:
Which of the following is inhalational induction agent of choice for induction.
Options:
a) Halothane
b) Isoflurane
c) Sevoflurane
d) Desflurane
-----
",2,3
"-----
Question:
An 18-year-old woman develops uicaria and wheezing after an injection of intravenous contrast for an abdominal CT scan. Her blood pressure is 120/60 mm Hg, hea rate is 155 beats per minute, and respiratory rate is 30 breaths per minute. Which of the following is the most appropriate immediate therapy?
Options:
a) Intubation
b) Epinephrine
c) b-Blockers
d) Iodine
-----
",1,2
"-----
Question:
Which of the following anaesthetic agent causes bone marrow supression?
Options:
a) Halothane
b) Ketamine
c) Nitrous Oxide
d) Isoflurane
-----
",2,3
