mcq,cop,llm_cop
"-----
Question:
Not intravenous Anasthetic agent
Options:
a) Ketamine
b) Thiopantone
c) Etomidate
d) Cyclopropane
-----
",3,3
"-----
Question:
Depolarizing muscle relaxant –
Options:
a) Scoline
b) Ketamine
c) Halothane
d) Atracurium
-----
",0,3
"-----
Question:
Ine foreign body in the eye ?
Options:
a) Nickel
b) Copper
c) Iron
d) Silver
-----
",3,2
"-----
Question:
In pediatric epidural anaestheisia, volume of local anaesthetic given to cause sacral dermatome block is?
Options:
a) 0.5 -1 ml/kg
b) 2 - 4 ml/kg
c) 5 - 10 ml/kg
d) None
-----
",0,1
"-----
Question:
Longest acting among muscle relaxant is
Options:
a) Doxacurium
b) Rocuronium
c) Vecuronium
d) Atracurium
-----
",0,3
"-----
Question:
A 74-year-old woman with a history of a previous total abdominal hysterectomy presents with abdominal pain and distention for 3 days. She is noted on plain films to have dilated small-bowel and air-fluid levels. She is taken to the operating room for a small-bowel obstruction. Which of the following inhalational anesthetics should be avoided because of accumulation in air-filled cavities during general anesthesia?
Options:
a) Diethyl ether
b) Nitrous oxide
c) Halothane
d) Methoxyflurane
-----
",1,0
"-----
Question:
Circuit of choice for controlled ventilation ?
Options:
a) Magill circuit
b) Type C
c) Type D
d) Type E
-----
",2,1
"-----
Question:
Not used topically is:
Options:
a) Lignocaine
b) Bupivicaine
c) Dibucaine
d) Tetracaine
-----
",1,0
"-----
Question:
30 year old lady was on the OT and during the mastoidectomy, after having inhalational anaesthesia, suddenly developed fever, increased hea rate, raised BP, acidosis and arrythmia. What is the next best intervention?
Options:
a) Dantrolene
b) Sodium bicarbonate
c) Procainamide
d) Antipyretics
-----
",0,1
"-----
Question:
Index of potency of general anesthesia ?
Options:
a) Minimum alveolar concentration
b) Diffusion coefficient
c) Dead space concentration
d) Alveolar blood concentration
-----
",0,0
"-----
Question:
Which is the intravenous anesthetic agent contributing in good analgesia:-
Options:
a) Thiopentone
b) Propofol
c) Etomidate
d) Ketamine
-----
",3,3
"-----
Question:
The effect of neuromuscular blocking drugs is measured as the depression of adductor muscle contraction following electrical stimulation of which nerve:-
Options:
a) Ulnar nerve
b) Median nerve
c) Radial nerve
d) Occipital nerve
-----
",0,1
"-----
Question:
Agent causing malignant hypehermia
Options:
a) Succinyl choline
b) Dantrolene
c) Gallamine
d) Ketamine
-----
",0,3
"-----
Question:
Fastest route of absorption of local anaesthetic is
Options:
a) Intercostal
b) Epidural
c) Brachial
d) Caudal
-----
",0,2
"-----
Question:
Placement of double lumen tube for lung surgery is best confirmed by
Options:
a) EtCO2
b) Airway pressure measurement
c) Clinically by auscultation
d) Bronchoscopy
-----
",3,3
"-----
Question:
False statement about post-dural puncture headache (PDPH): March 2011
Options:
a) Breech of dura
b) Onset of headache is usually 12-72 hours following procedure
c) Commonly occipito-frontal in location
d) Headache is relieved in sitting/ standing position
-----
",3,3
"-----
Question:
True about endotracheal intubation is:
Options:
a) It reduces normal anatomical dead space
b) It produces decrease in resistance to respiration
c) Subglottic edema is most common complication
d) All of the above
-----
",0,1
"-----
Question:
In a variable performance face mask
Options:
a) High patient inspiratory flow rate reduces oxygen concentration
b) Oxygen concentration decreases during an expiratory pause
c) Carbon dioxide concentration decreases during an expiratory pause
d) Side holes allow venting of expired gases and entrainment of air.
-----
",2,3
"-----
Question:
Five days after an uneventful cholecystectomy, an asymptomatic middle-aged woman is found to have a serum sodium level of 125 mEq/L. Which of the following is the most appropriate management strategy for this patient?
Options:
a) Administration of hypeonic saline solution
b) Restriction of free water
c) Plasma ultrafiltration
d) Hemodialysis
-----
",1,1
"-----
Question:
Which of the following inhalational agent can cause coronary steal phenomenon-
Options:
a) Isoflurane
b) Sevoflurane
c) Desflurane
d) Halothane
-----
",0,3
"-----
Question:
A 62-year-old female was scheduled for mechanical ventilation for respiratory failure. She was administered pancuronium as a muscle relaxant before intubation. Which of the following statement is accurate regarding pancuronium?
Options:
a) Tetanic tension is poor
b) Muscle fasciculations are observed at the onset
c) Autonomic ganglia are stimulated
d) Predominantly histamine release
-----
",0,0
"-----
Question:
Minimal mandatory Percentage of oxygen used in general anaesthesia is
Options:
a) 33%
b) 30%
c) 21%
d) 66%
-----
",1,1
"-----
Question:
The term ""balanced anaesthesia"" has been given by
Options:
a) Simpson
b) Fischer
c) Lundy
d) Moan
-----
",2,0
"-----
Question:
Succinylcholine is used with caution in all except –
Options:
a) Mysthenia gravis
b) Burns
c) Crush injury
d) Tachycardia
-----
",3,0
"-----
Question:
Most potent antiemetic agent used in preoperative period –
Options:
a) Glycopyrolate
b) Hyoscine
c) Atropine
d) Metochlorpromide
-----
",1,3
"-----
Question:
Which of the following is used for oxygen therapy –
Options:
a) Pulse oximeter
b) Nick name's catheter
c) Hudson's mask
d) Guedel's airway
-----
",2,2
"-----
Question:
Anaesthetic management of 12 year old with Down syndrome includes all of the following, except
Options:
a) Continue anti-seizure medications
b) Heavy sedation since all such patients are combative
c) Prepare for manual in line neck stabilization
d) Radiographs of the neck should be reviewed to rule out atlanto occipital instability
-----
",1,1
"-----
Question:
All the following cause malignant hyperpyrexia except –
Options:
a) N2O
b) Halothane
c) Methyoxyflurane
d) Isoflurane
-----
",0,3
"-----
Question:
Incubator heat is delivered by except –
Options:
a) Conduction
b) Convection
c) Radiation
d) Evaporation
-----
",0,3
"-----
Question:
All of the following are examples of definite airways, except:
Options:
a) Nasotracheal tube
b) Orotracheal tube
c) Laryngeal Mask airway
d) Cricothyroidotomy
-----
",2,2
"-----
Question:
Most common complication of celiac plexus block:
Options:
a) Pneumothorax
b) Postural hypotension
c) Retroperitoneal hemorrhage
d) Intra-aerial injection
-----
",1,1
"-----
Question:
In a patient with severe aoic Stenosis which of the following anesthetic techniques is least preferred:
Options:
a) Propofol induction
b) Etomidate induction
c) Spinal anesthetic with 15 mg bupivacaine
d) Epidural anesthesia with 2 % lidocaine
-----
",2,2
"-----
Question:
A 4 month old child can be given clear fluid till how many hours prior to Sx
Options:
a) 1 hr
b) 2 hrs
c) 3 hrs
d) 4 hrs
-----
",1,1
"-----
Question:
FDA indications of inhaled NO is
Options:
a) Malignant hypeension
b) Pulmonary hypeension in newborn
c) Cyanotic CHD
d) None of the above
-----
",1,1
"-----
Question:
Incubator heat is delivered by except :
Options:
a) Conduction
b) Convection
c) Radiation
d) Evaporation
-----
",0,3
"-----
Question:
Atropine as preanesthesia has all effects except –
Options:
a) Decrease secretion
b) Bronchoconstriction
c) Prevent bradycardia
d) Prevent hypotension
-----
",1,1
"-----
Question:
Positive end-expiratory pressure causes increase in which respiratory parameter -
Options:
a) Lung compliance
b) FRC
c) Tidal volume
d) All of the above
-----
",3,1
"-----
Question:
Which of the following produces the least damage to blood elements
Options:
a) Disc oxygenator
b) Membrane oxygenator
c) Bubble oxygenator
d) Screen oxygenator
-----
",1,1
"-----
Question:
Colour of Oxygen cylinder is:
Options:
a) Blue
b) Grey
c) Orange
d) Black and White
-----
",3,2
"-----
Question:
The local anaesthetic toxicity is maximally seen with?
Options:
a) Epidural
b) Intercostal space
c) Caudal space
d) Sciatico-femoral nerve block
-----
",1,0
"-----
Question:
Following are hepatotoxic anesthetic agents except?
Options:
a) Halothane
b) Chloroform
c) Ether
d) Propofol
-----
",3,3
"-----
Question:
All are true regarding nitrous oxide except
Options:
a) Nitrous oxide is good analgesic agent.
b) Nitrous oxide cylinder is blue coloured
c) Inhibits thymidylate synthetase enzyme
d) Good agent to use in pan retinal photocoagulation
-----
",3,2
"-----
Question:
Machine used noninvasively to monitor an external chest compression during cardiopulmonary resuscitation is
Options:
a) Zoll depth synchronizer
b) Zoll strength sensor
c) Zoll pAO2 monitor
d) Zoll AED -plus automatic external defibrillator
-----
",3,1
"-----
Question:
Recommended maximum dose of Lignocaine + adrenaline for peripheral nerve shock.
Options:
a) 7 mg/kg bw
b) 4.5 mg/kg bw
c) 2 mg/ kg bw
d) 3 mg/kg bw
-----
",0,1
"-----
Question:
Which of the following circumstances trigger non invasive to invasive ventilation
Options:
a) Respiratory arrest
b) RR > 35 /min
c) Sev acidosis < 7.25
d) All of the above
-----
",3,3
"-----
Question:
Epidural anaesthesia is preferred over spinal anaesthesia because: September 2006
Options:
a) Prolonged duration of effect
b) Cheaper
c) Less incidence of intravascular injection
d) Less incidence of epidural hematoma
-----
",0,0
"-----
Question:
For high pressure storage of compressed gases cylinders are made up of.
Options:
a) Molybdenum steel
b) Iron + Mo
c) Steel + Cu
d) Cast iron
-----
",0,0
"-----
Question:
Inadequate depth of anaesthesia leads to all except
Options:
a) Lacrimation
b) Bradycardia
c) Mydriasis
d) Hypertension
-----
",1,3
"-----
Question:
Respiratory irritation is seen with
Options:
a) Ether
b) Halothane
c) Trichloroethlyene
d) Cyclopropane
-----
",2,2
"-----
Question:
Midazolam causes all except:
Options:
a) Anterograde amnesia
b) Retrograde amnesia
c) Causes tachyphylaxis during high dose infusions
d) Decreased cardiovascular effects as compared to propofol
-----
",1,1
"-----
Question:
Epidural narcotic is preferred over epidural Local anaesthetic for analgesia because -
Options:
a) Less respiratory depression
b) No retention of urine
c) No motor paralysis
d) Less dose required
-----
",2,0
"-----
Question:
First step in CPR (cardio pulmonary resuscitation) should be –
Options:
a) IV adrenaline
b) Intracardic atropine
c) Airway maintainance
d) Hystrectomy
-----
",2,2
"-----
Question:
Positive end-expiratory pressure causes increase in which respiratory parameter ?
Options:
a) Lung compliance
b) FRC
c) Tidal volume
d) All of the above
-----
",3,1
"-----
Question:
MAC stands for
Options:
a) Minimum alveolar concentration
b) Minimal analgesic concentration
c) Minimal anaesthetic concentration
d) Maximum alveolar concentration
-----
",0,2
"-----
Question:
Which by product of vecuronium is associated with peripheral neuropathy on prolonged infusion-
Options:
a) 3- hydroxy vecuronium
b) 17-hydroxy vecuronium
c) 3, 17 (OH2) metabolite
d) All
-----
",0,2
"-----
Question:
All of the following statement about neuromuscular blockage produced by succinylcholine are true except
Options:
a) No fade on Train of Four stimulation
b) Fade on tetanic stimulation
c) No post tetanic fecilitation
d) Train of four ratio 1
-----
",1,1
"-----
Question:
Which of the following neuromuscular blocker is most cardiostable-
Options:
a) Vecuronium
b) d-tubocurare
c) Atracurium
d) Pancuronium
-----
",0,2
"-----
Question:
Shortest acting non-depolarising neuromuscular blocker-
Options:
a) Mivacurium
b) Pancuronium
c) Succinylcholtne
d) Rapacurium
-----
",0,0
"-----
Question:
Most commonly used approach of brachial plexus block?
Options:
a) Interscalene
b) Supraclavicular
c) Infraclavicular
d) Axillary
-----
",1,1
"-----
Question:
Upper respiratory tract infection is a common problem in children. All of the following anesthetic complications can occur in children with respiratory infections except?
Options:
a) Bacteremia
b) Halothane granuloma
c) Increased mucosa] bleeding
d) Laryngospasm
-----
",1,1
"-----
Question:
Which of the following is NOT an intermediate acting muscle relaxant?
Options:
a) Cisatracurium
b) Rocuronium
c) Mivacurium
d) Vecuronium
-----
",2,2
"-----
Question:
An 18-year-old previously healthy man is placed on intravenous heparin after having a pulmonary embolism (PE) after exploratory laparotomy for a small-bowel injury following a motor vehicle collision. Five days later, his platelet count is 90,000/mL and continues to fall over the next several days. The patient's serum is positive for antibodies to the heparin-platelet factor complexes. Which of the following is the most appropriate next management step?
Options:
a) Cessation of all anticoagulation therapy
b) Cessation of heparin and immediate institution of high-dose warfarin therapy
c) Cessation of heparin and institution of low-molecular-weight heparin
d) . Cessation of heparin and institution of lepirudin
-----
",3,3
"-----
Question:
About CPAP all are true except:
Options:
a) Given prophylactically in all preterm with respiratory distress
b) Staed with Fi02 50 to 60 percent
c) Given in infants less than 28 weeks and less than 1 kg weight
d) Improves oxygenation and improves lung compliance
-----
",1,0
"-----
Question:
Simple face mask (Hudson mask) can deliver maximum FiO2 of:-
Options:
a) 0.6
b) 0.4
c) 0.8
d) 1
-----
",0,2
"-----
Question:
Regarding propofol which One of the following is false
Options:
a) it is used as an intravenous induction agent
b) It causes severe vomiting
c) It is painful on injecting intravenously
d) It has no muscle relaxant propey
-----
",1,1
"-----
Question:
Which of the following have analgesic property ?a) N2Ob) Ketamine c) Thiopentoned) Etomidate
Options:
a) ac
b) a
c) ab
d) bc
-----
",2,2
"-----
Question:
Which of the following anesthetic agent does not cause hypotension on injection?
Options:
a) Propofol
b) Ketamine
c) Halothane
d) Thiopentone
-----
",1,1
"-----
Question:
After hyperventilation for some time holding the breath is dangerous since
Options:
a) It can lead to CO2 narcosis
b) due to lack of stimulation by CO2, anoxia can go into dangerous level
c) I-0O2 shift 0 dissociation curve to left.
d) Alkalosis can lead to tetany
-----
",1,1
"-----
Question:
Malampatti grading is for
Options:
a) Mobility of cervical spine
b) Mobility of atlanto axial joint
c) Assessment of free rotation of neck before intubation
d) Inspection of oral cavity before intubation
-----
",3,2
"-----
Question:
Following group of drugs is the first line in the management of schizophrenia
Options:
a) Opioids
b) Antiepileptics
c) Serotonergic drugs
d) Dopamine antagonist
-----
",3,3
"-----
Question:
Which of the following local anesthetics is useful for topical administration only?
Options:
a) Procaine
b) Bupivacaine
c) Etidocaine
d) Benzocaine
-----
",3,3
"-----
Question:
All of the following factors decrease the Minimum Alveolar Concentration (MAC) of an inhalation anaesthetic agent except.
Options:
a) Hypothermia
b) Hyponatremia
c) Hypocalcemia
d) Anemia
-----
",2,3
"-----
Question:
Thiopentone is contraindicated in
Options:
a) Narcoanalysis
b) Neurosurgery
c) Acute intermittent porphyria
d) Induction of anaesthesia
-----
",2,2
"-----
Question:
Following a road trafiic accident involving his bike and a bus, a 30-year-old man suffered splenic rupture. On examination his vital signs are BP 90/60, pulse 126/min and Sp02 92%. Which of the following is the induction agent of choice in this patient ?
Options:
a) Remifentanyl
b) Halothane
c) Midazolam
d) Etomidate
-----
",3,3
"-----
Question:
Which of the following is true about the WHO analgesic ladder for chronic pain in adults?
Options:
a) Analgesics are given 'on demand'
b) Morphine used for severe pain
c) Adjuvants are indicated only for mild pain
d) Non opioid analgesic are given for moderate pain.
-----
",1,3
"-----
Question:
Total cerebral metabolic failure occurs at blood flow of
Options:
a) 10 m1/100 gm/min
b) 20 m1/100 gm/m1
c) 30 m1/100 gm/min
d) 40 m1/100 gm/ml
-----
",0,2
"-----
Question:
An E Clylinder of oxygen contains approximately how many litres?
Options:
a) 500
b) 1200
c) 900
d) 680
-----
",3,1
"-----
Question:
Anesthetic agent known to cause pain on intravenous injection:
Options:
a) Ketamine
b) Etomidate
c) Thiopentone
d) Propofol
-----
",3,0
"-----
Question:
Which is not a feature of non depolarizing block?
Options:
a) Potentiated by magnesium
b) Potentiated by neostigmine
c) Relatively slow onset
d) In paial paralysis nerve stimulation shows fade
-----
",1,0
"-----
Question:
Parachute lesions are seen in ?
Options:
a) Eale's disease
b) Diabetes
c) Sickle cell anemia
d) All of the above
-----
",3,2
"-----
Question:
Color of nitrous oxide cylinder is
Options:
a) Black with white shoulders
b) White with black shoulders
c) Grey
d) Blue
-----
",3,1
"-----
Question:
All of the following can be used for reversal of muscle relaxant EXCEPT-
Options:
a) Neostigmine
b) Atropine
c) Physostigmine
d) Edrophonium
-----
",1,1
"-----
Question:
Minimum Alveolar concentration  of halothane is
Options:
a) 0.74%
b) 1-2%
c) 6%
d) 2%
-----
",0,0
"-----
Question:
Characteristic of an ideal gas is
Options:
a) Volume is directly propoional to change in pressure
b) Volume is inversely propoional to change in temperature
c) At absolute temp. volume of gas is 1
d) Obeys Carles, Byles and Avagadro' laws
-----
",3,3
"-----
Question:
Mallampatti's classification is for?
Options:
a) Mobility of cervical spine
b) Mobility of atlanto axial joint
c) Assessment of free rotation of neck before intubation
d) Inspection of oral cavity before intubation
-----
",3,2
"-----
Question:
Which local anaesthetic does not require adrenaline?
Options:
a) Procaine
b) Lignocaine
c) Bupivacaine
d) Cocaine
-----
",3,3
"-----
Question:
A 38 year old man is posted for extraction of last molar tooth under general anaesthesia as a day care case. He wishes to resume his work after 6 hours. Which one of the following induction agents is preferred?
Options:
a) Propofol
b) Ketamine
c) Diazepam
d) Thiopentone sodium
-----
",0,0
"-----
Question:
Cerebral metabolism and 02 consumption are increased by:
Options:
a) Propofol
b) Ketamine
c) Atracurium
d) Fentanyl
-----
",1,1
"-----
Question:
Diffusion hypoxia is seen with -
Options:
a) Ether
b) Cyclopropane
c) Halothane
d) Nitrous oxide
-----
",3,2
