,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
10,OIC-247-22-B,Quel est l'objectif principal de la diététique du diabète de type 1 ?,Cette question évalue la compréhension de l'objectif principal de la diététique chez les patients atteints de diabète de type 1. ,Éviter les trop grandes fluctuations glycémiques,C'est l'objectif principal de la diététique du diabète de type 1.,Réduire la consommation de glucides,"Bien que la quantité de glucides soit importante, l'objectif principal n'est pas de les réduire drastiquement.",Favoriser la perte de poids,"La perte de poids peut être un effet secondaire bénéfique, mais ce n'est pas l'objectif principal de la diététique.",Supprimer les produits à fort index glycémique,"Il est important de limiter les produits à fort index glycémique, mais l'objectif principal est d'éviter les fluctuations glycémiques.",a
11,OIC-247-23-A,La prise en charge multifactorielle du diabète de type 2 (DT2) inclut principalement :,Cette question évalue la compréhension des objectifs de la prise en charge du DT2. Le piège courant est de se concentrer uniquement sur le contrôle glycémique.,"L'équilibre glycémique, l'arrêt du tabagisme et le contrôle du bilan lipidique.",Cette option est correcte car elle mentionne les trois piliers essentiels de la prise en charge multifactorielle du DT2.,Seul le contrôle glycémique et l'arrêt du tabagisme.,"Cette option est incorrecte car elle manque le contrôle du bilan lipidique, un élément important de la prise en charge.","L'équilibre glycémique, le contrôle du bilan lipidique et la pratique d'une activité physique régulière.","Cette option est incorrecte car elle manque l'arrêt du tabagisme, un élément important de la prise en charge.","L'équilibre glycémique, le contrôle de la tension artérielle et la prise de médicaments.","Cette option est incorrecte car elle manque l'arrêt du tabagisme et le contrôle du bilan lipidique, des éléments importants de la prise en charge.",a
12,OIC-247-24-A,Lequel des traitements suivants est contre-indiqué en cas de DFG < 30 ml/min?,Cette question évalue la compréhension des contre-indications spécifiques des différents traitements antidiabétiques.,Metformine,La metformine est contre-indiquée en cas de DFG < 30 ml/min.,Gliclazide,"La posologie de la gliclazide doit être ajustée en fonction de la fonction rénale, mais elle n'est pas formellement contre-indiquée en cas de DFG < 30 ml/min.",Sitagliptine,"La sitagliptine nécessite un ajustement de la posologie en fonction de la fonction rénale, mais elle n'est pas formellement contre-indiquée en cas de DFG < 30 ml/min.",Liraglutide,"Le liraglutide nécessite un ajustement de la posologie en fonction de la fonction rénale, mais il n'est pas formellement contre-indiqué en cas de DFG < 30 ml/min.",a
13,OIC-247-26-B,Quel est l'objectif principal du traitement néphroprotecteur chez les patients diabétiques?,Cette question évalue la compréhension des objectifs du traitement néphroprotecteur. Le piège courant est de se concentrer sur les médicaments spécifiques plutôt que sur l'objectif global.,Prévenir la progression de la néphropathie diabétique,C'est l'objectif principal du traitement néphroprotecteur.,Réduire le taux de glycémie à moins de 7%,"Bien que le contrôle de la glycémie soit important, ce n'est pas l'objectif principal du traitement néphroprotecteur.",Guérir les lésions rénales existantes,"Le traitement néphroprotecteur vise à ralentir la progression de la maladie, mais pas à la guérir.",Augmenter le débit de filtration glomérulaire,"Le traitement néphroprotecteur vise à stabiliser ou à ralentir la perte de fonction rénale, pas à l'augmenter.",a
14,OIC-247-27-B,Quel est l'objectif principal de l'équilibre glycémique chez les patients atteints de rétinopathie diabétique?,Cette question évalue la compréhension de l'importance du contrôle glycémique dans la prise en charge de la rétinopathie diabétique. Le piège courant est de se concentrer uniquement sur les traitements ophtalmologiques.,Réduire le risque d'aggravation de la rétinopathie diabétique,C'est la réponse correcte. Un bon contrôle glycémique est essentiel pour prévenir l'aggravation de la rétinopathie diabétique.,Diminuer la fréquence des injections intraoculaires,"Bien que le contrôle glycémique puisse contribuer à réduire la fréquence des injections, ce n'est pas son objectif principal.",Prévenir la formation de néovaisseaux rétiniens,La panphotocoagulation rétinienne est le traitement principal pour la prévention des néovaisseaux.,Traiter l'œdème maculaire,"L'œdème maculaire est traité par des injections intraoculaires, mais le contrôle glycémique est important pour la prévention et la gestion de la rétinopathie diabétique en général.",a
15,OIC-247-29-B,Quel est le principal objectif du traitement initial de la céto-acidose diabétique?,Cette question évalue la compréhension des principes fondamentaux du traitement de la céto-acidose. Le piège courant est de se concentrer sur les détails du traitement plutôt que sur l'objectif principal.,Rétablir l'équilibre acido-basique,C'est l'objectif principal du traitement initial de la céto-acidose.,Réduire la glycémie à un niveau normal,"Bien que la réduction de la glycémie soit importante, elle n'est pas l'objectif principal immédiat.",Identifier et traiter le foyer infectieux,"La recherche d'un foyer infectieux est importante, mais elle n'est pas l'objectif principal du traitement initial.",Administrer de l'insuline sous-cutanée,"L'insuline sous-cutanée est utilisée dans la phase de stabilisation, après la réhydratation et la correction de l'équilibre acido-basique.",a
16,OIC-247-30-B,Quel est le premier geste à entreprendre en cas de coma hyperosmolaire?,Cette question évalue la compréhension des principes de base du traitement du coma hyperosmolaire. Le piège courant est de se concentrer sur l'insulinothérapie.,Réhydratation avec sérum salé 0.9% à 10% du poids du corps,C'est la première étape du traitement du coma hyperosmolaire.,Administration d'insuline à 0.5 à 1 UI/kg/h,"L'insulinothérapie est importante, mais elle intervient après la réhydratation.",Surveillance clinique régulière,"La surveillance clinique est essentielle, mais elle ne constitue pas le premier geste.",Apports potassiques dès que la kaliémie est < 5 mmol/l,"La correction de la kaliémie est importante, mais elle intervient après la réhydratation.",a
17,OIC-254-02-B,"Quel est le gain de poids recommandé pendant la grossesse pour une femme ayant un IMC compris entre 18,5 kg/m² et 25,0 kg/m²?",Cette question évalue la compréhension de la relation entre l'IMC et le gain de poids recommandé pendant la grossesse.,"7 - 11,5 kg",Correct. Cette plage correspond à l'IMC indiqué.,"12,5 - 18 kg","Incorrect. Cette plage correspond à un IMC inférieur à 18,5 kg/m².",5 - 9 kg,Incorrect. Cette plage correspond à un IMC supérieur ou égal à 30 kg/m².,"11,5 - 16 kg",Correct. Cette plage correspond à l'IMC indiqué.,d
18,OIC-254-03-B,Quel est le rôle de l'acide folique (vitamine B9) pendant la grossesse?,Cette question évalue la compréhension de l'importance de l'acide folique dans la prévention du spina-bifida.,Prévenir le spina-bifida,C'est la fonction principale de l'acide folique pendant la grossesse.,Augmenter la production de globules rouges,"Bien que l'acide folique soit important pour la production de globules rouges, ce n'est pas sa fonction principale pendant la grossesse.",Améliorer la digestion,L'acide folique n'a pas d'effet direct sur la digestion.,Renforcer le système immunitaire,"L'acide folique joue un rôle indirect dans le système immunitaire, mais ce n'est pas sa fonction principale pendant la grossesse.",a
19,OIC-254-04-A,Quelles populations sont considérées à risque de carence et/ou de malformation pendant la grossesse?,Cette question évalue la compréhension des populations à risque de problèmes nutritionnels pendant la grossesse.,"Adolescentes, femmes vivant dans des milieux défavorisés et celles suivant des régimes restrictifs.",Cette option liste correctement trois populations à risque.,Femmes enceintes ayant des antécédents de diabète et celles suivant un régime riche en protéines.,"Bien que le diabète soit un facteur de risque, un régime riche en protéines n'est pas spécifiquement mentionné comme un facteur de risque.",Seules les femmes enceintes ayant des antécédents de malformations sont à risque.,Cette option est incorrecte car plusieurs autres facteurs de risque sont mentionnés.,Les femmes enceintes vivant en milieu urbain sont à risque.,Le contexte géographique n'est pas spécifiquement mentionné comme un facteur de risque.,a
20,OIC-254-06-A,Quelles sont les mesures recommandées pour prévenir la listériose et la toxoplasmose chez une femme enceinte non immunisée?,Cette question évalue la compréhension des recommandations alimentaires spécifiques pour les femmes enceintes afin de prévenir les infections alimentaires. Le piège courant est de se concentrer uniquement sur le lavage des aliments.,"Lavez soigneusement les fruits et légumes, évitez les viandes crues ou peu cuites et les fromages au lait cru.",Cette option est correcte car elle mentionne les mesures clés de prévention de la listériose et de la toxoplasmose.,Consommez uniquement des aliments cuits à cœur et buvez du lait pasteurisé.,"Bien que la cuisson à cœur soit importante, cette option ne mentionne pas tous les aliments à éviter.",Évitez les produits laitiers et les œufs crus.,Cette option est incomplète car elle ne mentionne pas tous les aliments à risque.,Prenez des compléments alimentaires pour renforcer votre système immunitaire.,Les compléments alimentaires ne remplacent pas les mesures de prévention alimentaire.,a
21,OIC-254-07-A,Quel aliment doit être consommé avec modération pendant la grossesse?,Cette question évalue la compréhension des aliments à risque pendant la grossesse. Le piège courant est de penser que tous les aliments doivent être évités.,Le soja,Les phyto-estrogènes présents dans le soja peuvent avoir des effets indésirables sur le fœtus.,Les fruits rouges,Les fruits rouges sont généralement considérés comme sains pendant la grossesse.,Le lait,"Le lait est une bonne source de calcium, essentiel pendant la grossesse.",Le pain complet,Le pain complet est une source de fibres et de nutriments importants pendant la grossesse.,a
22,OIC-256-01-A,Un certificat médical d'absence de contre-indication à la pratique sportive est obligatoire pour :,Cette question évalue la compréhension des situations nécessitant un certificat médical sportif. Attention aux distracteurs qui mentionnent des situations où le certificat n'est pas obligatoire.,Obtenir une licence sportive fédérale,Correct. Un certificat médical est nécessaire pour obtenir ou renouveler une licence sportive fédérale.,Participer à un entraînement régulier en club,Incorrect. Un certificat médical n'est pas obligatoire pour participer à des entraînements réguliers en club.,S'inscrire à un cours de fitness,Incorrect. Un certificat médical n'est généralement pas requis pour les cours de fitness.,Renouveler sa licence sportive tous les ans,Incorrect. La fréquence de renouvellement du certificat médical dépend de la fédération et des conditions spécifiques.,a
23,OIC-256-02-B,"En l'absence de certificat médical, quel est le statut d'un enfant ou adolescent concernant la pratique de l'EPS en milieu scolaire?",Cette question évalue la compréhension de l'obligation de l'EPS et des exceptions liées à l'inaptitude.,Considéré comme apte à l'EPS,C'est la réponse correcte. L'EPS est obligatoire sans certificat d'inaptitude.,Exempté de l'EPS,Faux. L'enfant est tenu de participer à l'EPS sans certificat d'inaptitude.,Obligé de fournir un certificat médical,Faux. Un certificat médical est requis uniquement en cas d'inaptitude.,Autorisé à participer à l'EPS à condition d'avoir l'accord de ses parents,Faux. L'autorisation des parents n'est pas nécessaire en l'absence de certificat d'inaptitude.,a
24,OIC-256-03-B,Quel examen est recommandé par la Société Française de Cardiologie pour les sujets jeunes à partir de 12 ans?,Cette question évalue la compréhension des recommandations d'examen médical pour les jeunes sportifs. Le piège courant est de choisir un examen autre que l'ECG.,ECG de repos,C'est la bonne réponse. L'ECG est recommandé à partir de 12 ans.,Auscultation pulmonaire,"L'auscultation pulmonaire est importante, mais pas spécifiquement recommandée à partir de 12 ans.",Examen de l'appareil locomoteur,"L'examen locomoteur est important, mais pas spécifiquement recommandé à partir de 12 ans.",Dépistage de l'acuité visuelle,"Le dépistage de la vision est important, mais pas spécifiquement recommandé à partir de 12 ans.",a
25,OIC-256-04-B,Quelle est la particularité de l'examen médical d'absence de contre-indication à la pratique sportive chez un enfant par rapport à un adulte?,Cette question évalue la compréhension des différences clés dans l'examen médical pour les enfants sportifs.,Une attention particulière est portée à la statique rachidienne pour dépister des troubles de croissance.,Cette option est correcte car l'examen clinique chez l'enfant inclut une évaluation spécifique de la statique rachidienne.,L'évaluation de l'activité physique globale hebdomadaire n'est pas nécessaire chez l'enfant.,Cette option est incorrecte car l'évaluation de l'activité physique globale est essentielle chez l'enfant.,Le bilan nutritionnel n'est pas pertinent pour les enfants sportifs.,"Cette option est incorrecte car le bilan nutritionnel est important pour les enfants sportifs, surtout s'ils pratiquent intensivement.",L'évaluation du stade pubertaire n'est pas nécessaire chez l'enfant.,Cette option est incorrecte car l'évaluation du stade pubertaire est une partie importante de l'examen médical chez l'enfant.,a
26,OIC-256-05-A,Quelles sont les principales causes de contre-indication à la pratique sportive?,Cette question évalue la compréhension des causes principales de contre-indication à la pratique sportive. Le piège courant est de se concentrer uniquement sur les pathologies cardiovasculaires.,Pathologies cardiovasculaires et certaines pathologies non équilibrées ou sévères,Cette option est correcte car elle englobe les deux catégories principales de contre-indications.,Seules les pathologies cardiovasculaires,Cette option est incorrecte car elle ne prend pas en compte les autres contre-indications.,Les pathologies respiratoires évolutives ou en cours,Cette option est incorrecte car elle ne représente qu'une catégorie parmi d'autres.,Les sports de contact et de collision,Cette option est incorrecte car elle ne représente qu'une catégorie spécifique de contre-indications et non les causes générales.,a
27,OIC-256-07-B,Quelles sont les deux localisations les plus fréquentes des ostéochondroses chez l'enfant?,Cette question évalue la compréhension des pathologies spécifiques liées à la pratique sportive chez l'enfant. Le piège courant est de confondre les ostéochondroses avec d'autres pathologies sportives.,L'apophyse postérieure du calcanéum et le noyau apophysaire de la tubérosité tibiale antérieure,Cette option est correcte car elle correspond aux deux localisations les plus fréquentes des ostéochondroses décrites dans le texte.,Le genou et le coude,"Ces articulations peuvent être affectées par d'autres pathologies sportives, mais ne sont pas les localisations les plus fréquentes des ostéochondroses.",Le bassin et le pied,"Bien que ces zones puissent être touchées par des blessures sportives, elles ne sont pas spécifiquement mentionnées comme les localisations les plus fréquentes des ostéochondroses.",Le poignet et l'épaule,Ces articulations sont moins fréquemment touchées par les ostéochondroses.,a
28,OIC-256-08-B,Quel est le principal substrat énergétique pour les activités physiques d'intensité élevée?,Cette question évalue la compréhension des différents substrats énergétiques utilisés lors de l'exercice physique.,Glucides,C'est la réponse correcte. Les glucides sont la principale source d'énergie pour les activités intenses.,Lipides,Les lipides sont utilisés pour les activités d'intensité modérée et prolongée.,Protéines,"Les protéines sont utilisées pour la construction et la réparation des tissus musculaires, pas comme principale source d'énergie.",Vitamines,Les vitamines sont des nutriments essentiels mais ne fournissent pas d'énergie.,a
29,OIC-256-09-B,"Selon le texte, quel est le nombre minimum d'heures d'activité sportive par semaine pour qu'un enfant soit considéré comme sportif?",Cette question évalue la compréhension de la définition d'un enfant sportif.,6 heures,Correct. Le texte stipule que les enfants de moins de 10 ans doivent pratiquer au moins 6 heures d'activité sportive par semaine pour être considérés comme sportifs.,10 heures,Incorrect. C'est le nombre d'heures d'activité sportive par semaine requis pour les enfants de 10 ans et plus.,12 heures,Incorrect. Le texte ne mentionne pas ce nombre d'heures.,8 heures,Incorrect. Le texte ne mentionne pas ce nombre d'heures.,a
30,OIC-256-10-B,Quel type d'aliment est recommandé à proximité d'une séance d'exercice pour une meilleure performance?,"Cette question évalue la compréhension des besoins nutritionnels spécifiques aux sports d'endurance. Le piège courant est de choisir les aliments à index glycémique faible, qui sont plutôt recommandés à distance de l'exercice.",Aliments à index glycémique élevé,"Ces aliments libèrent rapidement du glucose dans le sang, fournissant une énergie immédiate.",Aliments à index glycémique faible,"Ces aliments libèrent lentement du glucose, ce qui est plus adapté à une alimentation à distance de l'exercice.",Aliments riches en lipides,Les apports en lipides sont à diminuer pour favoriser les apports glucidiques.,Aliments riches en protéines,"Les protéines sont importantes pour la récupération musculaire, mais pas pour l'énergie immédiate avant l'exercice.",a
31,OIC-256-11-A,Quels éléments sont importants à rechercher lors d'un interrogatoire pour évaluer les risques cardiovasculaires chez un individu souhaitant pratiquer une activité physique?,Cette question évalue la compréhension des facteurs de risque et des symptômes évocateurs de pathologies cardiovasculaires à l'interrogatoire.,Facteurs de risque cardiovasculaires et symptômes évocateurs de pathologies cardiovasculaires à l'exercice.,Cette option est correcte car elle mentionne les deux éléments clés à rechercher lors d'un interrogatoire pour évaluer les risques cardiovasculaires.,Seuls les facteurs de risque cardiovasculaires modifiables.,Cette option est incorrecte car elle ne prend pas en compte les facteurs non modifiables et les symptômes évocateurs.,Les symptômes évocateurs de pathologies cardiovasculaires uniquement.,"Cette option est incorrecte car elle ne mentionne pas les facteurs de risque cardiovasculaires, qui sont également importants.",L'âge et le sexe de l'individu.,Cette option est incorrecte car elle ne représente qu'une partie des facteurs de risque cardiovasculaires et ne mentionne pas les symptômes évocateurs.,a
32,OIC-257-01-A,Qu'est-ce qu'un œdème selon la définition donnée?,Cette question évalue la compréhension de la définition d'un œdème. Le piège courant est de confondre l'œdème avec une simple rétention d'eau.,Accumulation visible ou palpable de fluide dans le tissu interstitiel.,C'est la définition précise donnée dans le texte.,Inflammation des tissus.,"L'inflammation peut causer un œdème, mais ce n'est pas la définition d'un œdème.",Déséquilibre de la balance sodée et hydrique.,"Un déséquilibre de la balance sodée et hydrique peut causer un œdème généralisé, mais ce n'est pas la définition d'un œdème.",Accumulation de sang dans les tissus.,"L'accumulation de sang dans les tissus est une hémorragie, pas un œdème.",a
33,OIC-257-02-B,Quelle est la cause d'un œdème localisé?,Cette question évalue la compréhension des causes d'œdèmes localisés. Le piège courant est de choisir une cause générale plutôt qu'une cause locale.,Augmentation de la pression veineuse,Une augmentation de la pression veineuse peut causer un œdème localisé.,Insuffisance cardiaque,"L'insuffisance cardiaque est une cause d'œdème généralisé, pas localisé.",Maladie rénale chronique,"La maladie rénale chronique est une cause d'œdème généralisé, pas localisé.",Diabète non contrôlé,"Le diabète non contrôlé peut causer des œdèmes généralisés, pas localisés.",a
34,OIC-257-03-B,Quel est le principal facteur déterminant le volume extracellulaire?,Cette question évalue la compréhension de la régulation du volume extracellulaire. Le piège courant est de penser que la concentration de sodium est le facteur déterminant.,La quantité de sodium,"C'est la bonne réponse. La quantité de sodium, et non sa concentration, détermine le volume extracellulaire.",La concentration de sodium,"Incorrecte. La concentration de sodium est importante, mais c'est la quantité totale qui détermine le volume extracellulaire.",La pression oncotique plasmatique,"Incorrecte. La pression oncotique plasmatique joue un rôle dans l'équilibre fluide, mais elle n'est pas le facteur déterminant du volume extracellulaire.",La pression hydrostatique capillaire,"Incorrecte. La pression hydrostatique capillaire influence le flux de fluide entre les capillaires et les tissus, mais elle n'est pas le facteur déterminant du volume extracellulaire.",a
35,OIC-257-04-A,Quel signe clinique est illustré sur l'image ?,Cette question évalue la capacité à identifier un signe clinique spécifique d'œdème.,Signe du godet,C'est le signe clinique caractéristique de l'œdème de rétention hydrosodée.,Œdème inflammatoire,"L'œdème inflammatoire présente des caractéristiques différentes, comme la rougeur et la chaleur.",Varices,Les varices sont des dilatations des veines superficielles et ne présentent pas le signe du godet.,Lymphoedème,Le lymphoedème est un œdème dû à un dysfonctionnement du système lymphatique et a un aspect différent.,a
36,OIC-257-05-A,Quel est le signe clinique distinctif des œdèmes localisés par rapport aux œdèmes généralisés?,Cette question évalue la compréhension des caractéristiques cliniques des différents types d'œdèmes. Le piège courant est de confondre les deux types d'œdèmes.,Asymétrie et aspect parfois inflammatoire,C'est la caractéristique distinctive des œdèmes localisés.,Bilateralité et symétrie,Ces caractéristiques sont propres aux œdèmes généralisés.,Déclivité en orthostatisme,La déclivité est présente dans les deux types d'œdèmes.,Blancheur et mous,Ces caractéristiques sont propres aux œdèmes généralisés.,a
37,OIC-257-06-A,Lequel des signes biologiques suivants est le plus souvent associé à l'œdème? ,Cette question évalue la compréhension des signes biologiques associés aux œdèmes. Le piège courant est de choisir des signes non spécifiques à l'œdème.,Diminution de l'hématocrite,"L'hémodilution est fréquente dans les œdèmes, entraînant une diminution de l'hématocrite.",Hyperglycémie,L'hyperglycémie n'est pas un signe biologique typique des œdèmes.,Augmentation de la créatininémie,"L'augmentation de la créatininémie est plutôt associée à une insuffisance rénale, qui peut être une cause d'œdème.",Augmentation du taux de cholestérol,L'augmentation du taux de cholestérol n'est pas directement liée aux œdèmes.,a
38,OIC-257-07-A,Quel est l'un des principaux facteurs étiologiques d'œdèmes généralisés?,Cette question évalue la compréhension des causes des œdèmes généralisés. Attention aux distracteurs qui peuvent sembler plausibles.,Syndrome néphrotique,"Le syndrome néphrotique, une pathologie rénale, est une cause fréquente d'œdèmes généralisés.",Infection cutanée,"Les infections cutanées provoquent des œdèmes localisés, pas généralisés.",Maladie variqueuse,"La maladie variqueuse entraîne des œdèmes localisés, généralement dans les jambes.",Filariose,"La filariose provoque des œdèmes localisés, souvent dans les membres inférieurs.",a
39,OIC-257-08-A,Quel est l'effet natriurétique le plus puissant parmi les diurétiques mentionnés?,Cette question évalue la compréhension des différents types de diurétiques et de leur efficacité.,Furosémide,C'est le diurétique de l'anse de Henle avec l'effet natriurétique le plus puissant.,Spironolactone,La spironolactone est un diurétique d'action distale qui a un effet synergique avec les diurétiques de l'anse.,Hydrochlorothiazide,L'hydrochlorothiazide est un thiazidique qui a un effet synergique sur la natriurèse.,Amiloride,L'amiloride est un diurétique d'action distale qui a un effet synergique avec les diurétiques de l'anse.,a
40,OIC-260-01-A,Quelle est la définition d'une hématurie ?,Cette question évalue la compréhension de la définition d'une hématurie. Le piège courant est de confondre l'hématurie avec d'autres causes de coloration rouge des urines.,Présence anormale d'hématies dans les urines.,C'est la définition correcte de l'hématurie.,"Saignement d'origine urétral, en dehors de la miction.","Ceci décrit une urétrorragie, un diagnostic différentiel de l'hématurie.","Coloration rouge des urines due à des médicaments, des pigments ou des aliments.",Ceci décrit une coloration rouge des urines non liée à l'hématurie.,Contamination des urines par du sang provenant de saignements menstruels ou d'hémospermie.,"Ceci décrit une contamination des urines par du sang, un diagnostic différentiel de l'hématurie.",a
