id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-07-A-,Quel est le modèle de Reason qui permet d'attirer l'attention sur les causes latentes d'un accident et distingue des erreurs actives et des erreurs latentes?,Modèle de Reason,Modèle du fromage Suisse,Modèle Orion,Modèle ALARM,b
OIC-005-08-A,Quel est le fondement de la démarche de culture positive de l'erreur en matière de gestion des risques associés aux soins ?,La culpabilisation du professionnel de santé,La non-culpabilisation du professionnel de santé,L'anonymat et la confidentialité du signalement d'erreur,Le dédommagement du préjudice subi par le patient,b
OIC-005-08-A-,Quel est le rôle du travail en équipe pluriprofessionnelle dans la prise en charge du patient ?,Il est considéré comme une barrière de sécurité contre les événements indésirables.,Il est considéré comme un facteur de qualité de la prise en charge du patient.,Il est considéré comme un facteur de santé et de bien-être au travail pour les professionnels.,Il est considéré comme un moyen de répondre de manière collaborative aux besoins du patient.,b
OIC-005-09-A,Quels sont les principaux dispositifs du travail en équipe pluridisciplinaire ?,Un protocole pluriprofessionnel et les réunions de concertation pluridisciplinaire (RCP),Les réunions de morbi-mortalité (RMM) et la check-list au bloc opératoire,Toutes les options précédentes sont correctes,Aucune des options précédentes n'est correcte,c
OIC-005-09-A-,Quel est le but du parcours de soins ?,Organiser les soins pour le médecin,Coordonner les soins pour le patient,Améliorer la communication entre les professionnels de santé,Réduire les coûts des soins,b
OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel ?,Un document unique créé par un seul professionnel.,Un ensemble de règles à suivre pour chaque professionnelle.,Une expression de consensus entre plusieurs professionnels sur la prise en charge d'une maladie.,Un outil destiné uniquement aux médecins.,c
OIC-005-10-A-,Quel est le caractère essentiel des réunions de concertation pluridisciplinaire (RCP) ?,Elles sont réservées aux médecins généralistes.,Elles regroupent au moins trois médecins de spécialités différentes.,Elles ne nécessitent pas la présence d'un médecin de spécialité différente.,Elles sont exclusivement destinées aux patients atteints de cancer.,b
OIC-005-11-A,Quel est le principal objectif des listes de vérification dans le domaine médical ?,Vérifier les compétences des professionnels,Sécuriser la réalisation d'une intervention chirurgicale,Améliorer la communication entre les équipes,Réduire les coûts médicaux,b
OIC-005-11-A-,Quel est le but principal d'une réunion de morbi-mortalité (RMM) ?,Évaluer les compétences des professionnels de santé,Mettre en place des actions pour prévenir les erreurs,Analyser les situations cliniques pour améliorer la prise en charge du patient,Faire une critique personnelle des soins apportés au patient,c
OIC-005-12-B,Quel est le service qui assure une écoute médicale permanente et détermine la réponse la plus adaptée à l'appel d'urgence ?,Samu-Centre 15,Services mobiles d'urgence et de réanimation (SMUR),Services des urgences ou structures des urgences (SU),Tous les services précédents,a
OIC-005-12-B-,Quelle est la définition de la discrimination selon les Conventions internationales ?,Faire une différence de traitement en fonction des critères prohibés,Refuser un soin à une personne pour des raisons professionnelles ou personnelles,Établir des catégorisations simplificatrices et stéréotypées des patients,Faire preuve de compassion envers toutes les personnes sans distinction,a
OIC-005-13-A,Les discriminations ont pour effet de ____________ les inégalités sociales et inégalités de santé.,renforcer,atténuer,ignorer,supprimer,a
OIC-005-13-A-,Quel est un facteur structurel et organisationnel qui peut contribuer aux discriminations dans le système de santé?,Rapport de pouvoir asymétrique dans le soin,Hétérogénéité de pratiques,Inégalités territoriales de l’offre de soin,Manque de coordination entre les équipes de soins,a
OIC-005-14-B,Quelle est la différence entre l'éthique et la morale ?,"L'éthique est une science qui étudie les comportements humains, tandis que la morale est un ensemble de règles de conduite.","L'éthique est une réflexion sur la dimension morale de nos actions, tandis que la morale est une prescription de ce qui est bon ou mauvais.","L'éthique est une démarche pour justifier les choix des individus, tandis que la morale est un jugement de valeur.","L'éthique est une éducation à la responsabilité, tandis que la morale est une formation aux valeurs.",b
OIC-005-14-B-,Quel était le but de V.R. Potter lorsqu'il a créé le terme bioéthique ?,Créer une éthique globale pour la survie de l'homme et de la planète,Définir les limites de l'intervention médicale,Établir des règles juridiques pour les sciences de la vie,Promouvoir une alliance entre sciences biologiques et éthique,a
OIC-005-15-B,Quel est l'année où le mot 'déontologie' apparaît pour la première fois en langue française ?,1815,1825,1830,1840,b
OIC-005-15-B-,Quels sont les quatre grands principes de l'éthique médicale selon Beauchamp et Childress ?,"Bienfaisance, non-malfaisance, respect de l'autonomie, justice","Bienfaisance, non-malfaisance, équité, solidarité","Justice, équité, compassion, responsabilité","Bienfaisance, malfaisance, autonomie, utilitarisme",a
OIC-006-01-A-,Quel est le droit du patient à être informé sur son état de santé ?,Le secret médical s'applique également au patient lui-même.,Le patient a le droit d'être informé sur son état de santé et tous les actes médicaux.,Seul le médecin peut être informé sur l'état du patient.,L'information est réservée aux proches du patient.,b
OIC-006-02-A,Quel est le droit du médecin à refuser des soins en cas de mésentente avec un patient ?,a,b,c,d,a
OIC-006-02-A-,Quel est le rôle de la personne de confiance dans l'information et le recueil du consentement ?,Aider au partage du secret médical,Accompagner le patient dans ses démarches de soins,Témoigner des désirs du patient en cas d'arrêt ou limitation de soins,Faire le lien avec les équipes médicales,b
OIC-006-03-A,Quelle est la notion historiquement et culturellement située qui se développe dans la littérature psychologique et médicale au début des années 1970 ?,La vulnérabilité fondamentale,La vulnérabilité sociale,Le risque,La précarité,a
OIC-006-03-A-,Quel est le but principal des mesures de protection juridique pour les personnes ?,Protéger les intérêts financiers des personnes,Assurer la sécurité physique des personnes,"Respecter les libertés individuelles, les droits et la dignité de la personne",Favoriser l’autonomie des personnes,c
OIC-006-04-B-,Qui peut déposer une demande d'ouverture d'une mesure de protection ?,Le majeur concerné lui-même,Son conjoint ou un parent,La personne qui exerce déjà à l'égard du majeur concerné une mesure de protection juridique,Le procureur de la République,a
OIC-006-05-A,Ce droit illustre l’éthique de responsabilité de la profession médicale,Vrai,Faux,Peu probable,Impossible à déterminer,a
OIC-006-05-A-,Quel est le motif médical qui peut justifier l'interruption de grossesse sans limitation de délai ?,La poursuite de la grossesse met en péril grave la santé de la femme.,L'enfant à naître est atteint d'une affection incurable.,La femme a moins de 18 ans.,La femme a plus de 35 ans.,a
OIC-006-06-A,Quelle est la définition légale du diagnostic prénatal (DPN) ?,L'ensemble des pratiques médicales ayant pour but de détecter in utero chez l'embryon ou le fœtus une affection grave.,Les techniques biologiques d'analyse des marqueurs sériques visant à évaluer le risque de trisomie 21.,La recherche et l'analyse de l'ADN fœtal circulant dans le sang maternel.,"Les pratiques médicales ayant pour but de détecter in utero chez l'embryon ou le fœtus une affection grave, uniquement pour les couples souhaitant interrompre leur grossesse.",a
OIC-006-06-A-,Quel est le but du diagnostic préimplantatoire (DPI) ?,Déterminer si un fœtus a une maladie génétique,Éviter la transmission d'une maladie génétique à l'enfant,Choisir le sexe de l'enfant,Détecter une anomalie chromosomique,b
OIC-006-07-A,Quelle est la principale question éthique liée à l'information du patient en fin de vie ?,La dignité de la personne,L'autonomie de la personne,Le respect de la confiance,La qualité de vie,b
OIC-006-07-A-,Quelle est la loi qui a donné un cadre à la possibilité d'arrêter les traitements médicaux disproportionnés ou ne contribuant plus qu'au maintien des fonctions vitales ?,Loi Léonetti de 2005,Loi Clayes-Léonetti de 2016,Loi du 22 avril 2005,Loi relative aux droits des malades et à la fin de vie,b
OIC-006-08-A,Quelle est la procédure prévue par la législation pour aider un médecin à prendre une décision en fin de vie lorsque le patient ne peut s'exprimer ?,Consultation avec les proches,Décision unique du médecin,Procédure collégiale,Évaluation psychologique,c
OIC-008-01-A,Quels sont les principes éthiques fondamentaux dans le domaine de la recherche biomédicale?,"Bienfaisance, non-malfaisance, autonomie et justice",Bienfaisance et non-malfaisance,Autonomie et justice,Non-malfaisance et bienfaisance,a
OIC-008-01-A-,Quel est le but principal de la loi Huriet-Sérusclat du 20 décembre 1988 ?,Protéger les personnes participant à la recherche biomédicale,Développer les connaissances biologiques et médicales,Améliorer la qualité des soins courants,Étendre les connaissances scientifiques de l'être humain,a
OIC-008-02-B-,Quelle est la définition officielle de la mort encéphalique ?,Absence de conscience et d'activité motrice spontanée,Absence de ventilation spontanée,Deux EEG sans activité décelable à 4H00 d'intervalle,Angiographie cérébrale montrant l'absence de circulation efficace,c
OIC-008-03-B,Qui peut être donneur vivant ?,Seulement le père ou la mère du receveur.,Toute personne apportant la preuve d’une vie commune d’au moins deux ans avec le receveur.,"Les frères et sœurs, les fils et filles, les grands-parents, les oncles et tantes, les cousins germains et cousines germaines.","Tout majeur protégé (tutelle, curatelle) ou mineur vivant.",b
OIC-008-03-B-,Quels sont les éléments et produits du corps humain qui peuvent être utilisés à des fins thérapeutiques ?,Le sang et ses composants,Les organes,Les tissus ou cellules,Tous les éléments du corps humain,a
OIC-009-01-A-,Quelle est une fonction que le corps exerce selon Pierre Bourdieu ?,Celle d'expression artistique,Celle de mémoire,Celle de production économique,Celle de reproduction biologique,b
OIC-009-02-A,Quel est le concept qui permet de comprendre comment la maladie modifie l'expérience du corps?,L'identité,La douleur physique,Le sentiment d'estime de soi,La perception de soi,a
OIC-009-02-A-,Quel est l'objet principal de l'étude dans les approches transversales du corps en médecine?,Le corps objectivé par la médecine,Le corps vécu par le sujet,Les techniques médicales,Les sciences humaines,a
OIC-009-03-A,Quelle est la définition de la protection sociale ?,L'ensemble des prestations sociales accordées par l'État.,Les mécanismes de protection accordés par une société à ses membres pour faire face aux risques sociaux.,Les prestations sociales réservées aux seuls travailleurs salariés.,La solidarité entre les individus pour lutter contre la pauvreté et l'exclusion.,b
OIC-009-03-A-,La protection sociale repose sur :,le versement de prestations sociales directement aux individus,l'accès à des prestations de services sociaux fournis gratuitement ou à des prix réduits,les six catégories de risques reconnues par la protection sociale,la prise en charge de la dépendance et du minimum vieillesse,a
OIC-009-04-A,Quel est le pourcentage de la protection sociale dans le Produit Intérieur Brut (PIB) en France en 2020 ?,25%,30%,35%,40%,c
OIC-009-04-A-,Quel est le principal financement de la protection sociale en France ?,Cotisations sociales,Impôts et taxes affectés,Contributions publiques de l'État,Ressources fiscales,a
OIC-009-05-A,Quel est le régime général de la sécurité sociale qui couvre les travailleurs salariés du secteur privé ?,Régime agricole,Régime général,Régime des indépendants,Régime de la fonction publique,b
OIC-009-05-A-,Qui vote la loi de financement de la Sécurité Sociale (LFSS) chaque année?,Le gouvernement,Le parlement,Les employeurs,Les patients,b
OIC-009-06-A,"Quel est le montant prévisionnel à ne pas dépasser en matière de soins de ville et d'hospitalisation, dispensés tant dans les établissements privés ou publics que dans les centres médico-sociaux ?",Budget annuel de la sécurité sociale,Objectif national des dépenses d'assurance maladie (ONDAM),Taux de cotisation pour les salariés,Montant des prestations sociales,b
OIC-009-06-A-,Quel est le pourcentage de la population française couverte par le régime général de la Sécurité sociale ?,5%,10%,88%,95%,c
OIC-009-07-A,Quels sont les risques couverts par la Caisse nationale d'assurance maladie (CNAM) ?,"Maladie, maternité et décès",Accidents du travail et maladies professionnelles,Invalidité et vieillesse,Pauvreté et chômage,a
OIC-009-07-A-,Quel est le pourcentage du ticket modérateur en cas de consultation chez le médecin traitant ?,20%,30%,40%,50%,b
OIC-009-08-A,Qui est le pivot du parcours de soins coordonnés ?,Le patient,Le médecin traitant,L'assurance maladie,Les professionnels de santé,b
OIC-009-08-A-,Quelles sont les conditions pour bénéficier d'une exonération du ticket modérateur pour des soins conformes au protocole ALD ?,La maladie doit être présente sur la liste des 30 ALD.,La maladie doit être grave ou invalidante et nécessiter un traitement prolongé de plus de six mois.,La polypathologie doit être à l'origine d'un état invalidant et nécessiter des soins continus de plus de six mois.,Toutes les maladies sont éligibles pour une exonération du ticket modérateur.,c
OIC-009-09-B,Quelles sont les prestations en espèces de l'assurance maladie ?,Indemnités journalières pour les frais médicaux,Pension d'invalidité pour les personnes handicapées,Indemnités journalières pour les arrêts de travail,Capital décès versé aux ayants droit,c
OIC-009-09-B-,Quel est le niveau d'organisation qui définit les grandes orientations stratégiques pour la recherche en santé en France?,Décision,Programmation,Opérateurs,Financement,a
OIC-009-10-B,Quel est le but principal du protocole d'une étude de recherche en santé?,Définir les critères de jugement,Établir un calendrier d'étape,Déterminer l'objectif principal unique,Justifier le nombre de sujets nécessaires,c
OIC-009-11-A,Quels sont les arguments utiles à la justification d'une problématique de recherche ?,Épidémiologiques et état actuel des connaissances,Économiques et sociologiques,Biologiques et physiopathologiques,Psychologiques et comportementales,a
OIC-009-11-A-,Quel est le rôle des hypothèses de recherche dans la définition de l'objectif d'une étude ?,Les hypothèses de recherche sont les objectifs principaux de l'étude.,Les hypothèses de recherche définissent les objectifs secondaires de l'étude.,Les hypothèses de recherche ne sont pas liées à la définition de l'objectif d'une étude.,Les hypothèses de recherche sont des hypothèses sur les résultats attendus de l'étude.,d
OIC-009-12-B-,Quelle modalité d'échantillonnage consiste à tirer au sort des individus à partir d'une base de sondage ?,Recrutement exhaustif,Tirage au sort simple,Sondage stratifié,Échantillon de convenance,c
OIC-009-13-A,Quelle est la nature et les modalités de recueil des données pour l’ensemble des données recueillies ?,Définir la nature et les modalités de mesure et de recueil doivent toujours être précisées.,La nature et les modalités de recueil sont définies uniquement par les sources de données d’enregistrement continu.,Les données peuvent être recueillies à partir d’une étude ad hoc ou de sources de données d’enregistrement continu.,La nature et les modalités de recueil ne sont pas importantes pour la qualité des données recueillies.,c
OIC-009-13-A-,Quel est le critère de jugement principal que l'on doit isoler précisément dans les données recueillies ?,Le taux de cholestérol,La mortalité,"Un critère composite (par exemple, décès OU accident vasculaire cérébral OU infarctus du myocarde)",Toutes les caractéristiques des individus permettant de décrire l'échantillon,c
OIC-009-14-B,Quel est le rôle des probabilités dans la modélisation de phénomènes aléatoires ?,Elles déterminent les valeurs de la variable aléatoire.,Elles représentent les fréquences observées de chaque issue possible.,Elles modélisent des phénomènes aléatoires dont les issues possibles sont connues mais dont on ne peut prédire la valeur car leur réalisation est incertaine.,Elles sont inconnues et impossible à déterminer.,c
OIC-009-14-B-,Quel est le paramètre statistique qui mesure la dispersion d'un ensemble de valeurs autour de leur moyenne?,Moyenne,Mode,Variance,Écart-type,c
OIC-009-15-B,Quel est le risque de première espèce dans les tests statistiques ?,5%,10%,20%,50%,a
OIC-009-15-B-,Quel est le terme générique utilisé pour décrire le délai jusqu'à la survenue d'un événement quelconque ?,Durée de survie,Temps de suivi,Délai de guérison,Censure,a
OIC-009-16-B,Quel est le rôle de l'ajustement dans une analyse statistique en santé ?,Il permet d'améliorer la précision des résultats.,Il neutralise les effets de facteurs de confusion pour isoler l'impact d'un facteur d'exposition étudié.,Il est utilisé uniquement pour les mesures brutes.,Il n'a pas d'utilité en recherche en santé.,b
OIC-009-16-B-,Quel est l'objectif principal de la mise en œuvre des bonnes pratiques d'usage de l'informatique de santé dans les essais cliniques?,Générer des données plus fiables,Réduire les coûts de recherche,Protéger la vie privée des patients,Améliorer la rapidité d'exécution des études,c
OIC-009-17-A,Quel est le terme utilisé pour décrire un facteur associé à une probabilité plus élevée de présence ou de survenue du phénomène de santé étudié dans une étude analytique ?,Facteur d’exposition,Facteur étiologique,Facteur pronostique,Facteur de risque,d
OIC-009-17-A-,Quelle est la population sur laquelle on s'interroge dans une étude ?,La population source,L'échantillon,La population cible,Toutes les populations mentionnées sont équivalentes,c
OIC-009-18-A,Quel type d'étude observationnelle permet de suivre dans le temps un échantillon de sujets et répondre à des objectifs analytiques ?,Enquête cas-témoins,Enquête transversale,Enquête de cohorte,Étude expérimentale,c
OIC-009-18-A-,"Quelle est l'étude qui consiste à sélectionner des cas et des témoins parmi une cohorte déjà constituée, où les cas sont les sujets ayant développé l'événement d'intérêt et les témoins sont des sujets qui n'ont pas développé cet événement après une durée de suivi équivalente ?",Étude cas-témoins nichée,Étude cas-cohorte,Étude quasi-expérimentale,Étude sur données groupées,a
OIC-009-19-B,Quelle est la définition du risque en termes de probabilité qu'un événement survienne dans une population pendant une période donnée?,Le nombre de nouveaux cas rapporté au nombre total de personnes,La proportion du nombre de cas d'une maladie dans la population à un instant donné,La probabilité qu'un événement survienne dans une population pendant une période donnée,Le nombre de personnes atteintes par la maladie au cours d'une année,c
OIC-009-19-B-,Quelle est la raison principale de l'utilisation de la standardisation dans les enquêtes descriptives ?,Pour obtenir une moyenne plus précise,Pour comparer des mesures de fréquence issues de populations différentes,Pour ajuster les données à un âge moyen,Pour éliminer les biais de sélection,b
OIC-009-20-B,Quelle est la mesure qui permet de calculer le rapport entre la probabilité d'être malade si on est exposé et la probabilité d'être malade si on n'est pas exposé ?,Risque relatif (RR),Odds Ratio (OR),Réduction absolue de risque (RAR),Nombre de sujets à traiter (NST),a
OIC-009-20-B-,Quel est le critère pour estimer le Risque Relatif (RR) ?,Tout type d'étude,Étude de cohorte exposé/non exposé,Essai contrôlé randomisé,Étude cas-témoins,c
OIC-009-21-A,Quels sont les facteurs qui influencent la puissance d'une étude ?,"La taille de l'échantillon analysé N, la différence à détecter d et le risque alpha","Le test unilatéral ou bilatéral, la variabilité des observations (variance) et le nombre de sujets nécessaires","La taille de l'échantillon analysé N, le test unilatéral ou bilatéral et le risque alpha","Le nombre de sujets nécessaires, la variabilité des observations (variance) et le risque alpha",a
OIC-009-21-A-,Quel est le critère utilisé pour calculer le nombre de sujets nécessaires dans les études descriptives ?,La puissance de l'étude,La précision souhaitée au paramètre estimé,Le niveau de confiance alpha de l'intervalle de confiance,La taille d'effet cliniquement significative,b
OIC-009-22-B,Quelle est la source d’erreur aléatoire dans l’estimation d’un paramètre ?,Erreur systématique,Erreur aléatoire,Biais de sélection,Biais de classement,b
OIC-009-22-B-,Quels sont les types de biais de sélection?,Non différentiel et non différencié,Différentiel et non différencié,Non différentiel et différencié,Différentiel et différencié,c
OIC-009-23-A,Quel est le terme qui décrit une situation où l'association entre une exposition et un phénomène de santé varie en fonction du niveau d'un autre facteur?,Facteur de confusion,Facteur d'interaction,Facteur de risque,Facteur protecteur,b
OIC-009-23-A-,Quel est le seuil déterminé a priori pour juger de la signification statistique d'un résultat ?,"0,01","0,05","0,10","0,20",b
OIC-009-24-B,Quels sont les critères de causalité de Bradford Hill?,Critère d'association statistique,Critère de spécificité de la relation,Critère de force de l'association,Tous les critères ci-dessus,d
OIC-009-24-B-,Quelles sont les nouvelles sources de données qui soutiennent le progrès médical ?,"Génomique, exposome et phénome","Microbiome, épigénome et transcriptome","Données de soins, environnementales et issues d'objets connectés","Biologie moléculaire, anatomopathologie et imagerie médicale",b
OIC-009-25-B,Quel est le processus de publication d'un article scientifique ?,Le chercheur soumet son manuscrit à un éditeur qui le publie sans évaluation ni validation.,Le manuscrit est transmis à des pairs relecteurs pour évaluation et validation avant publication.,L'article est publié directement sur une plateforme en accès libre moyennant des frais de publication.,Les résultats sont présentés uniquement lors d'une conférence scientifique.,b
OIC-009-26-B,Quelle est la définition de une maladie rare ?,Une maladie qui atteint plus d'une personne sur 2 000 en population générale.,Une maladie qui atteint moins d'une personne sur 2000 en population générale.,Une maladie qui est très courante dans certaines régions du monde.,Une maladie qui n'affecte que les animaux.,b
OIC-009-26-B-,Quel est le but du Plan National Maladies Rares 3 (PNMR3) ?,Favoriser les soins et thérapies disponibles pour toutes les personnes malades souffrant de maladies rares.,Améliorer la coordination entre les centres de référence maladies rares et les filières de santé maladies rares.,Augmenter le nombre d'associations de malades en France.,Réduire le délai de diagnostic pour les personnes souffrant de maladies rares.,d
OIC-009-27-B-,Quel est le nombre total de maladies rares différentes en France ?,7000,35000,5000,10000,a
OIC-010-01-A,Quelle est la période allant de l'apparition des premiers symptômes à la date du diagnostic précis appelée ?,Période d'investigation,Errance diagnostique,Impasse diagnostique,Période de traitement,b
OIC-010-01-A-,Quels sont les principaux dispositifs qui aident à s'informer pour une prise en charge multidisciplinaire du patient avec une maladie rare ?,Centres de référence et de compétence maladies rares,Filières de santé,Orphanet,Maladies rares Info Services,a
OIC-010-02-B,Quel est le type de grossesse qui peut être en rapport avec une hémorragie du premier trimestre ?,Grossesse extra-utérine,Grossesse intra-utérine évolutive avec un hématome décidual,Grossesse intra-utérine non évolutive,"+ rare : lyse d'un jumeau, grossesse môlaire, cancer du col, ectropion.",a
OIC-010-03-B,Quel est le critère principal pour déterminer la nécessité d'une chirurgie en cas de grossesse extra-utérine (GEU) ?,Instabilité hémodynamique,Défense abdominale,Hémopéritoine à l'échographie,Tous les critères ci-dessus sont nécessaires,a
OIC-010-03-B-,Quel est le premier geste à effectuer en cas d'hémorragie du deuxième ou du troisième trimestre de grossesse?,Effectuer un toucher vaginal,Effectuer une échographie obstétricale,Administer des médicaments pour stopper la saignement,Appeler l'urgence médicale immédiatement,d
OIC-019-01-A,Quelle est la définition de l'hémorragie du post-partum (HPP) ?,Une hémorragie de moins de 500 mL dans les 24 heures suivant l'accouchement.,Une hémorragie de plus de 1000 mL dans les 24 heures suivant l'accouchement.,Une hémorragie de moins de 1000 mL dans les 24 heures suivant l'accouchement.,Une hémorragie de plus de 500 mL mais inférieure à 1000 mL dans les 24 heures suivant l'accouchement.,b
OIC-019-01-A-,Quels sont les principes de prise en charge d'une HPP (Hémorragie Post-Partum)?,"estimation des pertes sanguines, délivrance artificielle en urgence et révision utérine",massage utérin et inspection sous valves des voies génitales basses,administration d'utérotoniques et sondage urinaire à demeure,suture des déchirures périnéales éventuelles et N.B. si accouchement par césarienne,a
OIC-019-02-A,Quels sont les facteurs de risque pour l'HPP?,La taille du bébé,L'âge maternel,Les antécédents familiaux,Toutes les options précédentes,d
OIC-019-02-A-,Quelle est la définition de l'hypertension artérielle (HTA) gravidique?,PA systolique (PAS) ≥ à 140 mmHg et/ou d'une PA diastolique (PAD) ≥ à 90 mmHg à au moins deux reprises.,PA systolique (PAS) ≥ à 160 mmHg et/ou d'une PA diastolique (PAD) ≥ à 110 mmHg à au moins deux reprises.,PA systolique (PAS) ≥ à 140 mmHg et/ou d'une PA diastolique (PAD) ≥ à 90 mmHg à une seule fois.,PA systolique (PAS) ≤ à 120 mmHg et/ou d'une PA diastolique (PAD) ≤ à 80 mmHg à au moins deux reprises.,a
OIC-019-03-B,Quelle est la fréquence de l’HTAg pendant la grossesse?,Moins de 1%,5 à 10%,Plus de 20%,Toutes les grossesses,b
OIC-019-03-B-,Quel examen est indispensable pour éliminer une pré-éclampsie en cas d'HTA gravidique ?,Recherche de la protéinurie,Échographie obstétricale,Doppler ombilical,RCF,a
OIC-019-04-B,Quelles sont les complications maternelles de la prééclampsie ?,Crise d'éclampsie et HELLP syndrome,Hématome rétroplacentaire (HRP) et coagulation intravasculaire disséminée (CIVD),Insuffisance rénale aiguë et hématome sous-capsulaire du foie,RCIU et MFIU sur RICU sévère ou suite à une éclampsie ou HRP,a
OIC-019-04-B-,Quels sont les critères de sévérité pour une hypertension artérielle (HTA) pendant la grossesse?,PAS < 140 mmHg et PAD < 90 mmHg,PAS ≥ 160 mmHg et/ou PAD ≥ 110 mmHg,PAS > 180 mmHg et PAD > 120 mmHg,PAS ≤ 130 mmHg et PAD ≤ 80 mmHg,b
OIC-019-05-A-,Quels sont les éléments clés de la surveillance renforcée pour une femme avec HTA pendant la grossesse?,"Surveillance renforcée : autosurveillance tensionnelle, consultation tous les 10 jours environ, bilan biologique régulier, échographie mensuelle",Carnet de suivi pour optimiser le parcours de soins entre les différents soignants,Déclenchement artificiel du travail au 9e mois,Régime alimentaire spécifique,a
OIC-019-06-B,Quelle est la conduite à tenir après l’accouchement en cas d’HTAg ?,Surveillance étroite et arrêt progressif du traitement antihypertenseur,Privilégier les bêtabloquants si allaitement maternel,Microprogestatifs ou contraception non hormonale à la sortie,Suivi coordonné multidisciplinaire à la consultation postnatale,a
OIC-019-06-B-,Quel est le risque de récidive d'une pathologie vasculo-placentaire chez une patiente qui a déjà eu une grossesse avec HTA gravidique ?,1 sur 2,1 sur 3,1 sur 5,1 sur 10,c
OIC-019-07-B,Quels sont les risques associés à un antécédent d'HTA gravidique?,Risque accru de pathologies cardiovasculaires et rénales,Risque accru de complications obstétricales,Risque diminué de malformations congénitales,Aucun risque associé,a
OIC-019-07-B-,Quelle est la définition d'une menace d’accouchement prématuré (MAP) ?,Association de modifications cervicales et de contractions utérines régulières et douloureuses avant 37 SA.,Association de modifications cervicales et de contractions utérines irrégulières et sans douleur avant 37 SA.,Association de modifications cervicales et de contractions utérines régulières et douloureuses après 37 SA.,Aucune des précédentes,a
OIC-019-08-A,Quels sont les facteurs de risque pour une menace d’accouchement prématuré?,âge : jeune < 18 ans ou élevé > 35 ans,"tabac, toxiques","précarité, travail pénible","grossesses rapprochées, nombreux enfants à charge",a
OIC-019-08-A-,Quels sont les examens à réaliser pour confirmer une menace d'accouchement prématuré ?,"NFS, CRP et échographie du col","ECBU, Fibronectine fœtale et groupe/rhésus/phénotype/RAI","Biopsie amniotique, Bilan bactériologique et Tocométrie externe",Tous les examens mentionnés précédemment,a
OIC-019-09-A,Quel est le traitement étiologique recommandé pour une menace d'accouchement prématuré ?,Antibiothérapie systématique,"En cas de rupture des membranes, antibioprophylaxie courte systématique",Tocolyse avec nifédipine ou atosiban,Corticothérapie anténatale par bétaméthasone,b
OIC-019-09-A-,Quelle est la mesure de prévention primaire contre la menace d’accouchement prématuré ?,Suppression des facteurs de risque tels que le tabac et les toxiques,Traitement d'une vaginose bactérienne,Cerclage préventif du col utérin,Arrêt de travail pour des raisons professionnelles,a
