id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-09-A-,Quelle est la définition du parcours de soins?,L'organisation des soins en fonction des besoins du patient,L'enchaînement des compétences professionnelles tout au long de la prise en charge d'un patient,La coordination des soins entre différents professionnels de santé,La gestion des ressources humaines dans un établissement de santé,b
OIC-005-10-A,Quelle est la définition d'un protocole pluriprofessionnel?,Un ensemble de règles pour les médecins uniquement,Un consensus sur la prise en charge d'une maladie par plusieurs professionnels,Un document de loi,Un guide de formation,b
OIC-005-10-A-,Quel est le but principal des réunions de concertation pluridisciplinaire (RCP)?,Évaluer les performances des médecins,"Définir la stratégie diagnostique, thérapeutique et de suivi des patients",Organiser des événements de formation,Gérer les ressources hospitalières,b
OIC-005-11-A,Quel est l'objectif principal des check-lists de sécurité du patient au bloc opératoire?,Améliorer la communication entre les professionnels de santé,Sécuriser la réalisation d'une intervention chirurgicale,Réduire le temps d'intervention chirurgicale,Augmenter le nombre de patients opérés,b
OIC-005-11-A-,Quel est l'objectif principal d'une réunion de morbi-mortalité (RMM)?,Évaluer les performances individuelles des médecins,Identifier et analyser les événements indésirables associés aux soins,Organiser des événements sociaux pour les professionnels de santé,Promouvoir des pratiques médicales innovantes,b
OIC-005-12-B,Quelle est la principale mission du Samu-Centre 15?,Assurer une écoute médicale permanente,Déclencher la réponse la plus adaptée à l'appel,Organiser le transport du patient,Participer à l'élaboration des plans de secours,a
OIC-005-12-B-,Quel critère est interdit de prendre en compte pour traiter différemment des personnes selon les conventions internationales?,Appartenance ethnique,Opinions politiques,Capacité à s'exprimer en français,Situation de perte d'autonomie,c
OIC-005-13-A,Quel est l'effet principal des discriminations sur l'insertion socio-économique et l'état de santé des individus?,Amélioration de l'accès au logement,Amélioration de l'accès à l'emploi,Négatif sur l'insertion socio-économique et l'état de santé,Aucun effet notable,c
OIC-005-13-A-,Quel est un facteur structurel qui peut conduire à des discriminations en santé?,La représentation sociale des patients,Le rapport de pouvoir asymétrique dans le soin,Le défaut de vigilance des soignants,L'absence de défaut de prise en charge,b
OIC-005-14-B,Quelle est la principale différence entre l'éthique et la morale?,"L'éthique est une compétence réflexive, tandis que la morale est un ensemble de règles prescriptives.","L'éthique est une science, tandis que la morale est une question de croyance personnelle.","L'éthique est une question de droit, tandis que la morale est une question de valeurs personnelles.","L'éthique est une question de déontologie, tandis que la morale est une question de philosophie.",a
OIC-005-14-B-,Quel est le domaine principal de la bioéthique selon la création du Kennedy Institute of Ethics en 1971?,Domaine médical,Domaine philosophique,Domaine juridique,Domaine sociologique,a
OIC-005-15-B,Quand le mot 'déontologie' apparaît-il pour la première fois en langue française?,1800,1825,1850,1900,b
OIC-005-15-B-,Quel principe éthique est fondé sur la morale aristotélicienne et le principe de non-malfaisance?,Respect de l'autonomie,Justice,Bienfaisance,Compétence,c
OIC-006-01-A,Quel principe éthique est au cœur de la reconnaissance de l'autonomie du patient dans le domaine du soin?,Le paternalisme,Le principe de non-malfaisance,Le principe d'autonomie,Le principe de justice,c
OIC-006-01-A-,Quel est le droit fondamental d'un patient concernant son état de santé et les actes médicaux qui lui sont proposés?,Le droit de refuser toute information,Le droit d'être informé de son état de santé et de tous les actes médicaux,Le droit de ne pas être informé des risques associés aux traitements,Le droit de choisir son médecin traitant,b
OIC-006-02-A,Quel est le droit du patient en matière de refus de soin selon la loi du 4 mars 2002?,Le patient peut refuser les soins sans aucune information,Le patient doit être informé des conséquences de son refus de soins,Le patient peut refuser les soins uniquement en cas d'urgence,Le patient ne peut jamais refuser les soins,b
OIC-006-02-A-,Quel est le rôle principal de la personne de confiance dans l'information et le recueil du consentement?,Assister le patient dans ses démarches de soins,Témoigner des désirs du patient en cas de crise majeure,Faire le lien avec les équipes médicales,Protéger le secret du patient,a
OIC-006-03-A,Quelle est la principale caractéristique de la vulnérabilité sociale selon le texte?,Elle est universellement partagée par tous les humains.,Elle est dépendante de contextes historiques et sociaux particuliers.,Elle est uniquement liée à la maladie physique.,Elle est une notion historiquement et culturellement située.,b
OIC-006-03-A-,Quelle est la finalité principale des mesures de protection juridique pour les personnes majeures?,Protéger les droits et la dignité de la personne,Augmenter les charges financières des familles,Réduire les soins médicaux,Empêcher la personne de travailler,a
OIC-006-04-B,Quelle est la différence principale entre la curatelle et la tutelle?,"La curatelle est une mesure temporaire, la tutelle est permanente",La curatelle est plus protectrice que la tutelle,"La curatelle permet à la personne de réaliser tous les actes, la tutelle ne le permet pas","La curatelle est prise en urgence, la tutelle est prise après une demande",c
OIC-006-04-B-,Qui peut déposer une demande d'ouverture d'une mesure de protection?,Le majeur concerné,Le médecin traitant,Le procureur de la République,Le juge des tutelles,a
OIC-006-05-A,Quel est le principal objectif de la loi Veil de 1975 concernant l'interruption volontaire de grossesse (IVG)?,Permettre l'accès à l'IVG sans aucune restriction,Encadrer médicalement l'IVG pour garantir un accès sécurisé,Interdire l'IVG sous toutes ses formes,Promouvoir l'eugénisme à travers l'IVG,b
OIC-006-05-A-,Quelle est la principale différence entre une IVG et une IMG selon la loi?,L'IMG ne peut être pratiquée que par un médecin,L'IVG a une limitation de délai,L'IMG ne nécessite pas de consentement,L'IVG est toujours gratuite,a
OIC-006-06-A,Quel est l'objectif principal du diagnostic prénatal (DPN) selon la loi de bioéthique de 1994?,Détecter les maladies génétiques chez l'enfant à naître,"Prévenir ou traiter une affection d'une particulière gravité, dans l'intérêt de l'enfant à naître",Évaluer le risque de trisomie 21 chez les femmes enceintes,Fournir des informations sur le sexe du fœtus,b
OIC-006-06-A-,Quel est le principal objectif du diagnostic préimplantatoire (DPI) en France?,Permettre la sélection du sexe de l'enfant,Éviter la transmission d'une maladie génétique,Augmenter les chances de grossesse,Réduire le coût de la procréation,b
OIC-006-07-A,Quel principe éthique est au cœur de la prise en charge de la fin de vie?,Autonomie,Bienfaisance,Non malfaisance,Équité,a
OIC-006-07-A-,Quel est le principe fondamental qui justifie la sédation profonde et continue en fin de vie selon la loi Clayes-Léonetti?,Le principe de la non-malfaisance,Le principe du double effet,Le principe de l'autonomie du patient,Le principe de la justice,b
OIC-006-08-A,Quel est le rôle principal de la procédure collégiale dans les situations de fin de vie?,Déterminer le pronostic vital,Aider le médecin à prendre la meilleure décision pour le patient,Évaluer les coûts des traitements,Choisir le type de médicaments à administrer,b
OIC-006-08-A-,Quel est le rôle principal des directives anticipées en fin de vie?,Permettre au patient de désigner une personne de confiance,Indiquer les souhaits du patient concernant les soins en cas d'inconscience,Assurer la continuité des soins palliatifs,Rendre obligatoire la sédation profonde et continue,b
OIC-008-01-A,Quel est le principe fondamental qui guide l'éthique de la recherche en matière de protection des participants?,Principe de bienfaisance,Principe de non-malfaisance,Principe d'autonomie,Principe de justice,a
OIC-008-01-A-,Quelle est la principale loi française qui encadre les recherches impliquant la personne humaine après 1988?,Loi Huriet-Sérusclat,Loi du 9 août 2004,Loi du 5 mars 2012,Loi Jardé,c
OIC-008-02-B,Quel est le principe éthique qui garantit que les prélèvements d'organes ne peuvent pas être commercialisés?,Principe de gratuité,Principe d'anonymat,Principe de consentement,Principe de justice,a
OIC-008-02-B-,Quelle est la définition de la mort encéphalique selon la circulaire Jeanneney de 1968?,La mort est reconnue par l'arrêt cardio circulatoire.,La mort est reconnue par l'absence de conscience et d'activité motrice spontanée.,La mort est reconnue par l'absence de ventilation spontanée en épreuve d'hypercapnie.,La mort est reconnue par la présence de mouvements spontanés.,c
OIC-008-03-B,Quel est le principal principe pour le prélèvement d'organes entre vivants?,Prélèvement sans intérêt thérapeutique,Prélèvement uniquement s'il y a intérêt thérapeutique pour le receveur,Prélèvement autorisé pour tous les majeurs,Prélèvement sans consentement explicite,b
OIC-008-03-B-,Quels sont les principaux éléments du corps humain selon le texte?,"Les organes, les tissus et les cellules","Le sang, les gamètes et les phanères","Les organes, les tissus et les produits sanguins","Les organes, les tissus et les produits sanguins labiles",a
OIC-009-01-A,Quel est le cadre légal pour l'identification d'une personne par ses empreintes génétiques en France?,Dans le cadre de mesures d'enquête ou d'instruction diligentées lors d'une procédure judiciaire,À des fins médicales ou de recherche scientifique,"Aux fins d'établir, lorsqu'elle est inconnue, l'identité de personnes décédées",Dans les conditions prévues à l'article L.2381-1 du Code de la défense,a
OIC-009-01-A-,Quelle est la principale raison pour laquelle les normes corporelles changent au fil du temps?,Les avancées technologiques,Les changements climatiques,Les transformations sociales et culturelles,Les découvertes scientifiques,c
OIC-009-02-A,Quel est l'impact principal de la maladie sur l'expérience du corps selon le texte?,Elle n'affecte que la santé physique,Elle modifie profondément l'identité et la vie entière de la personne,Elle n'affecte que les relations sociales,Elle n'affecte que la perception physique du corps,b
OIC-009-02-A-,Quelle est la principale différence entre le corps vécu par le sujet et le corps objectivé par la médecine?,Le corps vécu est plus complexe que le corps objectivé,"Le corps vécu est subjectif, tandis que le corps objectivé est objectif",Le corps vécu est moins important que le corps objectivé,Le corps vécu est plus facile à observer que le corps objectivé,b
OIC-009-03-A,Quelle est la définition de la protection sociale?,L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières.,Les mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques économiques de l'existence et à leurs conséquences financières.,"Les mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes âgées.","Les mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes en situation de handicap.",a
OIC-009-03-A-,Quelle est la nature des prestations de protection sociale en France?,En espèces uniquement,En nature uniquement,En espèces et en nature,En nature et en services,c
OIC-009-04-A,Quel est le pourcentage des dépenses de protection sociale représentant les prestations de vieillesse et santé en 2020 en France?,30%,35%,40%,45%,b
OIC-009-04-A-,Quelle est la principale source de financement de la protection sociale en France?,Les cotisations sociales,Les impôts et taxes affectés,Les contributions publiques de l'État,Les exonérations de cotisations employeurs,a
OIC-009-05-A,Quel est le nombre de personnes assujetties au régime général de la sécurité sociale?,Moins de 10 millions,Environ 20 millions,Près de 30 millions,Plus de 40 millions,c
OIC-009-05-A-,Quel est le rôle principal de la loi de financement de la sécurité sociale (LFSS)?,Déterminer les conditions générales de l'équilibre financier de la sécurité sociale,Fixer le budget de l'État,Contrôler les dépenses de l'État,Voter les lois de finances,a
OIC-009-06-A,Quel est le rôle principal de l'ONDAM?,Fixer les tarifs des soins médicaux,Réguler les dépenses de l'assurance maladie,Déterminer les salaires des médecins,Gérer les stocks de médicaments,b
OIC-009-06-A-,Quel est le pourcentage de la population française couverte par le régime général de la Sécurité sociale?,5%,15%,88%,100%,c
OIC-009-07-A,Quelles sont les missions principales de l'assurance maladie du régime général de la sécurité sociale?,"Gérer les risques maladie, maternité, invalidité et décès",Prendre en charge les soins dispensés aux assurés sociaux,Améliorer la santé de la population,Toutes les réponses ci-dessus,d
OIC-009-07-A-,Quel est le pourcentage du ticket modérateur lors d'une consultation chez un médecin généraliste conventionné en secteur 1?,20%,30%,70%,100%,b
OIC-009-08-A,Quel est le rôle principal du médecin traitant dans le parcours de soins coordonnés?,Assurer les soins réguliers,Établir le protocole de soins pour les affections de longue durée,Pratiquer des dépassements d'honoraires,Accéder directement aux spécialistes sans orientation,a
OIC-009-08-A-,Quelles sont les affections qui bénéficient d'un protocole de soins ALD avec exonération du ticket modérateur?,Affections inscrites sur la liste ALD 30,Affections hors liste ALD 31,Affections invalidantes non présentes sur la liste ALD 30,Affections polypathologiques,a
OIC-009-09-B-,Quelle est la définition de la recherche en santé selon le contenu éducatif?,Toutes les études visant le développement des connaissances biologiques ou médicales,Les études visant à améliorer la santé des populations,Les études visant à développer des actions susceptibles d’améliorer la santé,Les études visant à étendre la connaissance scientifique de l’humain,a
OIC-009-10-B,Quelle est la principale caractéristique d'un protocole de recherche clinique?,Il est modifiable en cours d'étude,Il est élaboré après le démarrage de l'étude,Il est déterminé à priori et non modificable en cours d'étude,Il ne contient que des hypothèses sans méthodologie,c
OIC-009-10-B-,Quel texte de loi réglemente principalement la recherche clinique en France?,Code de la santé publique,Loi Jardé,Code civil,Code pénal,a
OIC-009-11-A,Quels types d'arguments sont utiles pour justifier une problématique de recherche?,Épidémiologiques et économiques,Épidémiologiques et état actuel des connaissances,Économiques et état actuel des connaissances,Épidémiologiques et politiques,b
OIC-009-11-A-,Quelle est la principale fonction des hypothèses de recherche dans une étude scientifique?,Définir le budget de l'étude,Formuler une conjecture à vérifier,Choisir le type de publication,Déterminer le nombre de participants,b
OIC-009-12-B,Quel type d'étude est toujours observationnelle et vise à identifier une association entre un facteur de risque et un phénomène de santé?,Étude descriptive,Étude analytique,Étude expérimentale,Étude diagnostique,b
OIC-009-12-B-,Quelle est la méthode d'échantillonnage qui divise la population en sous-populations selon une variable catégorielle et tire des individus au sort à l'intérieur de chaque sous-population?,Sondage aléatoire simple,Sondage stratifié,Sondage en grappes,Recrutement exhaustif,b
OIC-009-13-A,Quel type de données est recueilli par les registres de morbidité?,Données sur les causes de décès,Données sur les diagnostics médicaux,Données sur les nouveaux cas d'une pathologie donnée,Données sur les actes médicaux réalisés,c
OIC-009-13-A-,Quel est le critère de jugement principal dans une étude clinique?,Le critère de substitution,Le critère composite,Le critère de jugement principal,Le critère de jugement secondaire,c
OIC-009-14-B,Qu'est-ce qu'une variable aléatoire?,Une fonction qui attribue un nombre à toutes les issues possibles,Une fonction qui attribue un nombre à une seule issue possible,"Une fonction qui attribue un nombre à toutes les issues possibles, mais uniquement pour les variables discrètes","Une fonction qui attribue un nombre à toutes les issues possibles, mais uniquement pour les variables continues",a
OIC-009-14-B-,Quel est le paramètre de position qui divise un ensemble de valeurs en deux parties de même effectif?,Moyenne,Mode,Médiane,Quartile,c
OIC-009-15-B,Quelle est la principale différence entre un test unilatéral et un test bilatéral?,Un test unilatéral est plus puissant qu'un test bilatéral.,Un test unilatéral ne peut pas être utilisé pour détecter une différence dans un sens unique.,Un test unilatéral est utilisé lorsque l'hypothèse alternative est construite de manière bilatérale.,Un test unilatéral est utilisé lorsque l'hypothèse alternative est construite de manière unilatérale.,d
OIC-009-15-B-,Quelle est la principale caractéristique des données de survie?,Elles sont toujours complètes,Elles reflètent le temps de suivi et la survenue d'un événement,Elles ne peuvent pas être censurées,Elles sont uniquement utilisées pour les études de décès,b
OIC-009-16-B,Quelle est la définition de l'ajustement en recherche en santé?,Une méthode pour augmenter les données,Une méthode pour réduire les données,Une méthode pour tenir compte des facteurs de confusion,Une méthode pour analyser les données qualitatives,c
OIC-009-16-B-,Quel texte protège les données de santé considérées comme sensibles?,Loi Informatique et Libertés,Code de la santé publique,Règlement européen sur la protection des données personnelles (RGPD),Code civil,c
OIC-009-17-A,Quel terme désigne un facteur associé à une probabilité plus élevée de présence ou de survenue d'un phénomène de santé dans une étude analytique?,Facteur d'exposition,Facteur étiologique,Facteur de risque,Facteur pronostique,c
OIC-009-17-A-,Quelle est la différence entre la population cible et la population source?,"La population cible est celle sur laquelle on s’interroge, tandis que la population source est celle à partir de laquelle l'étude se déroule.","La population cible est celle à partir de laquelle l'étude se déroule, tandis que la population source est celle sur laquelle on s’interroge.",La population cible et la population source sont identiques.,La population cible est une sous-population de la population source.,a
OIC-009-18-A,Quel type d'étude est utilisé pour suivre dans le temps un échantillon de sujets et estimer la fréquence de survenue d'une maladie?,Enquête de cohorte,Enquête cas-témoins,Enquête transversale,Étude expérimentale,a
OIC-009-18-A-,Quelle est la principale caractéristique d'une étude cas-témoins nichée?,Les cas et témoins sont sélectionnés aléatoirement,Les cas et témoins sont sélectionnés parmi une cohorte existante,Les cas et témoins sont sélectionnés parmi une population générale,Les cas et témoins sont sélectionnés parmi des sujets ayant déjà reçu une intervention,b
OIC-009-19-B,Quelle est la définition correcte du risque en santé publique?,Probabilité qu'un événement survienne dans une population pendant une période donnée,Proportion du nombre de cas d'une maladie dans une population à un instant donné,"Nombre de nouveaux cas pendant une certaine période, rapporté à la somme des personnes-temps",Estimation de la prévalence d'une maladie dans une population,a
OIC-009-19-B-,Quelle est la principale raison de la standardisation des mesures de fréquence en santé?,Pour simplifier les calculs statistiques,Pour comparer des populations avec des structures d’âge et de sexe différentes,Pour augmenter la précision des données,Pour réduire les coûts de l’enquête,b
OIC-009-20-B,Quelle mesure d'association est utilisée pour comparer la probabilité d'être malade entre deux groupes exposés et non exposés?,Coefficient de corrélation linéaire,Différence de moyennes,Odds Ratio,Nombre de sujets à traiter,c
OIC-009-20-B-,Quel est le principal avantage de l'OR par rapport au RR?,Il peut être calculé à partir d'une étude cas-témoins,Il est toujours inférieur au RR,Il est plus facile à interpréter,Il ne nécessite pas de données sur la population générale,a
OIC-009-21-A,Quel paramètre influence directement la puissance d'une étude en augmentant cette dernière?,La variabilité des observations,Le risque alpha,La taille de l'échantillon analysé,La différence à détecter,c
OIC-009-21-A-,Pourquoi est-il important de calculer le nombre de sujets nécessaire à inclure dans une étude?,Pour garantir une précision souhaitée au paramètre estimé,Pour assurer une puissance suffisante à l'étude,Pour éviter les biais dans l'étude,Pour réduire le coût de l'étude,a
OIC-009-22-B,Quelle est la principale différence entre l'erreur aléatoire et l'erreur systématique dans l'estimation d'un paramètre?,"L'erreur aléatoire est due au hasard, tandis que l'erreur systématique est due à des erreurs de mesure.","L'erreur aléatoire est corrélée à la taille de l'échantillon, tandis que l'erreur systématique ne l'est pas.","L'erreur aléatoire est due à la fluctuation d'échantillonnage, tandis que l'erreur systématique est due à des biais non aléatoires.","L'erreur aléatoire est plus fréquente dans les études longitudinales, tandis que l'erreur systématique est plus fréquente dans les études transversales.",c
OIC-009-22-B-,Quel type de biais de sélection peut entraîner une perte de puissance dans une étude?,Biais différentiel,Biais non différentiel,Biais de classement,Biais de mémorisation,b
OIC-009-23-A,Quelle est la différence entre un facteur de confusion et un facteur d’interaction?,"Un facteur de confusion modifie l’association, un facteur d’interaction ne la modifie pas.","Un facteur de confusion masque l’association, un facteur d’interaction la modifie.","Un facteur de confusion amplifie l’association, un facteur d’interaction la modifie.","Un facteur de confusion est toujours présent, un facteur d’interaction n’est pas toujours présent.",b
OIC-009-23-A-,Quel est le risque alpha dans un test statistique cherchant à démontrer une différence?,La probabilité d'observer une différence au moins aussi importante si en réalité cette différence n’existe pas.,"Le risque, fixé a priori, de conclure à tort à une différence.",La valeur de p calculée a posteriori à partir des données observées.,Le niveau de confiance associé au fait que le paramètre vrai d’intérêt appartienne à un intervalle de valeurs.,b
OIC-009-24-B,Quel critère de causalité de Bradford Hill est le plus convaincant lorsqu'il est présent mais souvent absent même si la relation causale est plausible?,Force de l’association,Spécificité de la relation,Relation de type “dose-effet”,Minimisation des biais de sélection,b
OIC-009-24-B-,Quel terme désigne l'ensemble des modifications épigénétiques dans un échantillon?,Génome humain,Exposome,Épigénome,Phénome,c
OIC-009-25-B,Quel est le processus de publication d'un article scientifique?,Publication directe sans évaluation,Publication après évaluation par des pairs,Publication uniquement dans des revues généralistes,Publication uniquement dans des revues spécialisées,b
OIC-009-25-B-,Quelle est la valeur prédictive positive (VPP) d'un test?,Probabilité d'être malade si le test est positif,Probabilité d'être non-malade si le test est négatif,Probabilité d'avoir un test positif si on est malade,Probabilité d'avoir un test négatif si on est non-malade,a
OIC-009-26-B,Quelle est la prévalence d'une maladie rare selon la définition européenne?,Moins d'une personne sur 1 000,Moins d'une personne sur 2 000,Moins d'une personne sur 5 000,Moins d'une personne sur 10 000,b
OIC-009-26-B-,Quel est l'objectif principal du Plan National Maladies Rares 3 (PNMR3)?,Réduire le coût des traitements des maladies rares,Assurer un diagnostic précis en moins d'un an pour tous les patients,Augmenter le nombre de centres de référence maladies rares,Créer plus de filières de santé maladies rares,b
OIC-009-27-B,"Quelle est la maladie génétique due à une absorption intestinale excessive de fer, liée le plus souvent à un déficit de production en hepcidine?",L'hémophilie,La drépanocytose,L'hémochromatose,Les thalassémies,c
OIC-009-27-B-,Combien de personnes en France sont touchées par les maladies rares?,Moins de 1 million,2 millions,3 millions,Plus de 5 millions,c
OIC-010-01-A,Quelle est la définition de l'errance diagnostique?,La période entre l'apparition des premiers symptômes et la date à laquelle un diagnostic précis est posé,La période entre l'apparition des premiers symptômes et la date à laquelle un traitement est commencé,La période entre l'apparition des premiers symptômes et la date à laquelle un diagnostic est écarté,La période entre l'apparition des premiers symptômes et la date à laquelle un diagnostic est confirmé,a
OIC-010-01-A-,Quel est le principal dispositif qui aide les médecins non spécialistes à s'informer sur les maladies rares?,Orphanet,Maladies rares Info Services,Centres de référence et de compétence maladies rares,Plateformes d’expertise maladies rares dans les territoires,c
OIC-010-02-B,"Quels sont les éléments cliniques, biologiques et échographiques qui orientent vers le diagnostic d'une hémorragie du premier trimestre?","Antécédents gynéco-obstétricaux, anamnèse, examen physique","Dosage plasmatique quantitatif d'hCG, hémogramme, échographie pelvienne","Signes sympathiques de grossesse, description des saignements, présence de douleurs pelviennes",Tous les éléments mentionnés ci-dessus,b
OIC-010-02-B-,Quelle est la première étape de la prise en charge d'une fausse couche du premier trimestre?,Traitement médical avec des prostaglandines,Prise en charge psychologique proposée,Prévention de l'allo-immunisation rhésus,Vérification de la vacuité utérine à l’échographie,b
OIC-010-03-B,Quel est le traitement de première intention pour une GEU asymptomatique avec un taux de β-hCG inférieur à 5 000 UI/L?,Cœlioscopie diagnostique et thérapeutique,Traitement médicamenteux par méthotrexate,Surveillance clinique et échographique,Ablation de la trompe,b
OIC-010-03-B-,Quelle est la première étape de la prise en charge d'une hémorragie du deuxième ou du troisième trimestre?,Toucher vaginal,Interrogatoire et évaluation clinique,Échographie obstétricale,Bilan biologique,b
OIC-019-01-A,Quelle est la définition de l’hémorragie du post partum (HPP)?,Hémorragie >500 mL dans les 24h après l’accouchement,Hémorragie <500 mL dans les 24h après l’accouchement,Hémorragie >1000 mL dans les 24h après l’accouchement,Hémorragie <1000 mL dans les 24h après l’accouchement,a
OIC-019-01-A-,Quel est le premier geste à effectuer en cas d'hémorragie post-partum (HPP) avant l'expulsion du placenta?,Massage utérin,Délivrance artificielle en urgence,Sondage urinaire à demeure,Suture des déchirures périnéales,b
OIC-019-02-A,Quelle est la première mesure de prévention de l'HPP après l'accouchement?,Administration d'oxytocine,Mise en place d'un sac de recueil,Surveillance systématique,Délivrance artificielle,a
OIC-019-02-A-,Quelle est la définition de l'hypertension artérielle gravidique (HTAg)?,PA systolique (PAS) ≥ à 140 mmHg et/ou d'une PA diastolique (PAD) ≥ à 90 mmHg à au moins deux reprises,"HTA apparue avant 20 SA, avec protéinurie associée",HTA chronique antérieure à la grossesse,HTA persistant après 6 semaines du post-partum,a
OIC-019-03-B,Quelle est la fréquence de l'HTA pendant la grossesse?,1 à 2 %,5 à 10 %,15 à 20 %,25 à 30 %,b
OIC-019-03-B-,Quel est l'examen indispensable pour diagnostiquer une prééclampsie chez une femme enceinte avec hypertension artérielle gravidique?,Échographie obstétricale,Analyse de la protéinurie des 24 heures,Ratio Albumine/Créatinine urinaire,Doppler de l'artère ombilicale,c
OIC-019-04-B,Quelle est la complication associée à l'HTA gravidique qui peut mettre en jeu le pronostic vital?,Crise d'éclampsie,Hématome rétroplacentaire,Coagulation intravasculaire disséminée,Insuffisance rénale aiguë,a
