Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
14,OIC-005-09-A-,Quel est le but principal d'un parcours de soins ?,Maximiser les profits de l'hôpital.,Simplifier les tâches administratives pour les professionnels de santé.,Organiser et coordonner les interventions médicales d'un patient.,Réduire le nombre de consultations médicales.,c,4
15,OIC-005-10-A,Quel est l'objectif principal d'un protocole pluriprofessionnel?,Faciliter la communication entre les patients et les professionnels de santé.,Définir les tâches spécifiques de chaque professionnel de santé.,Standardiser la prise en charge d'une maladie en fonction des connaissances scientifiques.,Remplacer le jugement clinique par des algorithmes prédictifs.,c,4
16,OIC-005-10-A-,Quel est le minimum de médecins de spécialités différentes requis pour une réunion de concertation pluridisciplinaire (RCP)?,Un,Deux,Trois,Quatre,c,3
17,OIC-005-11-A,Quel est l'objectif principal des listes de vérification (check-lists) en médecine?,Améliorer la communication entre les professionnels de santé.,Remplacer les protocoles médicaux existants.,Automatiser les tâches administratives du bloc opératoire.,Réduire le nombre d'interventions chirurgicales.,a,4
18,OIC-005-11-A-,Quelle est la caractéristique principale des réunions de morbi-mortalité (RMM)?,Réunions individuelles pour analyser les erreurs.,Analyse prospective des situations cliniques.,Réunions d'analyse collective et rétrospective des événements indésirables.,Réunions pour sanctionner les professionnels impliqués dans les erreurs.,c,4
19,OIC-005-12-B,Quel est le rôle principal du Samu-Centre 15?,Organiser le transport des patients vers les hôpitaux.,Fournir une écoute médicale permanente et déclencher la réponse adaptée aux appels d'urgence.,Effectuer des soins d'urgence sur place en dehors de l'hôpital.,Former les acteurs en santé au sein des centres d’enseignement des soins d’urgence (CESU).,b,4
20,OIC-005-12-B-,"Selon le texte, quelle est la définition d'une discrimination?",Faire une différence de traitement basée sur des critères arbitraires.,"Faire une différence de traitement basée sur des critères prohibés, entraînant un préjudice.",Faire une différence de traitement basée sur des critères médicaux.,Faire une différence de traitement basée sur des critères de compétence.,b,3
21,OIC-005-13-A,"Selon le texte, quel est l'un des principaux effets des discriminations sur la santé?",Amélioration de l'accès aux soins de santé,Réduction du stress et de l'anxiété,Aggravation des inégalités sociales et de santé,Augmentation de la littératie en santé,c,3
22,OIC-005-13-A-,Quelles sont les causes structurelles et organisationnelles des discriminations en santé selon la publication de Migration Santé Alsace?,Des représentations sociales négatives envers certains groupes.,Un manque de formation des soignants sur les discriminations.,Des dysfonctionnements dans le système de santé et un défaut de prise en charge.,Un manque de volonté politique de lutter contre les discriminations.,c,4
23,OIC-005-14-B,L'éthique médicale se distingue de la morale et de la déontologie par son approche : ,normative et prescriptive,définitive et absolue,réflexive et argumentative,traditionnelle et dogmatique,c,4
24,OIC-005-14-B-,"Selon le texte, quel est l'un des principaux objectifs de la bioéthique?",Promouvoir le développement des technologies biomédicales,Contrôler l'accès aux soins de santé,Établir un cadre éthique pour les avancées scientifiques dans le domaine de la vie et de la santé,Définir les limites de la recherche médicale,c,4
25,OIC-005-15-B,La déontologie médicale se définit comme :,Un ensemble de règles morales pour les patients.,Un guide pour les médecins dans leur pratique quotidienne.,Une loi imposée par le gouvernement aux médecins.,Une philosophie utilitariste développée par Jeremy Bentham.,b,4
26,OIC-005-15-B-,Quel est le principe éthique qui stipule que l'action médicale doit être bénéfique pour le patient et éviter de lui nuire?,Respect de l'autonomie,Justice,Bienfaisance,Non-malfaisance,c,4
27,OIC-006-01-A,Quel est le principe fondamental qui sous-tend le respect de l'autonomie du patient dans le domaine médical ?,Le paternalisme,La volonté du médecin,La liberté individuelle de choix,La loi du 4 mars 2002,c,4
28,OIC-006-01-A-,Quel est l'objectif principal de l'information du patient concernant son état de santé et les soins proposés?,De lui permettre de choisir un traitement parmi plusieurs options thérapeutiques.,De lui donner tous les éléments nécessaires pour prendre une décision éclairée concernant ses soins.,De lui expliquer les risques et les bénéfices de chaque traitement de manière exhaustive.,De le rassurer sur le déroulement des soins et de minimiser son angoisse.,b,4
29,OIC-006-02-A,"Selon le texte, quelle est la principale raison pour laquelle un médecin peut refuser de pratiquer une interruption volontaire de grossesse ou une stérilisation ?",Son manque de compétences pour réaliser ces actes.,Sa conviction personnelle que ces actes sont contraires à l'éthique.,Le refus du patient de consentir à ces actes.,La pénurie de personnel médical qualifié dans ce domaine.,b,4
30,OIC-006-02-A-,Quel est le rôle principal d'une personne de confiance désignée par un patient ?,Rédiger les documents médicaux du patient.,Prendre des décisions médicales au nom du patient.,Accompagner le patient dans ses démarches de soins et faire le lien avec les équipes médicales.,Remplacer le patient dans toutes ses interactions avec le personnel médical.,c,4
31,OIC-006-03-A,La notion de vulnérabilité a commencé à se développer dans les domaines médicaux et sociaux à partir de:,Les années 1950,Les années 1970,Les années 1990,Les années 2000,b,4
32,OIC-006-03-A-,Quel est l'objectif principal des mesures de protection juridique des personnes majeures?,Limiter les libertés individuelles des personnes vulnérables.,Protéger les intérêts financiers des personnes incapables.,Assurer l'autonomie et le bien-être des personnes vulnérables.,Contrôler les décisions médicales des personnes incapables.,c,4
33,OIC-006-04-B,Quelle mesure de protection est temporaire et limitée à des situations d'urgence?,La tutelle,La curatelle,La sauvegarde de justice,La protection des mineurs,c,4
34,OIC-006-04-B-,Qui peut demander l'ouverture d'une mesure de protection auprès du juge des tutelles?,Seul le majeur concerné lui-même,Uniquement le médecin traitant de la personne,"Le conjoint, un parent, une personne entretenant des liens étroits avec le majeur, ou le procureur de la République",Le juge des tutelles lui-même,c,4
35,OIC-006-05-A,Quel est l'objectif principal de la loi Veil de 1975 concernant l'IVG?,Interdire l'IVG dans tous les cas.,Rendre l'IVG accessible et sécurisée pour toutes les femmes.,Protéger le fœtus à tout prix.,Encourager la procréation.,b,4
36,OIC-006-05-A-,"Selon la loi, l'interruption médicale de grossesse (IMG) peut être pratiquée sans limitation de délai dans quel cas?",Lorsque la femme souhaite interrompre sa grossesse pour des raisons personnelles.,Lorsque la grossesse met en péril grave la santé de la femme ou si l'enfant à naître est susceptible d'être atteint d'une affection incurable.,Lorsque la femme a moins de 18 ans.,Lorsque le couple n'est pas marié.,b,4
37,OIC-006-06-A,Quel est l'objectif principal du diagnostic prénatal (DPN) selon la loi de bioéthique du 6 août 2004?,"Détecter toutes les anomalies fœtales, même mineures.","Prévenir ou traiter une affection d'une particulière gravité, dans l'intérêt de l'enfant à naître.",Permettre aux parents de choisir le sexe de leur enfant.,Évaluer le risque de trisomie 21 chez la femme enceinte.,b,4
38,OIC-006-06-A-,Le diagnostic préimplantatoire (DPI) est principalement utilisé pour :,Déterminer le sexe de l'enfant.,Éviter la transmission de maladies génétiques graves.,Sélectionner des embryons immunologiquement compatibles avec un frère malade.,Améliorer les caractéristiques physiques de l'enfant.,b,4
39,OIC-006-07-A,Quel est l'enjeu éthique principal concernant l'information du patient en fin de vie?,Donner une information précise sur la durée restante de vie,Respecter l'autonomie du patient et lui fournir une information claire et honnête sur son état de santé,Minimiser les émotions négatives du patient en évitant de parler de la mort,Convaincre le patient de suivre les recommandations médicales sans discuter de ses préférences,b,4
40,OIC-006-07-A-,La loi Clayes-Léonetti de 2016 vise principalement à :,Prolonger la vie des patients en fin de vie,Autoriser l'euthanasie dans tous les cas,Donner aux patients le droit de refuser des traitements inutiles,Obligationner les médecins à pratiquer des soins palliatifs,c,4
41,OIC-006-08-A-,Quel est l'objectif principal de la loi du 22 avril 2005 dite « loi Léonetti »?,Permettre aux patients de refuser tout traitement en fin de vie.,Instaurer l'obligation pour les médecins de pratiquer des soins palliatifs.,Définir les conditions de mise en place de la sédation profonde et continue.,Réglementer le don d'organes post-mortem.,a,4
42,OIC-008-01-A,Lequel des principes suivants est au cœur de l'éthique de la recherche impliquant la personne humaine (RIPH)?,Le principe de justice,Le principe de bienfaisance,Le principe d'autonomie,Le principe de non-malfaisance,b,4
43,OIC-008-01-A-,Quel est le principal objectif de la loi Huriet-Sérusclat de 1988 concernant la recherche biomédicale?,Permettre la recherche biomédicale sans aucune restriction.,Établir un cadre légal pour la recherche biomédicale en France.,Interdire toute recherche impliquant des êtres humains.,Favoriser la commercialisation des produits de santé issus de la recherche.,b,4
44,OIC-008-02-B,Quel est l'un des principaux arguments en faveur de la gratuité du don d'organes?,Elle permet de maximiser le nombre de dons.,Elle encourage la commercialisation des organes.,Elle évite les trafics d'êtres humains et d'organes.,Elle facilite les démarches administratives.,c,4
45,OIC-008-02-B-,Quelle est la définition de la mort encéphalique selon Mollaret et Goulon?,Arrêt cardio-circulatoire,Absence de réaction à la stimulation,Absence d'activité cérébrale détectable,Cadavre inanimé ou froid,c,4
46,OIC-008-03-B,"Selon la loi, quel type de don d'organes entre vivants est interdit chez les majeurs protégés (tutelle, curatelle) ou les mineurs vivants (à l'exception de...)",Le don de sang,Le don de moelle osseuse,Le don de peau,Le don d'organes,d,4
47,OIC-009-01-A,"Selon la loi, l'identification d'une personne par ses empreintes génétiques est autorisée dans tous les cas suivants, sauf : ",Dans le cadre de mesures d'enquête ou d'instruction diligentées lors d'une procédure judiciaire,"Aux fins d'établir, lorsqu'elle est inconnue, l'identité de personnes décédées",Pour identifier des personnes décédées lors d'actions de combat,Pour identifier des personnes disparues depuis plus de 5 ans,d,4
48,OIC-009-01-A-,"Selon le texte, quel facteur n'est PAS mentionné comme influençant les représentations du corps?",L'alimentation,La religion,La météo,Les normes esthétiques,c,4
49,OIC-009-02-A,Quel est l'impact principal de la maladie sur l'expérience corporelle d'un individu selon le texte?,Elle renforce la perception objective du corps.,Elle crée une dissonance entre la perception du corps par le patient et celle du soignant.,Elle diminue la conscience de soi.,Elle n'a aucun impact significatif sur l'expérience corporelle.,b,4
50,OIC-009-02-A-,Quel est l'impact principal des techniques médicales modernes sur la perception du corps?,Elles renforcent l'importance du vécu subjectif du patient.,Elles permettent de mieux comprendre les mécanismes biologiques des maladies.,Elles créent une distance entre le corps vécu et le corps objectivé par la médecine.,Elles réduisent le rôle du soignant dans le processus de diagnostic.,c,4
51,OIC-009-03-A,Laquelle des affirmations suivantes décrit le mieux la protection sociale?,Un système d'épargne individuel pour faire face aux risques de la vie.,Un ensemble de mécanismes qui protègent les individus contre les risques sociaux et leurs conséquences financières.,Un système d'assistance uniquement réservé aux personnes les plus démunies.,Un système d'assurance privée obligatoire pour tous les citoyens.,b,4
52,OIC-009-03-A-,Quelle est la nature principale des prestations sociales en France?,En nature uniquement,En espèces uniquement,En espèces et en nature,En services uniquement,c,4
53,OIC-009-04-A,Quel pourcentage du PIB français était consacré à la protection sociale en 2020?,20%,25%,30%,35%,d,4
54,OIC-009-04-A-,Quelle est la principale source de financement de la protection sociale en France?,Les cotisations sociales,Les impôts sur le revenu,Les contributions publiques de l'État,Les dons privés,a,4
55,OIC-009-05-A,Quel est le principal objectif du régime général de la sécurité sociale?,Protéger les travailleurs indépendants,Offrir une couverture universelle à la population française,Gérer les risques sociaux des fonctionnaires,Financer les pensions de retraite des artisans,b,4
56,OIC-009-05-A-,Quel est le rôle principal de la loi de financement de la sécurité sociale (LFSS)?,Déterminer les taux d'imposition pour financer la sécurité sociale.,Fixer les objectifs de dépenses de la sécurité sociale en fonction des prévisions de recettes.,Autoriser la perception des recettes de la sécurité sociale.,Contrôler les dépenses des hôpitaux et des EHPAD.,b,4
57,OIC-009-06-A,Quel est le but principal de l'Objectif national des dépenses d’Assurance maladie (ONDAM)?,Déterminer le montant maximum des remboursements des assurances complémentaires.,Réguler les dépenses de l'assurance maladie en France.,Fixer les tarifs des soins dispensés dans les établissements publics.,Contrôler la qualité des soins prodigués dans les hôpitaux.,b,4
58,OIC-009-07-A,Quelle est la mission principale de la Caisse nationale d'assurance maladie (CNAM)?,Gérer les risques d'accident du travail et de maladie professionnelle,Définir le périmètre des actes remboursables,Contribuer à l'amélioration de la santé de la population,Tarifier les actes médicaux et le niveau de prise en charge,c,4
59,OIC-009-07-A-,Quel est le but du ticket modérateur?,Réduire les coûts de l'assurance maladie,Encourager les patients à consulter plus souvent les médecins,Responsabiliser financièrement le patient et réguler la consommation de soins,Protéger les patients des frais médicaux élevés,c,4
60,OIC-009-08-A,Quel est l'objectif principal du parcours de soins coordonnés?,Améliorer l'accès aux soins et la qualité des soins.,Remplacer les assurances complémentaires.,Centraliser les dossiers médicaux des patients.,Limiter les consultations chez les spécialistes.,a,4
61,OIC-009-09-B,Quelles sont les prestations en espèces de l'assurance maladie?,Prise en charge des frais médicaux,Indemnités journalières en cas d'arrêt de travail,Exonération du ticket modérateur,Forfait journalier en cas d'hospitalisation,b,4
62,OIC-009-09-B-,La recherche en santé vise principalement à :,Développer de nouveaux médicaments,Améliorer la santé humaine,Gérer les laboratoires de recherche,Définir les grandes orientations stratégiques de la santé,b,4
63,OIC-009-10-B,Quel est l'objectif principal d'un protocole de recherche en santé ?,Décrire les modifications apportées à l'étude en cours.,Fournir une justification scientifique pour les résultats de l'étude.,Définir les étapes à suivre pour acquérir de nouvelles connaissances dans le domaine de la santé.,Décrire de manière précise la méthodologie de la recherche à mener et répondre à un objectif principal unique.,d,4
64,OIC-009-10-B-,Laquelle des catégories suivantes de recherches impliquant la personne humaine (RIPH) est définie par la loi Jardé comme comportant une intervention sur la personne non justifiée par sa prise en charge habituelle et non dénuée de risque?,Recherches non interventionnelles,Recherches interventionnelles à risques et contraintes minimes,Recherches interventionnelles (RIPH catégorie 1),Recherches non-RIPH,c,4
65,OIC-009-11-A,Quels éléments sont utiles à la définition d'une problématique de recherche?,Les arguments économiques,Les résultats des études antérieures,Les préférences personnelles du chercheur,Les opinions des patients,b,4
66,OIC-009-11-A-,Quel est l'objectif principal d'une recherche selon le texte?,Vérifier une hypothèse a posteriori.,Formuler plusieurs objectifs sans hiérarchie.,Décrire les facteurs influençant la puissance d'une étude.,Vérifier une hypothèse a priori.,d,4
67,OIC-009-12-B,Quel élément est crucial pour déterminer la méthodologie d'une étude?,Le budget alloué à l'étude,La taille de l'échantillon,L'objectif de recherche,Le type de population étudiée,c,4
68,OIC-009-12-B-,Quel type d'échantillonnage est utilisé lorsque la population source est divisée en sous-populations (strates) et que des individus sont tirés au sort à l'intérieur de chaque sous-population?,Recrutement consécutif,Sondage en grappes,Sondage aléatoire simple,Sondage stratifié,d,4
69,OIC-009-13-A,Quelle est la principale caractéristique des données issues des registres de morbidité?,Elles sont collectées à partir d'études ad hoc.,Elles sont déclarées obligatoirement par les professionnels de santé.,Elles recensent de manière exhaustive les nouveaux cas d'une pathologie donnée.,Elles sont recueillies par un réseau de médecins volontaires.,c,4
70,OIC-009-13-A-,Quel critère est utilisé pour évaluer la pertinence d'un critère de jugement principal?,Sa faisabilité,Sa signification statistique,Son adéquation avec l'objectif principal de l'étude,Son coût de recueil,c,4
71,OIC-009-14-B,Qu'est-ce que les probabilités modélisent?,Des phénomènes déterministes,Des phénomènes répétitifs,Des phénomènes aléatoires,Des phénomènes physiques,c,2
72,OIC-009-14-B-,Quel est le mode d'un ensemble de valeurs?,La valeur la plus élevée,La valeur la plus basse,La somme de toutes les valeurs,La valeur la plus fréquemment rencontrée,d,1
73,OIC-009-15-B,Quel est le risque de première espèce (alpha) dans un test d'hypothèse?,La probabilité de ne pas rejeter l'hypothèse nulle alors que l'hypothèse alternative est vraie,La probabilité de rejeter l'hypothèse nulle alors que celle-ci est vraie,La probabilité de rejeter l'hypothèse alternative alors que l'hypothèse nulle est vraie,La probabilité de ne pas rejeter l'hypothèse alternative alors que l'hypothèse nulle est vraie,b,4
74,OIC-009-15-B-,Quelle est la particularité des données de survie?,Elles sont toujours complètes.,Elles reflètent uniquement la survenue d'un événement.,Elles sont incomplètes car la durée de survie peut être censurée.,Elles ne prennent en compte que le temps de suivi du sujet.,c,4
75,OIC-009-16-B-,Quelles sont les données considérées comme sensibles et nécessitant une protection particulière ?,Les données météorologiques,Les données financières,Les données de santé,Les données de navigation sur internet,c,4
76,OIC-009-17-A,"Dans une étude analytique, un facteur d'exposition est appelé :",facteur étiologique,facteur pronostique,facteur de risque,déterminant de santé,c,4
77,OIC-009-17-A-,Quelle est la population cible d'une étude?,La population à partir de laquelle l'étude se déroulera.,Le sous-ensemble de la population source choisi pour l'étude.,La population sur laquelle on souhaite extrapoler les résultats de l'étude.,La population la plus représentative possible.,c,4
78,OIC-009-18-A,Quel est l'objectif principal d'une étude de cohorte?,Comparer la prévalence d'une exposition chez des cas et des témoins.,Suivre un groupe de sujets au fil du temps pour observer l'apparition d'un phénomène de santé.,Recruter des sujets atteints et non atteints d'un phénomène de santé pour étudier leur exposition passée.,Estimer le niveau d'indicateurs de santé dans une population cible à un moment donné.,b,4
79,OIC-009-18-A-,Quelle est la caractéristique principale d'une étude cas-témoins nichée?,Elle utilise un groupe contrôle aléatoire.,Elle sélectionne des cas et des témoins parmi une cohorte existante.,Elle compare les taux d'incidence d'un événement d'intérêt avant et après une intervention.,Elle utilise des données groupées pour estimer la fréquence d'un événement d'intérêt.,b,4
80,OIC-009-19-B-,Qu'est-ce que la standardisation dans le contexte des enquêtes descriptives?,Une méthode pour comparer des populations ayant des structures d'âge et de sexe différentes.,Une technique pour collecter des données sur les problèmes de santé.,Une analyse statistique pour identifier les facteurs de risque.,Un outil pour visualiser les résultats des enquêtes.,a,4
81,OIC-009-20-B-,Quel type d'étude permet d'estimer le Risque Relatif (RR)?,Étude cas-témoins,Étude de cohorte exposé/non exposé,Étude transversale,Étude interventionnelle,b,4
82,OIC-009-21-A,Quel est l'impact d'une augmentation de la taille de l'échantillon sur la puissance d'une étude?,Diminue la puissance,N'a aucun impact,Augmente la puissance,Rend la puissance nulle,c,4
83,OIC-009-21-A-,Quel est l'objectif principal du calcul du nombre de sujets nécessaires pour une étude descriptive?,Déterminer la taille de l'effet attendu.,Assurer une puissance suffisante à l'étude.,Garanir une précision souhaitée pour le paramètre estimé.,Identifier les facteurs susceptibles d'influencer la puissance de l'étude.,c,4
84,OIC-009-22-B,Quelle est la principale différence entre l'erreur aléatoire et l'erreur systématique (biais) dans une étude?,"L'erreur aléatoire est due au hasard, tandis que l'erreur systématique est due à des erreurs de mesure.","L'erreur aléatoire affecte la précision des estimations, tandis que l'erreur systématique invalide les résultats de l'étude.","L'erreur aléatoire est indépendante de la taille de l'échantillon, tandis que l'erreur systématique est plus importante avec de petits échantillons.","L'erreur aléatoire peut être corrigée en analysant les données, tandis que l'erreur systématique ne peut pas être corrigée.",b,4
85,OIC-009-22-B-,Quel est l'effet d'un biais de sélection non différentiel sur la puissance d'une étude?,Augmente la puissance,Diminue la puissance,N'a aucun effet sur la puissance,Rend l'étude plus précise,b,4
86,OIC-009-23-A,Qu'est-ce qu'un facteur d'interaction dans une étude de recherche en santé?,Un facteur qui masque l'association entre une exposition et un phénomène de santé.,Un facteur qui amplifie l'association entre une exposition et un phénomène de santé.,Un facteur qui modifie l'effet d'une exposition sur un phénomène de santé en fonction de son niveau.,Un facteur qui n'a aucun impact sur l'association entre une exposition et un phénomène de santé.,c,4
87,OIC-009-24-B,"Selon les critères de causalité de Bradford Hill, quel critère est considéré comme le plus convaincant lorsqu'il est présent, mais absent dans la plupart des cas?",Force de l'association,Absence d'ambiguïté temporelle,Spécificité de la relation,Cohérence externe,c,4
88,OIC-009-24-B-,Lequel des termes suivants décrit l'ensemble des facteurs environnementaux auxquels un individu est exposé au cours de sa vie?,Génome humain,Phénome,Exposome,Microbiome,c,4
89,OIC-009-25-B,Quel est le rôle du comité de lecture dans le processus de publication d'un article scientifique?,Il facture les frais de publication aux chercheurs.,Il sélectionne les articles à publier en fonction de leur qualité.,Il propose des modifications majeures aux manuscrits.,Il assure la diffusion des articles dans les revues scientifiques.,b,4
90,OIC-009-25-B-,Laquelle des propriétés suivantes d'un test dépend de la prévalence de la maladie dans la population étudiée?,Sensibilité,Spécificité,Valeur prédictive positive,Rapport de vraisemblance négatif,c,4
91,OIC-009-26-B,Quelle est la définition d'une maladie rare selon le Règlement européen sur les médicaments orphelins?,Une maladie qui affecte plus d'une personne sur 2 000.,Une maladie qui affecte moins d'une personne sur 1 000.,Une maladie qui affecte moins d'une personne sur 5 000.,Une maladie qui affecte moins d'une personne sur 2 000.,d,4
92,OIC-009-26-B-,Quel est l'objectif principal du Plan National Maladies Rares 3 (PNMR3)?,Améliorer la recherche sur les maladies rares.,Réduire le nombre de maladies rares en France.,Permettre à chaque patient atteint d'une maladie rare d'obtenir un diagnostic précis dans un délai d'un an.,Créer des associations de malades pour les maladies rares.,c,4
93,OIC-009-27-B,Quelle maladie génétique est caractérisée par une absorption intestinale excessive de fer?,L'hémophilie,La drépanocytose,L'hémochromatose,La dystrophie musculaire de Duchenne,c,4
94,OIC-010-01-A,Quelle est la définition de l'errance diagnostique ?,La période entre l'apparition des symptômes et le diagnostic précis.,L'échec à définir la cause précise d'une maladie après des investigations.,Une forme atypique d'une maladie connue.,Le choix d'un examen diagnostique inapproprié.,a,4
95,OIC-010-01-A-,Quel est l'attitude recommandée pour les médecins non spécialistes et les professionnels paramédicaux face à des symptômes atypiques?,Ignorer les symptômes inhabituels,Rechercher immédiatement un diagnostic précis,Se concentrer sur les symptômes les plus apparents,Adopter une attitude de « culture du doute »,d,4
96,OIC-010-02-B,Quel pourcentage de grossesses est touché par une hémorragie du premier trimestre?,5%,10%,25%,50%,c,4
97,OIC-010-02-B-,Quelle est l'une des principales préoccupations en matière de prise en charge d'une fausse couche du premier trimestre?,La prévention de l'allo-immunisation rhésus-D,La nécessité d'une intervention chirurgicale immédiate,L'utilisation de prostaglandines pour tous les cas,L'absence de prise en charge psychologique,a,4
98,OIC-010-03-B,Quel critère indique une grossesse extra-utérine symptomatique nécessitant une intervention chirurgicale en urgence?,Un taux de β-hCG supérieur à 5 000 UI/L,Des douleurs abdominales modérées,Instabilité hémodynamique,Une diminution du taux de β-hCG,c,4
99,OIC-010-03-B-,Quelle est la première action à entreprendre en cas d'hémorragie du deuxième ou du troisième trimestre?,Effectuer un toucher vaginal,Réaliser une échographie obstétricale,Éliminer une cause cervicale avec un spéculum,Suspecter un placenta praevia et un hématome rétroplacentaire,d,4
100,OIC-019-01-A,Quelle est la définition de l'hémorragie du post partum (HPP)?,Un saignement de moins de 500 mL dans les 24 heures suivant l'accouchement.,Un saignement de plus de 1000 mL dans les 24 heures suivant l'accouchement.,Un saignement de plus de 500 mL dans les 24 heures suivant l'accouchement.,Un saignement de moins de 1000 mL dans les 24 heures suivant l'accouchement.,c,4
101,OIC-019-01-A-,Quel est l'élément essentiel à prendre en compte lors de la prise en charge d'une HPP ?,La quantité de sang perdu,La présence de déchirures périnéales,L'état hémodynamique de la patiente,Le type d'accouchement (vaginal ou césarienne),c,4
102,OIC-019-02-A,Quelle est la mesure prophylactique systématique pour prévenir l'HPP?,Administration d'oxytocine IVL dès la sortie de l'enfant,Mise en place d'un sac de recueil des pertes sanguines,Surveillance de la délivrance normale pendant 2 heures,Délivrance artificielle en cas de non-décollement placentaire,a,4
103,OIC-019-02-A-,Quelle est la définition de l'hypertension artérielle (HTA) gravidique (HTAg)?,"PA systolique ≥ 140 mmHg et/ou PAD ≥ 90 mmHg à au moins deux reprises, avec protéinurie associée.","PA systolique ≥ 140 mmHg et/ou PAD ≥ 90 mmHg à au moins deux reprises, sans protéinurie associée.","PA systolique ≥ 160 mmHg et/ou PAD ≥ 110 mmHg à au moins deux reprises, avec protéinurie associée.","PA systolique ≥ 160 mmHg et/ou PAD ≥ 110 mmHg à au moins deux reprises, sans protéinurie associée.",b,4
104,OIC-019-03-B,Quelle est la fréquence approximative de l'HTA pendant la grossesse?,1 à 5 %,5 à 10 %,10 à 15 %,20 à 25 %,b,4
105,OIC-019-03-B-,Quel est l'examen indispensable pour rechercher une pré-éclampsie en cas d'HTA gravidique?,Un dosage de la créatinine sanguine,Une analyse des 24 heures d'urine,Un Doppler de l'artère ombilicale,Une échographie obstétricale,b,4
106,OIC-019-04-B,Quelle est la complication la plus fréquente associée à l'HTA gravidique?,Insuffisance rénale aiguë,Hématome sous-capsulaire du foie,Prééclampsie,Réticulopathie hypertensive,c,4
