Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
17,OIC-005-09-A-,Qu'est-ce que le parcours de soins?,Une liste de médicaments à prendre.,L'organisation et la coordination des compétences professionnelles tout au long de la prise en charge d'un patient.,Un diagnostic médical.,Un examen physique.,b,4
18,OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel?,Un document qui décrit les procédures à suivre pour un diagnostic.,Un ensemble de règles et de recommandations pour la prise en charge d'une maladie par plusieurs professionnels de santé.,Un outil de gestion des patients qui permet de suivre leur évolution.,Un programme de formation continue pour les professionnels de santé.,b,4
19,OIC-005-10-A-,Quel est l'objectif principal des réunions de concertation pluridisciplinaire (RCP)?,Définir les règles de l'exercice clinique.,Valider l'obligation de développement professionnel continu (DPC).,Prendre une décision sur la meilleure prise en charge d'un patient.,Organiser des réunions collégiales.,c,4
20,OIC-005-11-A,Quel est le principal objectif des listes de vérification (check-lists) dans le contexte de l'exercice clinique?,Simplifier les procédures médicales.,Réduire les coûts des interventions.,Sécuriser le parcours du patient et prévenir les erreurs.,Accélérer le temps d'exécution des opérations.,c,4
21,OIC-005-11-A-,Quel est le but principal d'une Réunion de Morbi-Mortalité (RMM)?,Identifier les causes des décès.,Évaluer la performance des médecins.,Analyser collectivement des événements indésirables pour améliorer la sécurité des soins.,Attribuer des responsabilités en cas d'erreur médicale.,c,4
22,OIC-005-12-B,Quel est le rôle principal du Samu-Centre 15?,Organiser le transport des patients vers les établissements de soins.,Assurer une écoute médicale permanente et déterminer la réponse la plus adaptée à l'appel.,Former les acteurs en santé dans les centres d’enseignement des soins d’urgence (CESU).,Participer à l’élaboration des plans de secours et à la prise en charge des situations sanitaires exceptionnelles.,b,4
23,OIC-005-13-A,"Selon le texte, quel est un effet des discriminations sur l'insertion socio-économique?",Elle améliore l'accès à l'emploi.,Elle accentue les inégalités sociales.,Elle réduit le stress des individus.,Elle favorise l'égalité des chances.,b,4
24,OIC-005-13-A-,"Selon le texte, quel facteur structurel contribue aux discriminations en santé?",L'absence de représentations sociales,Le manque de vigilance des soignants,Les dysfonctionnements du système de santé,La qualité des soins,c,4
25,OIC-005-14-B-,Quelle est la définition de la bioéthique selon V.R. Potter?,Une éthique globale pour la survie de l’être humain et de la planète.,Une éthique spécifique au domaine médical.,Une éthique qui ne concerne que les questions soulevées par les nouvelles biotechnologies.,Une éthique qui se limite à l’exploration des questions suscitées par l’avancement des technosciences biomédicales.,a,4
26,OIC-005-15-B,"Quand le mot ""déontologie"" est-il apparu pour la première fois en français?",Au 18ème siècle,Au 19ème siècle,En 1825,Au 20ème siècle,c,4
27,OIC-005-15-B-,Quel est le principal objectif de l'approche par principes en éthique médicale?,Définir des règles strictes et immuables pour toutes les situations médicales.,"Identifier les principes fondamentaux de la bienfaisance, de la non-malfaisance, du respect de l'autonomie et de la justice.",Ignorer les principes éthiques et se concentrer uniquement sur les résultats médicaux.,Imposer des décisions médicales sans tenir compte des préférences du patient.,b,4
28,OIC-006-01-A,Quel est le principe fondamental qui sous-tend le respect de l'autonomie des patients en médecine?,"Le paternalisme, où le médecin prend les décisions au nom du patient.","Le consentement libre et éclairé, où le patient décide de ses soins après information.","L'obligation de soins, où le médecin doit toujours agir pour le bien du patient, même s'il refuse.","Le respect de la volonté du médecin, qui sait toujours ce qui est le mieux pour le patient.",b,4
29,OIC-006-01-A-,Quel est le principal objectif de l'information médicale?,"Informer le patient de tous les risques potentiels, même rares et graves.",Permettre au patient de prendre une décision éclairée et de consentir aux soins proposés.,Fournir au patient des informations techniques complexes sur son état de santé.,"Informer le patient de tous les risques potentiels, même rares et graves, et de lui permettre de prendre une décision éclairée et de consentir aux soins proposés.",b,4
30,OIC-006-02-A,Quel est le principal objectif de la clause de conscience du médecin?,Permettre aux médecins de refuser tous les traitements.,Donner aux médecins le droit de refuser les traitements qu'ils considèrent comme contraires à leurs convictions personnelles.,Obliger les médecins à refuser les soins aux patients qui ne respectent pas leurs convictions.,Limiter le droit des patients à refuser les traitements.,b,4
31,OIC-006-02-A-,Quel est le rôle principal de la personne de confiance selon le texte?,Assister le patient dans ses démarches de soins et de choix.,Gérer les finances du patient.,Prendre des décisions médicales au nom du patient.,Remplacer le patient en cas d'absence.,a,4
32,OIC-006-03-A,Quelle est la définition de la vulnérabilité selon le texte?,Une condition qui empêche l'autonomie.,Une notion historiquement et culturellement située.,Un état de faiblesse physique et psychologique.,Une caractéristique uniquement présente chez les personnes âgées.,b,3
33,OIC-006-03-A-,"Qu'est-ce qui est instauré et assuré dans le respect des libertés individuelles, des droits et de la dignité de la personne?",Les mesures de protection juridique,Les soins médicaux,Les droits des patients majeurs,Les informations médicales,a,4
34,OIC-006-04-B,Quelle est la principale différence entre la curatelle et la tutelle?,La curatelle est une mesure plus protectrice que la tutelle.,"La tutelle est une mesure temporaire, tandis que la curatelle est permanente.",La curatelle implique une plus grande contrainte que la tutelle.,"La curatelle est réservée aux mineurs, tandis que la tutelle est réservée aux adultes.",c,4
35,OIC-006-04-B-,Qui peut demander l'ouverture d'une mesure de protection?,Seul le majeur concerné peut demander une mesure de protection.,"Le conjoint, un parent ou une personne entretenant des liens étroits avec le majeur peuvent demander une mesure de protection.",Seulement le procureur de la République peut demander une mesure de protection.,Seulement le médecin traitant peut demander une mesure de protection.,b,4
36,OIC-006-06-A,Quel est l'objectif principal du diagnostic prénatal (DPN) selon la loi de bioéthique de 1994?,Détecter les maladies infectieuses chez le fœtus.,"Prévenir ou traiter une affection d'une particulière gravité, dans l'intérêt de l'enfant à naître.",Permettre aux femmes enceintes de choisir librement l'interruption de grossesse à tout moment.,Évaluer le risque de maladies génétiques chez les futurs parents.,b,4
37,OIC-006-06-A-,Quel est l'objectif principal du diagnostic préimplantatoire (DPI)?,Détecter des maladies génétiques chez les futurs parents.,Éviter la transmission d'une maladie génétique à un enfant.,Sélectionner le sexe de l'enfant à naître.,Permettre aux couples de choisir le sexe de leurs enfants.,b,4
38,OIC-006-07-A,Quelle est l'une des principales préoccupations éthiques liées à l'information du patient en fin de vie?,"Fournir des informations complètes et détaillées sur la maladie, même si elles sont difficiles à entendre.","Donner une information honnête et claire, conformément au respect de l'autonomie de la personne malade et à son droit à être informée de son état de santé établi dans la loi dite Kouchner du 4 mars 2002, en réunissant les conditions permettant de construire une relation de confiance : en étant attentif aux besoins et réactions émotionnelles de la personne, en lui permettant d’exprimer et en prenant le temps de répondre à ses questions et attentes, en l’assurant de l’accompagnement jusqu’au bout des professionnels de santé et en posant les jalons de la prise en soin à venir.",Éviter de mentionner la mort ou la fin de vie pour ne pas inquiéter le patient.,"Se concentrer uniquement sur les aspects médicaux de la maladie, sans tenir compte des aspects émotionnels.",b,4
39,OIC-006-07-A-,"Selon le contenu, quel est le principal objectif des lois Léonetti et Claeys-Léonetti?",Prolonger la vie des patients atteints de maladies incurables.,Donner aux patients le droit de refuser ou d'interrompre les traitements médicaux.,Obliger les médecins à administrer des traitements médicaux disproportionnés.,Limiter l'accès aux soins palliatifs.,b,4
40,OIC-006-08-A,"Dans le contexte de la procédure collégiale, qui a la décision finale concernant la poursuite, la limitation ou l'arrêt des traitements?",L'équipe médicale,La famille et les proches,Le médecin,Le CCNE,c,4
41,OIC-006-08-A-,Quelle est la principale finalité des directives anticipées?,Assurer le droit à l'accès aux soins palliatifs pour tous.,Permettre aux patients de définir leurs souhaits concernant leur fin de vie.,Obliger les médecins à limiter les traitements en cas de souffrance.,Garantir le droit à l'euthanasie et au suicide assisté.,b,4
42,OIC-008-01-A,Quel est le principal objectif de l'éthique de la recherche?,Maximiser les profits pour les entreprises pharmaceutiques.,Prioriser la recherche fondamentale sans considération pour les personnes.,Appliquer les principes éthiques fondamentaux dans le domaine de la recherche.,Ignorer les populations vulnérables dans les études de recherche.,c,4
43,OIC-008-01-A-,Quelle est la principale conséquence de la loi Huriet-Sérusclat de 1988 en France?,Elle a permis une recherche biomédicale plus libre et moins encadrée.,Elle a instauré un cadre juridique strict pour la protection des personnes se prêtant à la recherche biomédicale.,Elle a interdit toutes les recherches impliquant la personne humaine.,Elle a créé des Comités consultatifs de protection des personnes dans la recherche biomédicale.,b,4
44,OIC-008-02-B,"Quel est le principe fondamental qui guide le don d'organes en France, garantissant la gratuité et l'anonymat?","Le principe de réciprocité, où le donneur attend une compensation pour son don.","Le principe de consentement éclairé, où le donneur doit être pleinement informé des risques et avantages.","Le principe de gratuité et d'anonymat, où le don est offert sans contrepartie et l'identité du donneur est protégée.","Le principe de l'autonomie, où le donneur a le droit de refuser le don à tout moment.",c,4
45,OIC-008-02-B-,Quelle est la définition de la mort encéphalique selon le texte?,Absence de conscience et d'activité motrice spontanée avec absence de réaction à la stimulation.,Absence de ventilation spontanée en épreuve d’hypercapnie et deux EEG sans activité décelable à 4H00 d’intervalle avec une durée d’enregistrement chacun d’au moins 30 minutes et/ou angiographie cérébrale montrant l’absence de circulation efficace.,Absence de conscience et d'activité motrice spontanée avec absence de réaction à la stimulation et abolition de tous les réflexes du tronc cérébral.,Absence de ventilation spontanée et deux EEG sans activité décelable à 4H00 d’intervalle avec une durée d’enregistrement chacun d’au moins 30 minutes.,b,4
46,OIC-008-03-B-,Quels sont les éléments du corps humain qui sont considérés comme des produits?,Les organes et les tissus,Les ongles et les cheveux,Les cellules hématopoïétiques,Les gamètes,b,4
47,OIC-009-02-A,"Selon le texte, quel est l'impact principal de la maladie sur l'expérience du corps?",Une amélioration de l'image corporelle.,Une modification de la perception de soi.,Une diminution de la conscience corporelle.,Une augmentation de l'estime de soi.,b,4
48,OIC-009-02-A-,"Selon le texte, quel est l'impact des techniques médicales sur la perception du corps?",Elles permettent une meilleure compréhension du corps.,"Elles redéfinissent la manière de voir et concevoir les maladies, ainsi que d'appréhender les corps.",Elles réduisent la complexité du corps à des variables et des données.,Elles ne modifient pas la perception du corps.,b,4
49,OIC-009-03-A,,,,,,,1
50,OIC-009-04-A,"En 2020, quelle était la part de la protection sociale dans le Produit Intérieur Brut (PIB) de la France?",25%,35%,50%,40%,b,2
51,OIC-009-05-A,Quelle est la principale fonction de la Caisse Nationale d'Assurance Maladie (Cnam)?,Gérer les risques de perte d'autonomie.,Verser les pensions de retraite de base.,"Prendre en charge les risques maladie, maternité, invalidité et décès.",Recouvrer les cotisations sociales.,c,4
52,OIC-009-05-A-,Quel est le rôle principal de la loi de financement de la Sécurité Sociale (LFSS)?,Fixer les recettes de la sécurité sociale.,Déterminer le budget de l'État.,Déterminer les conditions générales de son équilibre financier et fixer ses objectifs de dépenses.,Limiter les dépenses sociales et de santé.,c,4
53,OIC-009-06-A,Quel est le but principal de l'ONDAM?,Augmenter les dépenses de l'assurance maladie.,Réguler les dépenses de l'assurance maladie.,Diminuer les recettes de la sécurité sociale.,Fixer les tarifs des soins de santé.,b,4
54,OIC-009-06-A-,Quel est le principal objectif des régimes spéciaux de la Sécurité sociale?,Gérer les risques sociaux pour tous les citoyens français.,Assurer une couverture sociale complète et uniforme pour tous les assurés.,"Gérer les risques sociaux pour des catégories spécifiques d'actifs, notamment les fonctionnaires, les militaires et les employés de l'État.",Gérer les risques sociaux pour les agriculteurs et les salariés agricoles.,c,4
55,OIC-009-07-A,Quelle est la mission principale de la Caisse nationale d'assurance maladie (CNAM)?,Gérer les risques de maternité et d'invalidité.,Assurer la prise en charge des soins dispensés aux assurés sociaux.,Définir le périmètre des actes remboursables.,Mettre en place une politique conventionnelle.,b,4
56,OIC-009-07-A-,Quel est le but principal du ticket modérateur?,Rembourser intégralement les frais de santé.,Réguler la consommation de soins en responsabilisant financièrement le patient.,Garantir un accès facile et rapide à tous les soins.,Permettre aux professionnels de santé de facturer des tarifs plus élevés.,b,4
57,OIC-009-08-A,Quel est le rôle principal du médecin traitant dans le parcours de soins coordonnés?,Assurer les soins de prévention uniquement.,Orienter le patient et gérer son dossier médical.,Se concentrer uniquement sur les soins hospitaliers.,Ne pas avoir d'influence sur les choix de soins du patient.,b,4
58,OIC-009-08-A-,Quel est le principal avantage pour un assuré bénéficiant d'un protocole de soins ALD avec exonération du ticket modérateur?,Le remboursement intégral des soins de santé.,L'accès direct aux spécialistes sans consultation préalable.,L'exonération du ticket modérateur pour les soins conformes au protocole ALD.,La possibilité de choisir librement les spécialistes à consulter.,c,4
59,OIC-009-09-B,Quelles sont les deux principales catégories de prestations offertes par l'assurance maladie?,Prestations en espèces et prestations en nature,Prestations en espèces et prestations de retraite,Prestations en nature et prestations de maternité,Prestations en espèces et prestations de maternité,a,3
60,OIC-009-09-B-,Quel est le but principal de la recherche en santé?,Développer des médicaments coûteux.,Étendre la connaissance scientifique de l'humain et améliorer la santé.,Promouvoir des théories médicales controversées.,Réduire les dépenses de santé.,b,4
61,OIC-009-10-B,Qu'est-ce qu'un protocole en recherche clinique?,Un document qui change en cours d'étude.,Un document écrit en amont d'une étude décrivant les étapes et les éléments de la méthodologie.,Un document qui ne contient que les résultats de l'étude.,Un document qui n'a pas d'objectif principal.,b,4
62,OIC-009-10-B-,Quelle est la principale raison pour laquelle la recherche clinique est réglementée en France?,Pour faciliter la commercialisation des médicaments.,Pour protéger les droits des participants à la recherche.,Pour assurer la sécurité des patients.,Pour contrôler les coûts de la recherche.,b,4
63,OIC-009-11-A,Quels sont les arguments utiles à la justification d'une problématique de recherche?,Les résultats des études précédentes.,Les coûts de l'étude.,Les épidémiologiques et l'état actuel des connaissances.,Les hypothèses physiopathologiques.,c,4
64,OIC-009-11-A-,Quel est le rôle principal des hypothèses de recherche dans une étude?,Définir la population cible.,Dériver directement de l'objectif de la recherche.,Définir la méthodologie de l'étude.,Estimer la puissance de l'étude.,b,4
65,OIC-009-12-B,"Dans le contexte de la recherche en santé, quel est le principal critère à considérer pour déterminer l'adaptation d'une méthodologie d'étude?",Le type de population étudiée.,La taille de l'échantillon.,L'objectif de recherche.,Le budget alloué à l'étude.,c,4
66,OIC-009-13-A,Quelle est la nature des données recueillies dans un registre de morbidité?,Données ponctuelles et non exhaustives.,Données permanentes et exhaustives.,Données déclaratives et aléatoires.,Données administratives et non médicales.,b,4
67,OIC-009-13-A-,"Dans une étude de recherche en santé, quel critère est le plus important à considérer pour évaluer la pertinence des données recueillies?",Les critères de jugement secondaires.,Les facteurs d'exposition.,Le critère de jugement principal.,Les caractéristiques des individus.,c,4
68,OIC-009-14-B,Qu'est-ce qu'une variable aléatoire?,Une variable qui prend toujours la même valeur.,Une fonction qui attribue un nombre à toutes les issues possibles.,Une variable qui ne peut prendre que des valeurs entières.,Une variable qui est toujours positive.,b,3
69,OIC-009-14-B-,Qu'est-ce que la moyenne?,La valeur la plus fréquente.,La somme des valeurs divisée par leur nombre.,La différence entre la valeur maximale et la valeur minimale.,La racine carrée de la variance.,b,4
70,OIC-009-15-B,"Dans le contexte de la recherche en santé, quel est le but principal de l'inférence statistique?",Déterminer la valeur exacte de la variable étudiée.,Extrapoler les résultats observés sur un échantillon à la population.,Identifier les variables les plus importantes dans l'étude.,Calculer la probabilité de rejeter l'hypothèse nulle.,b,4
71,OIC-009-15-B-,Qu'est-ce qu'une variable censurée dans le contexte des données de survie?,Une variable qui représente le temps exact de la survenue d'un événement.,Une variable qui indique si un événement a eu lieu ou non.,"Une variable qui représente le temps pendant lequel un sujet a été suivi, mais où l'événement n'a pas été observé.","Une variable qui représente le temps exact de la survenue d'un événement, et le temps pendant lequel un sujet a été suivi, mais où l'événement n'a pas été observé.",c,4
72,OIC-009-16-B,Qu'est-ce que l'ajustement en recherche en santé?,Une méthode pour mesurer l'association entre deux variables.,Une méthode pour contrôler les facteurs de confusion.,Une méthode pour identifier les facteurs de confusion.,Une méthode pour analyser les données brutes.,b,4
73,OIC-009-16-B-,Quel est le principal objectif de la protection des données de santé?,Faciliter la recherche clinique.,Garantir le respect de la vie privée des personnes.,Simplifier la collecte de données.,Augmenter la vitesse des essais cliniques.,b,4
74,OIC-009-17-A,"Dans une étude expérimentale, quel est le rôle du facteur d'exposition?",Il est le critère de jugement.,Il est l'intervention à laquelle les participants sont exposés.,Il est le résultat de l'étude.,Il est le groupe de contrôle.,b,4
75,OIC-009-17-A-,Qu'est-ce que la population cible?,Le groupe d'individus sélectionnés pour l'étude.,La population à partir de laquelle l'étude est menée.,Le groupe d'individus à partir duquel les résultats de l'étude sont extrapolés.,Le groupe d'individus qui répondent aux critères d'inclusion de l'étude.,c,4
76,OIC-009-18-A,"Dans une étude de cohorte, quel est le critère de jugement utilisé pour suivre les sujets dans le temps?",La date de naissance de chaque sujet.,La date de survenue de l’événement étudié.,La date de sortie anticipée de l’étude.,La date de recrutement de chaque sujet.,b,4
77,OIC-009-18-A-,Quelle est la principale caractéristique d'une étude cas-cohorte?,Elle utilise un groupe contrôle tiré au sort.,Elle compare des cas et des témoins sélectionnés parmi une cohorte déjà constituée.,Elle évalue l'effet d'une intervention expérimentale sans groupe contrôle.,Elle utilise des données groupées pour estimer la fréquence d'un événement dans une population.,b,4
78,OIC-009-19-B,Qu'est-ce que le taux d'incidence?,La proportion de personnes atteintes d'une maladie à un moment donné.,"Le nombre de nouveaux cas pendant une période, rapporté à la somme des personnes-temps.",La probabilité qu'un événement survienne dans une population.,La proportion de cas d'une maladie dans une population à un instant donné.,b,4
79,OIC-009-19-B-,Qu'est-ce que la standardisation permet de faire?,Augmenter la taille de l'échantillon.,Comparer des mesures de fréquence issues de populations n'ayant pas la même structure d'âge et de sexe.,Réduire la variabilité des données.,Calculer la moyenne pondérée.,b,4
80,OIC-009-20-B,Quel est le principal objectif des mesures d'association brutes?,Mesurer l'effet d'un facteur d'exposition sur un critère de jugement sans tenir compte des facteurs de confusion.,Estimer la différence de moyennes entre deux groupes.,Calculer le risque relatif.,Déterminer le nombre de sujets à traiter.,a,4
81,OIC-009-21-A,"Quel facteur, si augmenté, diminue la puissance d'une étude?",La taille de l'échantillon,La différence à détecter,La variabilité des observations,Le risque alpha,c,4
82,OIC-009-22-B,Quelles sont les deux principales sources d'erreur dans l'estimation d'un paramètre?,Erreur aléatoire et erreur systématique,Erreur de sélection et erreur de classement,Erreur de confusion et erreur d'information,Erreur de biais et erreur de stratification,a,4
83,OIC-009-22-B-,Qu'est-ce que le biais de sélection différentiel?,Un biais où la probabilité d'être sélectionné diffère entre les groupes d'exposition.,Un biais où la probabilité d'être sélectionné est la même dans tous les groupes.,Un biais où la probabilité d'être sélectionné est différente en fonction du critère de jugement.,Un biais qui n'affecte pas la validité externe de l'étude.,a,4
84,OIC-009-23-A,Qu'est-ce qu'un facteur d'interaction en recherche en santé?,Un facteur qui masque l'association étudiée.,Un facteur qui modifie l'association entre une exposition et un phénomène de santé.,Un facteur qui n'a aucun impact sur l'association étudiée.,Un facteur qui est toujours confondu avec un facteur de confusion.,b,4
85,OIC-009-24-B,"Selon le texte, quel critère de Bradford Hill est le plus convaincant lorsqu'il est présent, mais est absent la plupart du temps même si la relation causale est très plausible?",Cohérence externe,Plausibilité biologique,Spécificité de la relation,Absence d'ambiguïté temporelle,c,4
86,OIC-009-24-B-,Quel est l'ensemble des facteurs environnementaux auxquels un individu est exposé au cours de sa vie?,Génome humain,Exposome,Phénome,Microbiome,b,4
87,OIC-009-25-B,Qu'est-ce qui est généralement fait avec un manuscrit soumis à un éditeur pour publication?,Il est directement publié sans aucune évaluation.,Il est transmis à des pairs relecteurs pour évaluation.,Il est immédiatement accepté en l'état.,Il est soumis à un comité de lecture.,b,4
88,OIC-009-25-B-,Quelle propriété d'un test dépend de la prévalence de la maladie dans la population étudiée?,Sensibilité,Valeur prédictive positive,Valeur prédictive négative,Spécificité,b,4
89,OIC-009-26-B,Quelle est la définition d'une maladie rare selon le Règlement européen sur les médicaments orphelins?,Une maladie qui atteint plus d'une personne sur 2 000.,Une maladie qui atteint moins d'une personne sur 2 000.,Une maladie qui atteint plus d'une personne sur 1 000.,Une maladie qui atteint plus d'une personne sur 5 000.,b,4
90,OIC-009-26-B-,"Selon le Plan National Maladies Rares 3 (PNMR3), quel est l'objectif principal concernant le diagnostic des maladies rares?",Que tous les patients atteints de maladies rares soient diagnostiqués dans les 6 mois.,Que chaque patient ait un diagnostic de maladie rare en moins de 1 an.,Que tous les patients atteints de maladies rares soient diagnostiqués dans les 2 ans.,Que tous les patients atteints de maladies rares soient diagnostiqués dans les 3 ans.,b,4
91,OIC-009-27-B-,"Selon le texte, quel est le nombre approximatif de patients atteints de maladies rares dans le monde?",1 million,350 millions,700 millions,1 milliard,b,4
92,OIC-010-01-A,Quelle est la définition de l'errance diagnostique?,Le diagnostic est posé immédiatement après l'apparition des symptômes.,La période entre l'apparition des premiers symptômes et le diagnostic précis.,Un diagnostic est posé sans aucune investigation.,Le diagnostic est posé après avoir épuisé toutes les possibilités.,b,4
93,OIC-010-01-A-,Quels sont les principaux dispositifs qui aident le médecin non spécialiste et les professionnels paramédicaux à s'informer et à assurer une prise en charge multidisciplinaire des maladies rares?,Les hôpitaux universitaires,"Les centres de référence et de compétence maladies rares, les filières de santé, Orphanet, Maladies rares Info Services, plateformes d’expertise maladies rares dans les territoires, les équipes relais handicaps rares (ERHR)",Les pharmacies,Les cabinets médicaux généralistes,b,4
94,OIC-010-02-B,Qu'est-ce qui peut être en rapport avec une hémorragie du premier trimestre?,Une grossesse extra-utérine,Une grossesse intra-utérine non évolutive,Une grossesse intra-utérine évolutive avec un hématome décidual,Une lyse d'un jumeau,a,5
95,OIC-010-02-B-,Quelle est la première étape de la prise en charge d'une fausse couche du premier trimestre?,Traitement médical immédiat avec des prostaglandines.,Hospitalisation immédiate et consultation d'anesthésie.,Information et réassurance à la patiente.,Aspiration chirurgicale immédiate.,c,4
96,OIC-010-03-B,Quelle est la principale indication chirurgicale pour une grossesse extra-utérine (GEU) symptomatique?,Traitement médicamenteux par méthotrexate,"Instabilité hémodynamique, défense abdominale, hémopéritoine à l'échographie",Taux de β-hCG supérieur à 5 000 UI/L,Algie et taux de β-hCG supérieur à 5 000 UI/L,b,4
97,OIC-019-01-A,Qu'est-ce qui définit l'hémorragie du post partum (HPP)?,Un saignement de moins de 500 mL dans les 24h après l'accouchement.,Un saignement de plus de 1000 mL dans les 24h après l'accouchement.,Un saignement de plus de 500 mL dans les 24h après l'accouchement.,Un saignement de moins de 1000 mL dans les 24h après l'accouchement.,c,4
98,OIC-019-02-A-,"Selon le texte, quelle est la définition de l'hypertension artérielle (HTA) gravidique (HTAg)?",HTA apparue avant 20 SA.,"HTA apparue après 20 SA, sans protéinurie associée et disparaissant avant la fin de la 6<sup>e</sup> semaine du post-partum.",HTA associée à une protéinurie (300 mg/24 h).,HTA modérée avec PAS : 140-159 mmHg et PAD : 90-109 mmHg.,b,4
99,OIC-019-03-B,Quelle est la fréquence approximative de l'HTA pendant la grossesse?,1 à 2 %,5 à 10 %,20 à 30 %,10 à 15 %,b,4
100,OIC-019-03-B-,,,,,,,1
101,OIC-019-04-B,Quelle est une complication de l'HTAg (Hypertension Tanguemasse gravidique)?,RCIU,MFIU,Crise d'éclampsie,Hémorragie cérébroméningée,c,4
102,OIC-019-04-B-,"Selon le contenu, quelle est une des complications de la grossesse mentionnées?",Douleur abdominale épigastrique,Protéinurie < 3g/24h,HTA sévère,Oligurie > 500 mL/24h,c,4
