id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
OIC-027-35-A,Quel est le risque de césarienne pour les femmes fumant plus de 20 cigarettes par jour ?,Augmentation du risque de 30%,Doublé,N'est augmenté que pour les patientes fumant plus de 20 cigarettes/jour,Diminution du risque de 50%,c,0
OIC-030-01-B,Quels sont les signes généraux d'une infection bactérienne néonatale (INBP) ?,Fièvre > 38.0°C et hypothermie < 36.0°C,Tachycardie > 160 bpm et bradycardie < 80 bpm,"Détresse respiratoire, tachypnée et apnées","Somnolence, irritabilité et hypotonie",option_a,0
OIC-037-05-A,Quels sont les délais légaux de l'IVG en France ?,Jusqu'à 9 semaines d'aménorrhée (SA) ,Jusqu'à 16 semaines d'aménorrhée (SA),Jusqu'à 12 semaines d'aménorrhée (SA),Jusqu'à 18 semaines d'aménorrhée (SA),option_b,0
OIC-038-09-B,Quel est le pourcentage d'infertilité féminine ?,20%,30%,40%,50%,b,0
OIC-039-06-A,"Parmi les grandes indications de recours à l’AMP, on note : ",le risque de transmission d’une pathologie génétique d’une particulière gravité,l'accomplissement d'un projet parental d'un couple de femmes ou de femme non mariée,la préservation de la fertilité (indications médicales ou non médicales),le risque de transmission d’une pathologie virale et l’infertilité inexpliquée,d,0
OIC-045-09-A,Quels sont les principaux signes cliniques de la trisomie 21 ou syndrome de Down ?,"Cardiopathie, retard psychomoteur et déficience intellectuelle","Troubles du sommeil, malformations digestives et hypoacousie/surdité","Déficit attentionnel, impulsivité, intolérance à la frustration et troubles du spectre de l’autisme",Tous les signes mentionnés ci-dessus sont corrects,d,0
OIC-045-11-B,Quelle est l'âge moyen d'acquisition de la marche chez les enfants atteints de trisomie 21 ?,9-18 mois,2-3 ans,6-12 ans,15-20 ans,b,0
OIC-045-12-B,Quel est le risque de transmission de la mucoviscidose à la descendance si les deux parents sont porteurs hétérozygotes d&#39;une mutation du gène CFTR ?,1/4,1/2,3/4,1/2 à chaque grossesse,d,0
OIC-045-15-A,Quelle est la fréquence d'apparition de la mucoviscidose chez les nouveau-nés ?,10 à 20 % ,80 % ,90 % ,100 % ,option_a,0
OIC-047-01-A,Quelle est la définition de l'âge d'un enfant ?,"0-1 mois, c'est le nouveau-né.","2 ans à < puberté, c'est l'enfant.","1 -23 mois, c'est le nourrisson.","> 18 ans, c'est l'adolescent.",b,0
OIC-047-02-B,Quel est le nombre d'examen obligatoire pour les enfants entre 15-16 ans ?,5 examens,20 examens,10 examens,15 examens,b,0
OIC-047-08-B,Quelle est l'étape de développement du système visuel qui se produit vers 5-6 ans ?,Vision des couleurs,"Poursuite oculaire, fixation mono et binoculaire, convergence",Vision stéréoscopique,Augmentation progressive de l'acuité visuelle à 10/10ème,d,0
OIC-047-10-A,Quels sont les âges clés pour le dépistage auditif ?,"6 mois, 1 an et 2 ans","9 mois, 24 mois, 36 mois et école maternelle","12 mois, 18 mois et 3 ans","4 ans, 5 ans et 6 ans",b,0
OIC-047-14-A,Quelle est la définition d'un enfant sourd selon le degré évalué sur quatre fréquences conversationnelles ?,Perte auditive de 21 à 40 dB,Perte de 41 à 70 dB,Perte supérieure à 90 dB,Perte de 71 à 90 dB,option_a,0
OIC-047-16-A,Quelle est la numérotation dentaire internationale utilisée pour les enfants ?,"1-8, puis A-T","1-32, puis A-T","1-16, puis A-T","1-24, puis A-T",b,0
OIC-047-18-A,Quels sont les principes de prévention de la carie dentaire ?,La bonne hygiène bucco-dentaire et le suivi dentaire régulier.,L'apport de fluor per os et le scellement des sillons.,Le grignotage entre les repas ou biberon sucré pour s'endormir.,La consommation de sucre est favorisée par la bonne hygiène bucco-dentaire.,option_a,0
OIC-047-23-B,Quelle est la définition de la luxation congénitale de hanche ?,Anomalie du développement de la hanche qui se manifeste par une instabilité de la hanche.,Problème auditif qui affecte l'oreille interne.,Trouble visuel qui affecte la vision des couleurs.,Anomalie dentaire qui affecte les dents en bas.,A,0
OIC-047-32-A,Quel est le nombre d'examen médical obligatoire pour un enfant de 0 à 16 ans ?,10,20,30,40,b,0
OIC-047-33-A,Quelle est la définition de la médecine scolaire ?,Médecine scolaire: c'est une branche de la médecine qui se concentre sur les problèmes de santé des élèves dans les écoles.,Médecine scolaire: c'est un service public qui fournit des soins médicaux gratuits aux enfants en difficultés financières.,Médecine scolaire: c'est une mission du Ministère de la Santé qui vise à prévenir les maladies et promouvoir la santé auprès des élèves.,Médecine scolaire: c'est un service offert par les écoles pour aider les élèves en difficultés scolaires.,c,0
OIC-047-37-B,Quels sont les trois certificats médicaux obligatoires pour le suivi d'un nourrisson ?,"Certificat de naissance, certificat de vaccination et certificat de mortalité","Certificat de 8ème jour, certificat de 9ème mois et certificat de 24ème mois","Certificat de santé scolaire, certificat de dépistage des anomalies et certificat de vaccination","Certificat d'hospitalisation, certificat de consultation et certificat de suivi médical",option_b,0
OIC-047-40-A,Quelle est la tendance de la mortalité infantile en France depuis quelques années ?,Tendance à l'augmentation,Tendance à la diminution,Stabilité,Pas d'information disponible,option_a,0
OIC-047-41-A,Quel est le pourcentage d'enfants victimes d'accidents de la vie courante chaque année ?,5% à 10%,10% à 15%,20% à 25%,30% à 35%,b,0
OIC-048-02-A,Quel est l'intérêt nutritionnel de la diversification de l'alimentation chez les nourrissons ?,L'apport de vitamines et minéraux essentiels,La quasi-totalité des besoins nutritionnels sont apportés par le lait maternel ou les préparations infantiles,L'introduction de nouvelles protéines alimentaires pour favoriser l'acquisition de leur tolérance,L'amélioration de la digestion et de l'absorption des nutriments,b,0
OIC-048-04-A,Quel est le bon moment pour introduire des morceaux de taille croissante dans l'alimentation du nourrisson ?,De 4 à 6 mois,De 8 à 10 mois,A partir de 10 mois,A partir de 12 ans,c,0
OIC-049-09-A,Quelle est la définition de la puberté précoce et avancée ?,La puberté précoce est définie par un développement mammaire avant l'âge de 8 ans chez une fille ou une augmentation du volume testiculaire avant l'âge de 9 ans chez un garçon. La puberté avancée est définie comme un développement mammaire après l'âge de 12 ans chez une fille.,La puberté précoce est définie par un développement mammaire avant l'âge de 8 ans chez une fille ou une augmentation du volume testiculaire avant l'âge de 9 ans chez un garçon. La puberté avancée est définie comme un développement mammaire après l'âge de 12 ans chez une fille.,La puberté précoce est définie par un développement mammaire avant l'âge de 8 ans chez une fille ou une augmentation du volume testiculaire avant l'âge de 9 ans chez un garçon. La puberté avancée est définie comme un développement mammaire après l'âge de 12 ans chez une fille.,La puberté précoce est définie par un développement mammaire avant l'âge de 8 ans chez une fille ou une augmentation du volume testiculaire avant l'âge de 9 ans chez un garçon. La puberté avancée est définie comme un développement mammaire après l'âge de 12 ans chez une fille.,option_a,0
OIC-049-11-A,Quels sont les deux éléments essentiels pour évaluer la croissance d'un enfant ?,Mesure de la taille et du poids,Calcul de la vitesse de croissance annuelle et mesure de l'IMC,Analyse des résultats d'un test de croissance,Évaluation de la fonction motrice,b,0
OIC-049-25-A,Quel est l&#39;objectif de l&#39;échographie pelvienne et de la radiographie de la main et du poignet dans une puberté pathologique ?,Éliminer les tumeurs/kystes ovariens,Mesurer l&#39;âge osseux,Déterminer le stade de la puberté,Diagnostiquer une maladie du système nerveux,option_a,0
OIC-050-02-A,"Quelle est l'urgence de la prise en charge d'une torsion du testicule, d'une fasciite nécrosante des organes génitaux externes et d'un paraphymosis ?",Une urgence chirurgicale,Une urgence médicochirurgicale,Une urgence vitale médicochirurgicale,Pas d'urgence particulière,c,0
OIC-050-06-A,Quel est le traitement de première intention pour l'orchi-épididymite chez l'enfant ?,Ceftriaxone 500 mg en 1 injection IM puis Doxycycline 200mg/j 10 jours,Cotrimoxazole,Ciprofloxacine ou lévofloxacine,Céphalosporine de 3ème génération,B,0
OIC-050-08-A,Quelle est la caractéristique principale de l’hydrocèle chez l’enfant ?,L’augmentation de volume est progressive.,Le testicule n’est pas perçu en raison du volume de liquide qui l’entoure.,Les orifices herniaires sont bloqués.,La transillumination est négative.,option_a,0
OIC-050-11-B,Quelle est l'indication d'imagerie dans le cas d'un testicule non descendu chez l'enfant ?,"L'examen clinique n'est pas suffisant, il faut recourir à l'imagerie.",Une exploration laparoscopique est indiquée en l'absence de palpation sous anesthésie générale.,La surveillance par imagerie est recommandée pour un testicule non palpé car la cryptorchidie est un facteur de risque important de cancer du testicule.,"L'imagerie n'est pas nécessaire, le diagnostic clinique suffit.",b,0
OIC-050-14-A,Quel est le traitement recommandé pour un paraphimosis chez l'enfant ou l'adulte ?,Une réduction manuelle en urgence,Un traitement chirurgical (plastie du prépuce ou posthectomie) peut être envisagée à partir de 5-6 ans,Une prescription de soins locaux à base d'antiseptiques en bain de verge,L'application de dermocorticoïdes pendant plusieurs semaines,option_b,0
OIC-051-04-B,Quels sont les troubles associés aux troubles de la miction chez l’enfant ?,"Troubles psychiques, psychiatriques et respiratoires",Troubles du sommeil à type d’apnées du sommeil et parasomnies notamment chez les enfants avec énurésie.,Troubles respiratoires nocturnes : l’obstruction des voies aériennes supérieures (ronflement),Aucun trouble associé,option_a,0
OIC-056-01-A,"Selon la Convention relative aux droits des personnes handicapées (CDAPH), quels sont les droits des enfants handicapés ?",Ils n'ont pas le droit à l'éducation.,"Ils ont les mêmes droits que les autres enfants, notamment en matière de soins de santé, d'éducation et d'inclusion sociale.",Ils ne peuvent pas participer aux loisirs.,"Ils n'ont pas le droit à la protection contre la violence, la maltraitance et la négligence.",b,0
OIC-073-02-A,Quels sont les facteurs favorables pour une psychothérapie efficace ?,L'engagement du patient et l'alliance thérapeutique de qualité,La pharmacothérapie et la sociothérapie en accompagnement,"Les outils psychothérapeutiques spécifiques et validés, le cadre et les conditions nécessaires",L'empathie du thérapeute et la relation soignant-patient,c,0
OIC-074-02-B,Quel est le pourcentage de personnes qui ont utilisé des anxiolytiques en France en 2015 ?,10%,20%,30%,40%,option_a,0
OIC-074-09-A,Quels sont les troubles de l'humeur pour lesquels les antidépresseurs sont indiqués ? ,Troubles anxieux,Troubles bipolaires,Schizophrénie,Trouble de la personnalité borderline,b,0
OIC-074-22-B,Quels sont les contre-indications absolues du valproate ?,Insuffisance rénale modérée,Grossesse au 1er trimestre,Hypersensibilité connue,"Déplétion hydro-sodée, hyponatrémie",option_c,0
OIC-075-16-A,Quelle est la proportion de fumeur qui a diminué en 2017 puis en 2018 par rapport aux années précédentes ?,12%,"25,4%",32%,11 millions,A,0
OIC-075-21-A,Quels sont les signes de sevrage en tabac qui apparaissent rapidement après arrêt ?,Humeur dépressive,Irritabilité et augmentation de l'appétit,Insomnie et anxiété,Frustration et colère,c,0
OIC-076-01-A,Quel est le pays où la consommation d'alcool est la plus importante ?,Belgique,France,Allemagne,Italie,option_b,0
OIC-076-13-A,Quel est l'objectif principal de la prévention primaire du mésusage d'alcool ?,Éviter le mésusage d'alcool à tout prix,Prendre en compte la personne plutôt que la substance et s'affranchir de toute attitude de jugement ou de stigmatisation,Promouvoir les comportements de santé par l'information et l'éducation des futurs usagers,Réduire les facteurs de risque en utilisant uniquement la thérapie cognitive-comportementale,b,0
OIC-082-04-A,Quel est le but d'un réflexe photomoteur direct et consensuel ?,Évaluer la fonction du nerf optique,Mesurer la pression intraoculaire,Déterminer l'orientation de la tête en réponse à un stimulus lumineux,Diagnostiquer les troubles de la vision,c,0
OIC-082-07-A,Quelle est la conduite à tenir en cas d'occlusion de l'artère centrale de la rétine ou d'une de ses branches ?,Hospitalisation en urgence dans une unité neurovasculaire pour prévenir un autre événement vasculaire engageant le pronostic vital,Traitement par injections intra-vitréennes d'anti-VEGF,Rétinopathie diabétique proliférante,Syndrome de Terson,option_a,0
OIC-086-06-A,Quel est le type d'infection qui cause l'orgelet ?,Viral,Fungique,Bactérienne,Parasitaire,option_c,0
OIC-086-07-A,Quelle est l'extension d'un chalazion sur la paupière ?,Seule sur la face tarsale,Seule sur la face externe de la paupière,Sur les deux faces de la paupière,Aucune extension visible,option_c,0
OIC-094-10-B,Quelles sont les autres étiologies des rachialgies secondaires ?,"Chondrocalcinose, rhumatisme à apatite et polyarthrite rhumatoïde.","Tumeur intrarachidienne ou de la fosse postérieure, douleurs référées d'origine ORL ou cervicale antérieure.","Chondrocalcinose, tumeur intrarachidienne et polyarthrite rhumatoïde.","Rhumatisme à apatite, douleurs référées d'origine ORL et tumeur intrarachidienne.",option_a,0
OIC-099-04-A,Quels sont les critères diagnostiques pour une migraine sans aura (MSA) selon l'ICHD-3 ?,Au moins 5 crises répondant aux critères B-D,Crises de céphalées durant 4-72 heures (si non traitées ou inefficacement traitées),"Céphalées ayant au moins deux des 4 caractéristiques suivantes : topographie unilatérale, type pulsatile, intensité modérée ou sévère, aggravée par ou entrainant l’évitement des activités physiques de routine","Durant la céphalée, au moins l’un des suivants: nausée et/ou vomissements, photophobie et phonophobie",C,0
OIC-099-05-A,Quels sont les critères diagnostiques de l'algie vasculaire de la face selon l'ICHD3 ?,Au moins cinq crises répondant aux critères B-D,"Douleur sévère à très sévère, unilatérale, orbitaire, sus-orbitaire et/ou temporale durant 15 à 180 minutes (sans traitement)","L'un des éléments suivants ou les deux : injection conjonctivale et/ou larmoiement, congestion nasale et/ou rhinorrhée, œdème palpébral, transpiration du front et/ou de la face, myosis et/ou ptosis, une impression d'impatience ou une agitation",Fréquence crises = 1 tous les 2 jours à 8/jour en période active,option_c,0
OIC-099-17-B,Quel est le diagnostic évoqué dans la vidéo d'interrogatoire ?,Migraine et névralgie du trijumeau,Algie vasculaire de la face et migraine,Névralgie du trijumeau et algies de la face,"Tous les trois : migraine, algie vasculaire de la face et névralgie du trijumeau",D,0
OIC-100-06-A,Quelle est la bonne indication pour pratiquer une ponction lombaire (PL) devant une suspicion de méningite infectieuse ?,"La PL doit être réalisée dans l'heure qui suit l'admission du patient aux urgences, sans imagerie cérébrale ni bilan biologique préalable",La PL n'est pas contre-indiquée si les troubles de la conscience sont isolés,La PL est contre-indiquée si l'infection cutanée étendue du site de ponction est présente,Les indications de l'imagerie cérébrale avant la PL sont rares,option_a,0
OIC-101-04-A,Quelle est la bonne façon de documenter une paralysie faciale centrale ?,En utilisant un appareil photo pour prendre une photo,En filmant avec une caméra pour créer une vidéo,En dessinant le visage affecté à la main,En demandant au patient de décrire son état,b,0
OIC-101-05-A,Quelle est la cause la plus fréquente de la paralysie faciale ?,Traumatisme crânien,Diabète,Paralysie faciale a frigore,Syndrome de Guillain-Barré,c,0
OIC-102-04-B,Quels sont les mouvements oculaires qui permettent à un œil de se déplacer vers l'intérieur ou l'extérieur ?,Convergence et divergence,Abduction et adduction,Versions et ductions,Mouvements bilatéraux et monoculaires,b,0
OIC-102-06-A,Quelle est la position compensatrice de la tête dans une paralysie complète du VI ?,"Inclinée du côté sain, menton abaissé.",Tournée du côté de la paralysie oculomotrice.,En arrière et en bas.,En avant et en haut.,B,0
OIC-102-08-A,Quelle est la différence entre une paralysie extrinsèque et intrinsèque du III ?,"La paralysie extrinsèque se produit lorsque le nerf oculomoteur est endommagé, tandis que la paralysie intrinsèque se produit lorsque l'œil lui-même est endommagé.","La paralysie extrinsèque se produit lorsque l'œil est incapable de bouger vers le bas, tandis que la paralysie intrinsèque se produit lorsque l'œil est incapable de bouger vers le haut.","La paralysie extrinsèque se produit lorsque le muscle oculomoteur est endommagé, tandis que la paralysie intrinsèque se produit lorsque le nerf oculomoteur est endommagé.","La paralysie extrinsèque se produit lorsque l'œil est incapable de bouger vers le haut, tandis que la paralysie intrinsèque se produit lorsque l'œil est incapable de bouger vers le bas.",option_a,0
OIC-102-11-A,Quand un anévrisme intracrânien doit-il être suspecté ?,Lorsque la paralysie du III est associée à des douleurs et à des signes pupillaires.,Chez les sujets âgés avec une atteinte oculomotrice partielle.,"En l'absence de facteurs de risque vasculaire, chez un sujet jeune avec céphalées.",Lorsqu'il y a des signes pupillaires d'atteinte du III intrinsèque et une atteinte oculomotrice partielle.,C,0
OIC-108-02-A,Quelle est la principale différence entre une confusion et une démence ?,"Une confusion est une altération durable des fonctions cognitives, tandis qu'une démence est un trouble attentionnel sévère.","Une confusion est un syndrome défini par une altération durable d'une ou plusieurs fonctions cognitives et/ou comportementales, tandis qu'une démence est un trouble du sommeil.","Une confusion est un trouble neurocognitif majeur, tandis qu'une démence est un syndrome défini par une altération durable d'une ou plusieurs fonctions cognitives et/ou comportementales.","Une confusion est un trouble du sommeil, tandis qu'une démence est une altération consécutive de l'autonomie dans la vie quotidienne.",c,0
OIC-108-03-A,Quelles sont les principales causes neurologiques de confusion mentale ?,"La sclérose en plaques, le mal d'Alzheimer et l'épilepsie généralisée.","Les traumatismes crâniens, les infarctus cérébraux et les tumeurs cérébrales.","La méningite, la tumeur cérébrale et le traumatisme crânien.","L'hémorragie méningée, l'infarctus cérébraux et l'épilepsie généralisée.",d,0
OIC-108-14-B,Quelle est la caractéristique principale d'un hématome sous-dural chronique à l'imagerie médicale ?,Il présente un aspect en « croissant de lune » et est souvent bilatéral.,Il est toujours associé à un saignement récent.,Il est hypodense au scanner X cérébral.,Il se trouve dans les tissus cérébraux.,c,0
OIC-109-01-A,Quels sont les éléments essentiels à connaître lors d'un interrogatoire concernant un trouble de la marche ?,"La date de début des troubles, leur mode d'installation et le type de la plainte principale.",La sévérité du trouble doit être évaluée dans la vie quotidienne en termes de morbidité ou d'autonomie.,"La capacité à monter ou descendre un escalier, l'utilisation d'une canne ou d'un fauteuil roulant et les médicaments pris.",Les capacités cognitives du sujet et la nécessité d'une aide humaine.,D,0
OIC-109-07-B,Quelles sont les étiologies de l'astasie-abasie ?,L'astasie-abasie est causée par une blessure au genou.,L'astasie-abasie psychogène est causé par un syndrome dépressif ou un syndrome de glissement.,L'astasie-abasie secondaire est causé par l'apartheid de la marche ou l'ataxie frontale.,L'astasie-abasie est causée par une maladie du cerveau.,b et c,0
OIC-109-13-A,Quels sont les principaux examens complémentaires hors imagerie devant un trouble de la marche ou de l’équilibre ?,"Bilan biologique (Hypoglycémies, troubles ioniques : dyskaliémie, hypercalcémie, hypocalcémie, hyponatrémie, Anémie) gaz du sang, RP (embolie pulmonaire)",Scanner cérébral sans injection,ECG : troubles du rythme,Tous les examens ci-dessus sont pertinents,A,0
OIC-112-08-B,Quel est le type de dermatose décrit dans la photographie ?,Pemphigoïde bulleuse,Pemphigus vulgaire,Dermatite herpétiforme,Psoriasis,B,0
